,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Brian Gay,28,7
1,T1,T1,Louis Oosthuizen,19,7
2,T3,T3,Jonathan Byrd,21,6
3,T3,T3,Martin Flores,30,6
4,T3,T3,Charley Hoffman,27,6
5,T3,T3,Bio Kim,1,6
6,T3,T3,Matt Kuchar,22,6
7,T3,T3,Ryan Moore,24,6
8,T3,T3,D.A. Points,29,6
9,T3,T3,John Rollins,26,6
10,T3,T3,Brandt Snedeker,22,6
11,T3,T3,Scott Stallings,27,6
12,T3,T3,Daniel Summerhays,26,6
13,T3,T3,Tiger Woods,19,6
14,T15,T15,Blake Adams,32,5
15,T15,T15,Robert Allenby,27,5
16,T15,T15,Mark Anderson,25,5
17,T15,T15,Aaron Baddeley,22,5
18,T15,T15,Matt Bettencourt,31,5
19,T15,T15,Jonas Blixt,21,5
20,T15,T15,Jason Bohn,28,5
21,T15,T15,Gary Christian,28,5
22,T15,T15,Chad Collins,9,5
23,T15,T15,Ben Crane,23,5
24,T15,T15,Ben Curtis,19,5
25,T15,T15,Robert Garrigus,26,5
26,T15,T15,Bill Haas,23,5
27,T15,T15,Padraig Harrington,18,5
28,T15,T15,Tim Herron,27,5
29,T15,T15,Billy Horschel,17,5
30,T15,T15,John Huh,28,5
31,T15,T15,Ryuji Imada,28,5
32,T15,T15,Trevor Immelman,24,5
33,T15,T15,Chris Kirk,27,5
34,T15,T15,Justin Leonard,26,5
35,T15,T15,Zack Miller,12,5
36,T15,T15,Garth Mulroy,20,5
37,T15,T15,Kevin Na,25,5
38,T15,T15,Seung-Yul Noh,28,5
39,T15,T15,Jeff Overton,29,5
40,T15,T15,Carl Pettersson,26,5
41,T15,T15,"Ted Potter, Jr.",25,5
42,T15,T15,Ian Poulter,15,5
43,T15,T15,Vijay Singh,27,5
44,T15,T15,Kevin Streelman,26,5
45,T15,T15,Steve Stricker,19,5
46,T15,T15,Vaughn Taylor,26,5
47,T15,T15,Josh Teater,30,5
48,T15,T15,Michael Thompson,25,5
49,T15,T15,Bo Van Pelt,24,5
50,T15,T15,Lee Westwood,15,5
51,T52,T52,Stephen Ames,20,4
52,T52,T52,Arjun Atwal,27,4
53,T52,T52,Sangmoon Bae,25,4
54,T52,T52,Craig Barlow,7,4
55,T52,T52,Ricky Barnes,28,4
56,T52,T52,Cameron Beckman,26,4
57,T52,T52,Charlie Beljan,22,4
58,T52,T52,Shane Bertsch,17,4
59,T52,T52,Tommy Biershenk,27,4
60,T52,T52,Thomas Bjørn,9,4
61,T52,T52,Kris Blanks,23,4
62,T52,T52,Keegan Bradley,25,4
63,T52,T52,Joseph Bramlett,1,4
64,T52,T52,Chad Campbell,27,4
65,T52,T52,Bud Cauley,28,4
66,T52,T52,Alex Cejka,12,4
67,T52,T52,Greg Chalmers,25,4
68,T52,T52,Kevin Chappell,29,4
69,T52,T52,Daniel Chopra,21,4
70,T52,T52,Tim Clark,20,4
71,T52,T52,Will Claxton,28,4
72,T52,T52,Erik Compton,26,4
73,T52,T52,John Daly,15,4
74,T52,T52,Robert Damron,7,4
75,T52,T52,Brian Davis,29,4
76,T52,T52,Jason Day,17,4
77,T52,T52,Brendon de Jonge,31,4
78,T52,T52,Graham DeLaet,23,4
79,T52,T52,Todd Demsey,1,4
80,T52,T52,Jason Dufner,22,4
81,T52,T52,Ken Duke,30,4
82,T52,T52,Scott Dunlap,20,4
83,T52,T52,Ernie Els,22,4
84,T52,T52,Harris English,27,4
85,T52,T52,Bob Estes,23,4
86,T52,T52,Matt Every,25,4
87,T52,T52,Gonzalo Fernandez-Castaño,7,4
88,T52,T52,Rickie Fowler,23,4
89,T52,T52,Harrison Frazar,20,4
90,T52,T52,Tommy Gainey,32,4
91,T52,T52,Bobby Gates,29,4
92,T52,T52,Tom Gillis,23,4
93,T52,T52,Lucas Glover,16,4
94,T52,T52,Branden Grace,6,4
95,T52,T52,Nathan Green,22,4
96,T52,T52,Hunter Haas,24,4
97,T52,T52,Peter Hanson,11,4
98,T52,T52,Brian Harman,30,4
99,T52,T52,David Hearn,28,4
100,T52,T52,J.J. Henry,28,4
101,T52,T52,J.B. Holmes,25,4
102,T52,T52,Randall Hutchison,1,4
103,T52,T52,Lee Janzen,12,4
104,T52,T52,Zach Johnson,25,4
105,T52,T52,Dustin Johnson,19,4
106,T52,T52,Matt Jones,19,4
107,T52,T52,Robert Karlsson,17,4
108,T52,T52,Jerry Kelly,26,4
109,T52,T52,Anthony Kim,10,4
110,T52,T52,Kevin Kisner,24,4
111,T52,T52,Colt Knost,29,4
112,T52,T52,Russell Knox,23,4
113,T52,T52,Kelly Kraft,10,4
114,T52,T52,Martin Laird,22,4
115,T52,T52,Scott Langley,4,4
116,T52,T52,Richard Lee,24,4
117,T52,T52,Marc Leishman,23,4
118,T52,T52,Spencer Levin,26,4
119,T52,T52,Frank Lickliter II,9,4
120,T52,T52,Bill Lunde,25,4
121,T52,T52,Jeff Maggert,27,4
122,T52,T52,Hunter Mahan,23,4
123,T52,T52,Billy Mayfair,28,4
124,T52,T52,Scott McCarron,6,4
125,T52,T52,Graeme McDowell,16,4
126,T52,T52,William McGirt,30,4
127,T52,T52,Rory McIlroy,16,4
128,T52,T52,George McNeill,25,4
129,T52,T52,John Merrick,26,4
130,T52,T52,Phil Mickelson,22,4
131,T52,T52,Bryce Molder,25,4
132,T52,T52,Toshinori Muto,3,4
133,T52,T52,Sean O'Hair,24,4
134,T52,T52,Geoff Ogilvy,20,4
135,T52,T52,Greg Owen,27,4
136,T52,T52,Ryan Palmer,24,4
137,T52,T52,Pat Perez,23,4
138,T52,T52,Kenny Perry,5,4
139,T52,T52,Scott Piercy,28,4
140,T52,T52,Dicky Pride,19,4
141,T52,T52,Chez Reavie,26,4
142,T52,T52,Justin Rose,19,4
143,T52,T52,Charl Schwartzel,16,4
144,T52,T52,Adam Scott,16,4
145,T52,T52,John Senden,22,4
146,T52,T52,Webb Simpson,22,4
147,T52,T52,Lee Slattery,3,4
148,T52,T52,Heath Slocum,29,4
149,T52,T52,Kevin Stadler,25,4
150,T52,T52,Kyle Stanley,27,4
151,T52,T52,Brendan Steele,24,4
152,T52,T52,Chris Stroud,28,4
153,T52,T52,Roland Thatcher,21,4
154,T52,T52,Kyle Thompson,22,4
155,T52,T52,David Toms,19,4
156,T52,T52,D.J. Trahan,27,4
157,T52,T52,Cameron Tringale,26,4
158,T52,T52,Marc Turnesa,11,4
159,T52,T52,Jhonattan Vegas,25,4
160,T52,T52,Camilo Villegas,25,4
161,T52,T52,Johnson Wagner,27,4
162,T52,T52,Jimmy Walker,28,4
163,T52,T52,Nick Watney,26,4
164,T52,T52,Bubba Watson,19,4
165,T52,T52,Tim Weinhart,2,4
166,T52,T52,Charlie Wi,25,4
167,T52,T52,Garrett Willis,15,4
168,T52,T52,Mark Wilson,25,4
169,T52,T52,Y.E. Yang,20,4
170,T171,T171,Thomas Aiken,4,3
171,T171,T171,Stuart Appleby,24,3
172,T171,T171,Alex Aragon,1,3
173,T171,T171,Woody Austin,7,3
174,T171,T171,Briny Baird,13,3
175,T171,T171,Rich Beem,10,3
176,T171,T171,Guy Boros,2,3
177,T171,T171,Steven Bowditch,18,3
178,T171,T171,Michael Bradley,23,3
179,T171,T171,Scott Brown,24,3
180,T171,T171,Ángel Cabrera,20,3
181,T171,T171,Rafa Cabrera Bello,6,3
182,T171,T171,Alejandro Cañizares,3,3
183,T171,T171,Patrick Cantlay,10,3
184,T171,T171,Miguel Angel Carballo,25,3
185,T171,T171,Paul Casey,9,3
186,T171,T171,Roberto Castro,27,3
187,T171,T171,K.J. Choi,21,3
188,T171,T171,Victor Ciesielski,1,3
189,T171,T171,Stewart Cink,22,3
190,T171,T171,Gavin Coles,23,3
191,T171,T171,Nicolas Colsaerts,9,3
192,T171,T171,Chris Couch,21,3
193,T171,T171,Fred Couples,4,3
194,T171,T171,Adilson da Silva,1,3
195,T171,T171,Marco Dawson,22,3
196,T171,T171,Glen Day,3,3
197,T171,T171,Chris DiMarco,29,3
198,T171,T171,Luke Donald,17,3
199,T171,T171,Jamie Donaldson,4,3
200,T171,T171,James Driscoll,27,3
201,T171,T171,Joe Durant,14,3
202,T171,T171,David Duval,17,3
203,T171,T171,Simon Dyson,8,3
204,T171,T171,Derek Ernst,1,3
205,T171,T171,Ross Fisher,2,3
206,T171,T171,Jonathan Fly,1,3
207,T171,T171,Marcus Fraser,3,3
208,T171,T171,Tadd Fujikawa,1,3
209,T171,T171,Yoshinori Fujimoto,2,3
