,Consecutive_Par_5_Birdies_RANK THIS WEEK,Consecutive_Par_5_Birdies_RANK LAST WEEK,Consecutive_Par_5_Birdies_PLAYER NAME,Consecutive_Par_5_Birdies_EVENTS,Consecutive_Par_5_Birdies_NUMBER OF HOLES
0,1,1,Rory Sabbatini,29,13
1,2,2,Bobby Gates,29,12
2,T3,T3,Ben Crane,23,11
3,T3,T3,Chris Kirk,27,11
4,T3,T3,Kyle Stanley,27,11
5,T6,T6,Pat Perez,23,10
6,T6,T6,Charl Schwartzel,16,10
7,T6,T6,Chris Stroud,28,10
8,T9,T9,K.J. Choi,21,9
9,T9,T9,Graham DeLaet,23,9
10,T9,T9,Russell Knox,23,9
11,T9,T9,John Merrick,26,9
12,T9,T9,Brett Quigley,1,9
13,T9,T9,Patrick Reed,12,9
14,T9,T9,Andres Romero,22,9
15,T9,T9,John Senden,22,9
16,T9,T9,Boo Weekley,25,9
17,T18,T18,Mark Anderson,25,8
18,T18,T18,Aaron Baddeley,22,8
19,T18,T18,Sangmoon Bae,25,8
20,T18,T18,Ricky Barnes,28,8
21,T18,T18,Matt Bettencourt,31,8
22,T18,T18,Tommy Biershenk,27,8
23,T18,T18,Keegan Bradley,25,8
24,T18,T18,Roberto Castro,27,8
25,T18,T18,Ben Curtis,19,8
26,T18,T18,Ernie Els,22,8
27,T18,T18,Harris English,27,8
28,T18,T18,Robert Garrigus,26,8
29,T18,T18,J.B. Holmes,25,8
30,T18,T18,Charles Howell III,29,8
31,T18,T18,John Huh,28,8
32,T18,T18,Martin Laird,22,8
33,T18,T18,John Mallinger,25,8
34,T18,T18,Troy Matteson,32,8
35,T18,T18,Billy Mayfair,28,8
36,T18,T18,Rory McIlroy,16,8
37,T18,T18,George McNeill,25,8
38,T18,T18,Sean O'Hair,24,8
39,T18,T18,Heath Slocum,29,8
40,T18,T18,Steve Stricker,19,8
41,T18,T18,Michael Thompson,25,8
42,T18,T18,Duffy Waldorf,11,8
43,T18,T18,Mark Wilson,25,8
44,T18,T18,Gary Woodland,22,8
45,T46,T46,Charlie Beljan,22,7
46,T46,T46,Jonas Blixt,21,7
47,T46,T46,Steven Bowditch,18,7
48,T46,T46,Marco Dawson,22,7
49,T46,T46,Jason Day,17,7
50,T46,T46,Chris DiMarco,29,7
51,T46,T46,Jason Dufner,22,7
52,T46,T46,Ken Duke,30,7
53,T46,T46,Martin Flores,30,7
54,T46,T46,Rickie Fowler,23,7
55,T46,T46,Harrison Frazar,20,7
56,T46,T46,Jim Furyk,24,7
57,T46,T46,Tom Gillis,23,7
58,T46,T46,David Hearn,28,7
59,T46,T46,Trevor Immelman,24,7
60,T46,T46,Zach Johnson,25,7
61,T46,T46,Jerry Kelly,26,7
62,T46,T46,Matt Kuchar,22,7
63,T46,T46,Marc Leishman,23,7
64,T46,T46,Phil Mickelson,22,7
65,T46,T46,Geoff Ogilvy,20,7
66,T46,T46,Carl Pettersson,26,7
67,T46,T46,Scott Piercy,28,7
68,T46,T46,Chez Reavie,26,7
69,T46,T46,John Rollins,26,7
70,T46,T46,Adam Scott,16,7
71,T46,T46,Vijay Singh,27,7
72,T46,T46,Brandt Snedeker,22,7
73,T46,T46,Scott Stallings,27,7
74,T46,T46,Josh Teater,30,7
75,T46,T46,Marc Turnesa,11,7
76,T46,T46,Johnson Wagner,27,7
77,T46,T46,Nick Watney,26,7
78,T46,T46,Tiger Woods,19,7
79,T80,T80,Blake Adams,32,6
80,T80,T80,Robert Allenby,27,6
81,T80,T80,Jason Bohn,28,6
82,T80,T80,Ángel Cabrera,20,6
83,T80,T80,Chad Campbell,27,6
84,T80,T80,Bud Cauley,28,6
85,T80,T80,Kevin Chappell,29,6
86,T80,T80,Gary Christian,28,6
87,T80,T80,Tim Clark,20,6
88,T80,T80,Will Claxton,28,6
89,T80,T80,Gavin Coles,23,6
90,T80,T80,Chad Collins,9,6
91,T80,T80,John Daly,15,6
92,T80,T80,Brian Davis,29,6
93,T80,T80,Brendon de Jonge,31,6
94,T80,T80,Brian Gay,28,6
95,T80,T80,Mathew Goggin,23,6
96,T80,T80,Tim Herron,27,6
97,T80,T80,Billy Horschel,17,6
98,T80,T80,Lee Janzen,12,6
99,T80,T80,Dustin Johnson,19,6
100,T80,T80,Matt Jones,19,6
101,T80,T80,Robert Karlsson,17,6
102,T80,T80,Neal Lancaster,8,6
103,T80,T80,Danny Lee,26,6
104,T80,T80,Spencer Levin,26,6
105,T80,T80,David Lynn,1,6
106,T80,T80,Jeff Maggert,27,6
107,T80,T80,Rocco Mediate,23,6
108,T80,T80,Francesco Molinari,8,6
109,T80,T80,Ryan Moore,24,6
110,T80,T80,Garth Mulroy,20,6
111,T80,T80,Kevin Na,25,6
112,T80,T80,Seung-Yul Noh,28,6
113,T80,T80,Alex Noren,4,6
114,T80,T80,Ryan Palmer,24,6
115,T80,T80,D.A. Points,29,6
116,T80,T80,Justin Rose,19,6
117,T80,T80,Brendan Steele,24,6
118,T80,T80,Kevin Streelman,26,6
119,T80,T80,Roland Thatcher,21,6
120,T80,T80,Brendon Todd,29,6
121,T80,T80,David Toms,19,6
122,T80,T80,D.J. Trahan,27,6
123,T80,T80,Bo Van Pelt,24,6
124,T80,T80,Camilo Villegas,25,6
125,T80,T80,Bubba Watson,19,6
126,T80,T80,Charlie Wi,25,6
127,T128,T128,Stuart Appleby,24,5
128,T128,T128,Alex Aragon,1,5
129,T128,T128,Briny Baird,13,5
130,T128,T128,Cameron Beckman,26,5
131,T128,T128,Shane Bertsch,17,5
132,T128,T128,Thomas Bjørn,9,5
133,T128,T128,Kris Blanks,23,5
134,T128,T128,Michael Bradley,23,5
135,T128,T128,Joseph Bramlett,1,5
136,T128,T128,Jonathan Byrd,21,5
137,T128,T128,Paul Casey,9,5
138,T128,T128,Greg Chalmers,25,5
139,T128,T128,Nicolas Colsaerts,9,5
140,T128,T128,Chris Couch,21,5
141,T128,T128,Luke Donald,17,5
142,T128,T128,James Driscoll,27,5
143,T128,T128,Matt Every,25,5
144,T128,T128,Tommy Gainey,32,5
145,T128,T128,Sergio Garcia,16,5
146,T128,T128,Lucas Glover,16,5
147,T128,T128,Branden Grace,6,5
148,T128,T128,Luke Guthrie,4,5
149,T128,T128,Hunter Haas,24,5
150,T128,T128,Bill Haas,23,5
151,T128,T128,Brian Harman,30,5
152,T128,T128,Padraig Harrington,18,5
153,T128,T128,Charley Hoffman,27,5
154,T128,T128,Billy Hurley III,27,5
155,T128,T128,Ryo Ishikawa,18,5
156,T128,T128,Kevin Kisner,24,5
157,T128,T128,Colt Knost,29,5
158,T128,T128,Jason Kokrak,27,5
159,T128,T128,Derek Lamely,25,5
160,T128,T128,Nelson Ledesma,1,5
161,T128,T128,Richard Lee,24,5
162,T128,T128,Frank Lickliter II,9,5
163,T128,T128,Edward Loar,23,5
164,T128,T128,Davis Love III,20,5
165,T128,T128,Jamie Lovemark,16,5
166,T128,T128,Joost Luiten,3,5
167,T128,T128,Bill Lunde,25,5
168,T128,T128,Will MacKenzie,6,5
169,T128,T128,Hunter Mahan,23,5
170,T128,T128,David Mathis,29,5
171,T128,T128,William McGirt,30,5
172,T128,T128,Parker McLachlin,3,5
173,T128,T128,Bryce Molder,25,5
174,T128,T128,Toshinori Muto,3,5
175,T128,T128,Louis Oosthuizen,19,5
176,T128,T128,Jeff Overton,29,5
177,T128,T128,Greg Owen,27,5
178,T128,T128,Rod Pampling,26,5
179,T128,T128,Tom Pernice Jr.,23,5
180,T128,T128,Tim Petrovic,17,5
181,T128,T128,Ian Poulter,15,5
182,T128,T128,Dicky Pride,19,5
183,T128,T128,Kyle Reifers,27,5
184,T128,T128,Alexandre Rocha,21,5
185,T128,T128,Webb Simpson,22,5
186,T128,T128,Jordan Spieth,5,5
187,T128,T128,Kevin Stadler,25,5
188,T128,T128,Henrik Stenson,15,5
189,T128,T128,Cameron Tringale,26,5
190,T128,T128,Jimmy Walker,28,5
191,T128,T128,Lee Westwood,15,5
192,T128,T128,Garrett Willis,15,5
193,T128,T128,Y.E. Yang,20,5
194,T195,T195,Stephen Ames,20,4
