,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Cameron Tringale,26,19
1,2,2,Jonathan Byrd,21,14
2,T3,T3,Ken Duke,30,12
3,T3,T3,D.A. Points,29,12
4,T5,T5,Justin Leonard,26,11
5,T5,T5,Phil Mickelson,22,11
6,T5,T5,Kyle Reifers,27,11
7,T5,T5,Andres Romero,22,11
8,T5,T5,Patrick Sheehan,21,11
9,T5,T5,Steve Wheatcroft,22,11
10,T11,T11,Jason Bohn,28,10
11,T11,T11,Alejandro Cañizares,3,10
12,T11,T11,Miguel Angel Carballo,25,10
13,T11,T11,Greg Chalmers,25,10
14,T11,T11,Jim Furyk,24,10
15,T11,T11,Jason Gore,8,10
16,T11,T11,Charley Hoffman,27,10
17,T11,T11,Charles Howell III,29,10
18,T11,T11,David Mathis,29,10
19,T11,T11,Bryce Molder,25,10
20,T11,T11,Ryan Palmer,24,10
21,T11,T11,Justin Rose,19,10
22,T11,T11,Vijay Singh,27,10
23,T11,T11,Brandt Snedeker,22,10
24,T11,T11,Vaughn Taylor,26,10
25,T26,T26,Ricky Barnes,28,9
26,T26,T26,Matt Bettencourt,31,9
27,T26,T26,Rafa Cabrera Bello,6,9
28,T26,T26,Will Claxton,28,9
29,T26,T26,Ben Crane,23,9
30,T26,T26,Chris DiMarco,29,9
31,T26,T26,Matt Every,25,9
32,T26,T26,Yoshinori Fujimoto,2,9
33,T26,T26,Brian Gay,28,9
34,T26,T26,Brian Harman,30,9
35,T26,T26,Jim Herman,2,9
36,T26,T26,Ryuji Imada,28,9
37,T26,T26,Trevor Immelman,24,9
38,T26,T26,Zach Johnson,25,9
39,T26,T26,Anthony Kim,10,9
40,T26,T26,Scott Langley,4,9
41,T26,T26,Spencer Levin,26,9
42,T26,T26,Edward Loar,23,9
43,T26,T26,Troy Matteson,32,9
44,T26,T26,William McGirt,30,9
45,T26,T26,John Merrick,26,9
46,T26,T26,Francesco Molinari,8,9
47,T26,T26,Garth Mulroy,20,9
48,T26,T26,Scott Piercy,28,9
49,T26,T26,Ian Poulter,15,9
50,T26,T26,Alistair Presnell,1,9
51,T26,T26,Rory Sabbatini,29,9
52,T26,T26,Sam Saunders,4,9
53,T26,T26,Webb Simpson,22,9
54,T26,T26,Tadahiro Takayama,4,9
55,T26,T26,D.J. Trahan,27,9
56,T26,T26,Nick Watney,26,9
57,T26,T26,Charlie Wi,25,9
58,T26,T26,Gary Woodland,22,9
59,T60,T60,Mark Anderson,25,8
60,T60,T60,Shane Bertsch,17,8
61,T60,T60,Thomas Bjørn,9,8
62,T60,T60,Kris Blanks,23,8
63,T60,T60,Roberto Castro,27,8
64,T60,T60,Bud Cauley,28,8
65,T60,T60,Kevin Chappell,29,8
66,T60,T60,Daniel Chopra,21,8
67,T60,T60,Gavin Coles,23,8
68,T60,T60,Jeff Curl,3,8
69,T60,T60,Ben Curtis,19,8
70,T60,T60,Brian Davis,29,8
71,T60,T60,Graham DeLaet,23,8
72,T60,T60,Luke Donald,17,8
73,T60,T60,Sergio Garcia,16,8
74,T60,T60,Hunter Haas,24,8
75,T60,T60,Bill Haas,23,8
76,T60,T60,Padraig Harrington,18,8
77,T60,T60,J.J. Henry,28,8
78,T60,T60,J.B. Holmes,25,8
79,T60,T60,John Inman,2,8
80,T60,T60,Robert Karlsson,17,8
81,T60,T60,Martin Kaymer,8,8
82,T60,T60,J.J. Killeen,33,8
83,T60,T60,Chris Kirk,27,8
84,T60,T60,Derek Lamely,25,8
85,T60,T60,Bill Lunde,25,8
86,T60,T60,Nick O'Hern,26,8
87,T60,T60,Tom Pernice Jr.,23,8
88,T60,T60,Tim Petrovic,17,8
89,T60,T60,Chris Riley,12,8
90,T60,T60,Marcel Siem,3,8
91,T60,T60,Lee Slattery,3,8
92,T60,T60,Kyle Stanley,27,8
93,T60,T60,Roland Thatcher,21,8
94,T60,T60,Kyle Thompson,22,8
95,T60,T60,Michael Thompson,25,8
96,T60,T60,Bo Van Pelt,24,8
97,T60,T60,Camilo Villegas,25,8
98,T60,T60,Johnson Wagner,27,8
99,T60,T60,Mike Weir,14,8
100,T60,T60,Y.E. Yang,20,8
101,T102,T102,Blake Adams,32,7
102,T102,T102,Robert Allenby,27,7
103,T102,T102,Stephen Ames,20,7
104,T102,T102,Stuart Appleby,24,7
105,T102,T102,Arjun Atwal,27,7
