,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Greg Chalmers,25,5
1,T1,T1,Ken Duke,30,5
2,T3,T3,Tommy Biershenk,27,4
3,T3,T3,Keegan Bradley,25,4
4,T3,T3,Luke Donald,17,4
5,T3,T3,Ernie Els,22,4
6,T3,T3,Tommy Gainey,32,4
7,T3,T3,Will MacKenzie,6,4
8,T3,T3,Garth Mulroy,20,4
9,T3,T3,Kyle Reifers,27,4
10,T3,T3,Vijay Singh,27,4
11,T3,T3,Chris Stroud,28,4
12,T3,T3,David Toms,19,4
13,T3,T3,Johnson Wagner,27,4
14,T15,T15,Stuart Appleby,24,3
15,T15,T15,Arjun Atwal,27,3
16,T15,T15,Charlie Beljan,22,3
17,T15,T15,Kris Blanks,23,3
18,T15,T15,Ángel Cabrera,20,3
19,T15,T15,Patrick Cantlay,10,3
20,T15,T15,Bud Cauley,28,3
21,T15,T15,Kevin Chappell,29,3
22,T15,T15,Ben Crane,23,3
23,T15,T15,Brendon de Jonge,31,3
24,T15,T15,Graham DeLaet,23,3
25,T15,T15,Chris DiMarco,29,3
26,T15,T15,James Driscoll,27,3
27,T15,T15,Joe Durant,14,3
28,T15,T15,Bob Estes,23,3
29,T15,T15,Martin Flores,30,3
30,T15,T15,Robert Garrigus,26,3
31,T15,T15,Bobby Gates,29,3
32,T15,T15,Mathew Goggin,23,3
33,T15,T15,Jason Gore,8,3
34,T15,T15,Brian Harman,30,3
35,T15,T15,Charles Howell III,29,3
36,T15,T15,Freddie Jacobson,17,3
37,T15,T15,Dustin Johnson,19,3
38,T15,T15,Troy Kelly,23,3
39,T15,T15,Anthony Kim,10,3
40,T15,T15,Chris Kirk,27,3
41,T15,T15,Russell Knox,23,3
42,T15,T15,Marc Leishman,23,3
43,T15,T15,Joost Luiten,3,3
44,T15,T15,Hunter Mahan,23,3
45,T15,T15,David Mathis,29,3
46,T15,T15,Troy Matteson,32,3
47,T15,T15,George McNeill,25,3
48,T15,T15,Phil Mickelson,22,3
49,T15,T15,Bryce Molder,25,3
50,T15,T15,Ryan Moore,24,3
51,T15,T15,Kevin Na,25,3
52,T15,T15,Seung-Yul Noh,28,3
53,T15,T15,Sean O'Hair,24,3
54,T15,T15,Geoff Ogilvy,20,3
55,T15,T15,Rod Pampling,26,3
56,T15,T15,Tom Pernice Jr.,23,3
57,T15,T15,Carl Pettersson,26,3
58,T15,T15,Scott Piercy,28,3
59,T15,T15,Dicky Pride,19,3
60,T15,T15,John Rollins,26,3
61,T15,T15,Andres Romero,22,3
62,T15,T15,Webb Simpson,22,3
63,T15,T15,Heath Slocum,29,3
64,T15,T15,Brandt Snedeker,22,3
65,T15,T15,Scott Stallings,27,3
66,T15,T15,Kyle Stanley,27,3
67,T15,T15,Roland Thatcher,21,3
68,T15,T15,Marc Turnesa,11,3
69,T15,T15,Jimmy Walker,28,3
70,T15,T15,Bubba Watson,19,3
71,T15,T15,Charlie Wi,25,3
72,T15,T15,Mark Wilson,25,3
73,T15,T15,Gary Woodland,22,3
74,T15,T15,Tiger Woods,19,3
75,T76,T76,Blake Adams,32,2
76,T76,T76,Michael Allen,3,2
77,T76,T76,Robert Allenby,27,2
78,T76,T76,Woody Austin,7,2
79,T76,T76,Aaron Baddeley,22,2
80,T76,T76,Sangmoon Bae,25,2
81,T76,T76,Matt Bettencourt,31,2
82,T76,T76,Jonas Blixt,21,2
83,T76,T76,Jason Bohn,28,2
84,T76,T76,Guy Boros,2,2
85,T76,T76,Scott Brown,24,2
86,T76,T76,Jonathan Byrd,21,2
87,T76,T76,Miguel Angel Carballo,25,2
88,T76,T76,Roberto Castro,27,2
89,T76,T76,K.J. Choi,21,2
90,T76,T76,Gary Christian,28,2
91,T76,T76,Stewart Cink,22,2
92,T76,T76,Tim Clark,20,2
93,T76,T76,Darren Clarke,7,2
94,T76,T76,Will Claxton,28,2
95,T76,T76,George Coetzee,4,2
96,T76,T76,Erik Compton,26,2
97,T76,T76,Chris Couch,21,2
98,T76,T76,Ben Curtis,19,2
99,T76,T76,John Daly,15,2
100,T76,T76,Brian Davis,29,2
101,T76,T76,Marco Dawson,22,2
102,T76,T76,Jason Day,17,2
103,T76,T76,Jason Dufner,22,2
104,T76,T76,Scott Dunlap,20,2
105,T76,T76,Harris English,27,2
106,T76,T76,Derek Ernst,1,2
107,T76,T76,Rickie Fowler,23,2
108,T76,T76,Harrison Frazar,20,2
109,T76,T76,Tadd Fujikawa,1,2
110,T76,T76,Jim Furyk,24,2
111,T76,T76,Stephen Gangluff,23,2
112,T76,T76,Sergio Garcia,16,2
113,T76,T76,Brian Gay,28,2
114,T76,T76,Tom Gillis,23,2
115,T76,T76,Nathan Green,22,2
116,T76,T76,Bill Haas,23,2
117,T76,T76,Hunter Hamrick,5,2
118,T76,T76,Peter Hanson,11,2
119,T76,T76,David Hearn,28,2
120,T76,T76,Tim Herron,27,2
121,T76,T76,Charley Hoffman,27,2
122,T76,T76,J.B. Holmes,25,2
123,T76,T76,Billy Horschel,17,2
124,T76,T76,John Huh,28,2
125,T76,T76,Ryo Ishikawa,18,2
126,T76,T76,Lee Janzen,12,2
127,T76,T76,Miguel Angel Jiménez,6,2
128,T76,T76,Zach Johnson,25,2
129,T76,T76,Matt Jones,19,2
130,T76,T76,Sung Kang,30,2
131,T76,T76,Jerry Kelly,26,2
132,T76,T76,Skip Kendall,5,2
133,T76,T76,J.J. Killeen,33,2
134,T76,T76,Jason Kokrak,27,2
