,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Zach Johnson,25,30,1.0
1,2,2,Graeme McDowell,16,28,7.0
2,T3,T3,Gary Christian,28,27,
3,T3,T3,"Ted Potter, Jr.",25,27,4.0
4,T5,T5,Chris DiMarco,29,25,1.0
5,T5,T5,Jerry Kelly,26,25,1.0
6,T5,T5,John Mallinger,25,25,
7,T8,T8,Billy Horschel,17,24,6.0
8,T8,T8,Chez Reavie,26,24,2.0
9,T8,T8,Kevin Stadler,25,24,1.0
10,11,11,Luke Donald,17,23,1.0
11,T12,T12,John Huh,28,22,3.0
12,T12,T12,Billy Hurley III,27,22,1.0
13,T12,T12,Colt Knost,29,22,2.0
14,T12,T12,Francesco Molinari,8,22,1.0
15,T12,T12,Alexandre Rocha,21,22,
16,T17,T17,Blake Adams,32,21,2.0
17,T17,T17,Will Claxton,28,21,2.0
18,T17,T17,Mathias Grönberg,1,21,
19,T17,T17,Richard Lee,24,21,
20,T17,T17,Hunter Mahan,23,21,1.0
21,T17,T17,David Mathis,29,21,
22,T17,T17,John Merrick,26,21,
23,T17,T17,John Senden,22,21,1.0
24,T25,T25,Patrick Cantlay,10,20,1.0
25,T25,T25,Ben Curtis,19,20,
26,T25,T25,Brian Davis,29,20,7.0
27,T25,T25,Brendon de Jonge,31,20,4.0
28,T25,T25,Ken Duke,30,20,
29,T25,T25,Kevin Kisner,24,20,1.0
30,T31,T31,Roberto Castro,27,19,
31,T31,T31,Kevin Chappell,29,19,
32,T31,T31,Fred Couples,4,19,
33,T31,T31,Jim Furyk,24,19,1.0
34,T31,T31,Bernhard Langer,1,19,1.0
35,T31,T31,Steve Wheatcroft,22,19,
36,T37,T37,Briny Baird,13,18,6.0
37,T37,T37,Jason Bohn,28,18,
38,T37,T37,Bart Bryant,6,18,5.0
39,T37,T37,Scott Dunlap,20,18,
40,T37,T37,Brian Harman,30,18,4.0
41,T37,T37,Brandt Jobe,18,18,4.0
42,T37,T37,Kent Jones,7,18,2.0
43,T37,T37,Russell Knox,23,18,1.0
44,T37,T37,Matt Kuchar,22,18,1.0
45,T37,T37,Garth Mulroy,20,18,
46,T37,T37,Jeff Overton,29,18,
47,T37,T37,Patrick Sheehan,21,18,1.0
48,T37,T37,Heath Slocum,29,18,2.0
49,T37,T37,David Toms,19,18,
50,T37,T37,Cameron Tringale,26,18,2.0
51,T37,T37,Brett Wetterich,7,18,1.0
52,T37,T37,Charlie Wi,25,18,1.0
53,T37,T37,Mark Wilson,25,18,
54,T55,T55,Arjun Atwal,27,17,1.0
55,T55,T55,Gavin Coles,23,17,
56,T55,T55,Lee Janzen,12,17,
57,T55,T55,Rocco Mediate,23,17,
58,T55,T55,Bryce Molder,25,17,1.0
59,T55,T55,Geoff Ogilvy,20,17,
60,T55,T55,Chris Riley,12,17,1.0
61,T55,T55,Ian Woosnam,1,17,17.0
62,T63,T63,Robert Allenby,27,16,1.0
