,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,4.0,
1,2,2,Charles Howell III,16,6.0,
2,T3,T3,Chris DiMarco,14,4.0,
3,T3,T3,Scott Hoch,14,,
4,T3,T3,Tiger Woods,14,6.0,
5,T6,T6,Brendon de Jonge,13,10.0,
6,T6,T6,Harrison Frazar,13,9.0,
7,T6,T6,Chris Kirk,13,13.0,
8,T6,T6,Davis Love III,13,4.0,
9,T6,T6,Scott Piercy,13,13.0,
10,T6,T6,Webb Simpson,13,5.0,
11,T12,T12,Briny Baird,12,2.0,
12,T12,T12,Joe Durant,12,2.0,
13,T12,T12,Shigeki Maruyama,12,,
14,T12,T12,Mark O'Meara,12,,
15,T12,T12,Tim Petrovic,12,5.0,
16,T12,T12,Chris Riley,12,3.0,
17,T12,T12,Kevin Sutherland,12,2.0,
18,T12,T12,David Toms,12,3.0,
19,T12,T12,Johnson Wagner,12,12.0,
20,T21,T21,Brian Bateman,11,,
21,T21,T21,Jonathan Byrd,11,2.0,
22,T21,T21,Ben Crane,11,6.0,
23,T21,T21,David Edwards,11,,
24,T21,T21,Jim Furyk,11,4.0,
25,T21,T21,J.P. Hayes,11,,
26,T21,T21,Jerry Kelly,11,9.0,
27,T21,T21,Bernhard Langer,11,,
28,T21,T21,Bruce Lietzke,11,,
29,T21,T21,Mark McCumber,11,,
30,T21,T21,Rory McIlroy,11,11.0,
31,T21,T21,Jerry Pate,11,,
32,T21,T21,Kenny Perry,11,1.0,
33,T21,T21,John Senden,11,4.0,
34,T21,T21,Scott Verplank,11,1.0,
35,T36,T36,Woody Austin,10,2.0,
36,T36,T36,Chad Campbell,10,5.0,
37,T36,T36,Fred Couples,10,1.0,
38,T36,T36,Brian Davis,10,5.0,
39,T36,T36,Steve Flesch,10,,
40,T36,T36,Carlos Franco,10,,
41,T36,T36,David Frost,10,,
42,T36,T36,Fred Funk,10,1.0,
43,T36,T36,Robert Gamez,10,1.0,
44,T36,T36,Lucas Glover,10,2.0,
45,T36,T36,Matt Kuchar,10,6.0,
46,T36,T36,Rocco Mediate,10,5.0,
47,T36,T36,James Nitties,10,,
48,T36,T36,Corey Pavin,10,2.0,
49,T36,T36,David Peoples,10,,
50,T36,T36,Tom Pernice Jr.,10,2.0,
