,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Fred Funk,112,13.74,186,1354,+1.94
1,2,2,Glen Hnatiuk,92,15.63,191,1222,+1.99
2,3,3,Hal Sutton,81,15.82,158,999,+0.82
3,4,4,Gavin Coles,69,16.55,143,864,+2.59
4,T5,T5,Luke Donald,88,16.81,193,1148,+2.18
5,T5,T5,Jim Furyk,104,16.81,196,1166,+1.22
6,7,7,Robert Damron,96,16.85,211,1252,+1.99
7,8,8,Joe Durant,96,17.31,207,1196,+1.59
8,9,9,Peter Jacobsen,75,17.33,166,958,+1.69
9,10,10,Skip Kendall,110,17.55,239,1362,+0.75
10,11,11,Heath Slocum,101,17.71,241,1361,+1.20
11,12,12,Billy Mayfair,105,17.76,225,1267,+1.42
12,13,13,Olin Browne,113,18.1,254,1403,+1.54
13,14,14,Jeff Maggert,81,18.2,182,1000,+2.09
14,15,15,Mike Grob,83,18.28,196,1072,+2.55
15,16,16,Tim Clark,79,18.5,168,908,+1.90
16,17,17,Pat Bates,111,18.56,266,1433,+0.56
17,18,18,Carl Paulson,101,18.64,257,1379,+1.44
18,19,19,Richard Johnson,89,18.74,214,1142,+1.17
19,20,20,Hidemichi Tanaka,112,18.78,283,1507,+1.98
20,21,21,Rocco Mediate,80,18.9,169,894,+2.60
21,22,22,Kenny Perry,98,18.98,208,1096,+1.15
22,23,23,Loren Roberts,87,19.09,189,990,+1.22
23,24,24,Notah Begay III,92,19.12,229,1198,+1.57
24,25,25,Corey Pavin,88,19.13,210,1098,+1.71
25,26,26,Tom Byrum,97,19.14,219,1144,+1.92
26,27,27,John Rollins,89,19.16,177,924,+1.92
27,28,28,Jerry Kelly,108,19.22,241,1254,+1.33
28,29,29,Scott Verplank,97,19.35,219,1132,+1.19
29,30,30,Joey Sindelar,93,19.39,240,1238,+0.67
30,31,31,Gene Sauers,87,19.45,220,1131,+1.95
31,32,32,Shigeki Maruyama,87,19.81,208,1050,+1.39
32,33,33,Justin Leonard,80,19.82,180,908,+0.33
33,34,34,J.P. Hayes,79,19.88,203,1021,+2.12
34,35,35,Doug Barron,90,19.9,238,1196,+2.35
35,36,36,David Peoples,96,19.92,251,1260,+1.27
36,37,37,Cliff Kresge,102,19.97,248,1242,+1.01
37,38,38,Matt Kuchar,63,20.12,167,830,+2.46
38,39,39,Tom Gillis,71,20.18,180,892,+0.94
39,40,40,Chris Anderson,96,20.2,245,1213,+1.27
40,41,41,Dudley Hart,66,20.29,170,838,+0.82
41,42,42,Garrett Willis,97,20.32,255,1255,+1.69
42,43,43,Jay Don Blake,77,20.33,184,905,+3.10
43,44,44,Kirk Triplett,92,20.35,221,1086,+0.68
44,45,45,John Riegger,55,20.36,134,658,+1.27
45,46,46,Rod Pampling,87,20.37,207,1016,+1.26
46,47,47,Glen Day,103,20.42,270,1322,+1.07
47,48,48,John Maginnes,87,20.48,222,1084,+1.58
48,49,49,Cameron Beckman,86,20.52,238,1160,+0.80
49,50,50,Donnie Hammond,92,20.54,245,1193,+1.84
50,51,51,Darron Stiles,93,20.55,232,1129,+1.85
51,52,52,Steven Alker,87,20.57,232,1128,+1.55
52,53,53,José Coceres,62,20.61,155,752,+2.58
53,54,54,Jeff Klein,60,20.63,156,756,+2.82
54,55,55,Jeff Sluman,106,20.68,262,1267,+1.18
55,T56,T56,Paul Goydos,86,20.69,228,1102,+1.62
56,T56,T56,Jay Williamson,93,20.69,245,1184,+1.67
57,58,58,Duffy Waldorf,90,20.7,219,1058,+0.78
58,59,59,Mark O'Meara,69,20.78,144,693,+1.88
59,60,60,John Huston,76,20.86,209,1002,-0.05
60,61,61,John Senden,111,20.89,297,1422,+0.61
61,62,62,Frank Lickliter II,94,21.0,239,1138,+1.63
62,63,63,Brad Elder,51,21.02,132,628,+2.12
63,T64,T64,Bob Burns,88,21.05,224,1064,+2.23
64,T64,T64,Spike McRoy,103,21.05,285,1354,+1.65
65,66,66,David Gossett,92,21.06,258,1225,+1.09
66,T67,T67,Aaron Barber,94,21.07,260,1234,+1.69
67,T67,T67,Kent Jones,74,21.07,185,878,+0.59
68,69,69,Chris DiMarco,98,21.12,234,1108,+0.85
69,70,70,Alex Cejka,98,21.13,232,1098,+0.99
70,71,71,Mark Brooks,90,21.19,232,1095,+2.28
71,72,72,Esteban Toledo,109,21.2,301,1420,+1.23
72,73,73,Chris Smith,92,21.21,249,1174,+1.53
73,74,74,J.L. Lewis,99,21.25,258,1214,+2.36
74,75,75,Tom Lehman,87,21.31,205,962,+1.66
75,76,76,Craig Barlow,95,21.44,271,1264,+2.07
76,77,77,Mike Heinen,89,21.45,248,1156,+0.77
77,78,78,Mark Wilson,82,21.46,227,1058,+1.81
78,79,79,Harrison Frazar,88,21.54,249,1156,+0.88
79,80,80,Akio Sadakata,83,21.68,230,1061,+2.30
80,81,81,Chad Campbell,105,21.72,260,1197,+1.00
81,82,82,Tim Petrovic,108,21.75,281,1292,+1.10
82,83,83,Jim Carter,95,21.85,271,1240,+1.81
83,84,84,Jeff Brehaut,110,21.91,307,1401,+1.04
84,85,85,Matt Gogel,77,21.96,206,938,+1.70
85,T86,T86,Briny Baird,113,21.99,322,1464,+0.71
86,T86,T86,Darren Clarke,61,21.99,117,532,+0.68
87,88,88,J.J. Henry,100,22.02,294,1335,+1.36
88,89,89,Dean Wilson,82,22.06,225,1020,+1.47
89,90,90,Per-Ulrik Johansson,96,22.15,278,1255,+2.23
90,91,91,Jonathan Byrd,101,22.17,270,1218,+1.52
91,92,92,Brandt Jobe,77,22.22,226,1017,+0.44
92,T93,T93,Brian Bateman,70,22.45,194,864,+1.13
93,T93,T93,Brian Gay,100,22.45,279,1243,+1.76
94,T93,T93,Kenneth Staton,59,22.45,172,766,+1.28
95,96,96,Rory Sabbatini,95,22.5,248,1102,+0.77
96,97,97,Bernhard Langer,65,22.51,163,724,+1.60
97,T98,T98,Mark Calcavecchia,84,22.53,221,981,+0.77
98,T98,T98,Arron Oberholser,80,22.53,242,1074,+0.99
99,100,100,Bob Estes,92,22.57,237,1050,+1.65
100,101,101,Joel Edwards,60,22.61,189,836,+1.90
101,102,102,Robert Gamez,114,22.74,332,1460,+1.60
102,103,103,Michael Clark II,54,22.82,162,710,+1.42
103,104,104,Paul Stankowski,67,22.95,202,880,+2.03
104,105,105,Dan Forsman,98,22.97,288,1254,+0.49
105,106,106,Brent Schwarzrock,60,23.02,177,769,+1.81
106,107,107,Ben Curtis,69,23.15,194,838,+2.11
107,108,108,Cameron Yancey,58,23.17,165,712,+1.64
108,109,109,Jay Haas,89,23.18,233,1005,+1.55
109,110,110,Kenichi Kuboya,91,23.2,271,1168,+1.73
110,111,111,David Toms,90,23.29,218,936,+1.01
111,112,112,Marco Dawson,86,23.3,244,1047,+1.07
112,113,113,"Dave Stockton, Jr.",79,23.31,234,1004,+2.09
113,114,114,Tim Herron,102,23.34,295,1264,+1.83
114,115,115,Davis Love III,85,23.37,208,890,+0.67
115,116,116,Shaun Micheel,97,23.4,293,1252,+1.57
116,117,117,Jesper Parnevik,102,23.41,284,1213,+1.34
117,118,118,Dicky Pride,73,23.48,209,890,+0.91
118,119,119,David Frost,80,23.57,247,1048,+1.34
119,120,120,Nick Price,65,23.58,166,704,+1.75
120,T121,T121,Tommy Armour III,66,23.61,187,792,+1.44
