,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Mike Heinen,29,51,8,43
1,2,2,Carl Paulson,32,64,42,22
2,3,3,Kenny Perry,26,69,27,42
3,4,4,Chad Campbell,27,83,31,52
4,5,5,Tommy Armour III,23,91,36,55
5,6,6,John Senden,33,92,53,39
6,7,7,Mike Grob,27,93,87,6
7,8,8,Kenneth Staton,22,95,37,58
8,9,9,Robert Allenby,24,101,28,73
9,10,10,Joe Durant,28,104,94,10
10,11,11,Hal Sutton,24,105,102,3
11,12,12,Harrison Frazar,27,110,18,92
12,13,13,Briny Baird,33,112,52,60
13,14,14,Brent Schwarzrock,20,113,25,88
14,15,15,Darren Clarke,16,120,4,116
15,16,16,Brian Bateman,26,122,20,102
16,T17,T17,Jeff Brehaut,32,123,79,44
17,T17,T17,Darron Stiles,29,123,55,68
18,19,19,John Riegger,17,124,100,24
19,T20,T20,Tom Gillis,25,126,96,30
20,T20,T20,Garrett Willis,32,126,85,41
21,22,22,Craig Barlow,29,127,37,90
22,23,23,Peter Jacobsen,22,128,119,9
23,24,24,Kent Jones,23,131,95,36
24,25,25,Jim Furyk,27,135,131,4
25,26,26,Davis Love III,23,136,15,121
26,27,27,Vijay Singh,27,139,6,133
27,T28,T28,Mathew Goggin,28,140,10,130
28,T28,T28,Brandt Jobe,22,140,51,89
29,T28,T28,Jay Williamson,31,140,103,37
30,T31,T31,Cliff Kresge,32,142,96,46
31,T31,T31,Rod Pampling,27,142,64,78
32,T33,T33,Billy Mayfair,31,145,113,32
33,T33,T33,Hidemichi Tanaka,30,145,133,12
34,T35,T35,Jonathan Byrd,29,146,24,122
35,T35,T35,David Gossett,28,146,82,64
36,T35,T35,J.J. Henry,31,146,46,100
37,T38,T38,David Peoples,30,147,114,33
38,T38,T38,Kirk Triplett,25,147,128,19
39,T40,T40,José Coceres,21,150,125,25
40,T40,T40,Skip Kendall,30,150,142,8
41,T42,T42,Jonathan Kaye,27,151,22,129
