,Driving_Pct._320_All_Drives_RANK THIS WEEK,Driving_Pct._320_All_Drives_RANK LAST WEEK,Driving_Pct._320_All_Drives_PLAYER NAME,Driving_Pct._320_All_Drives_ROUNDS,Driving_Pct._320_All_Drives_%,Driving_Pct._320_All_Drives_TOTAL DRIVES FOR 320+,Driving_Pct._320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._320_All_Drives_RELATIVE TO PAR
0,1,1,Hank Kuehne,73,35.77,308,861,-0.282
1,2,2,John Daly,56,28.28,166,587,-0.169
2,3,3,Vijay Singh,106,18.42,193,1048,-0.352
3,4,4,Phil Mickelson,87,16.46,119,723,-0.210
4,5,5,Ernie Els,65,16.3,90,552,-0.233
5,6,6,Sergio Garcia,62,16.2,81,500,-0.259
6,7,7,Adam Scott,52,13.89,65,468,-0.215
7,8,8,Darren Clarke,61,12.38,64,517,-0.313
8,9,9,Retief Goosen,69,12.37,74,598,-0.419
9,10,10,Davis Love III,85,11.52,90,781,-0.311
10,11,11,Tiger Woods,74,11.0,76,691,-0.395
11,12,12,Brenden Pappas,105,10.9,130,1193,-0.292
12,13,13,Deane Pappas,75,10.84,95,876,-0.337
13,14,14,Mike Heinen,89,10.53,113,1073,-0.283
14,15,15,Mathew Goggin,90,9.88,98,992,-0.265
15,16,16,Jonathan Byrd,101,9.74,101,1037,-0.406
16,17,17,Todd Barranger,78,9.65,85,881,-0.188
17,18,18,Carlos Franco,99,9.54,113,1184,-0.381
18,19,19,Harrison Frazar,88,9.39,96,1022,-0.365
19,T20,T20,Fred Couples,71,9.33,53,568,-0.321
20,T20,T20,Ty Tryon,52,9.33,53,568,-0.264
21,22,22,Andrew Magee,91,9.19,96,1045,-0.333
22,23,23,Andy Miller,75,9.0,77,856,-0.416
23,24,24,Rory Sabbatini,95,8.77,86,981,-0.186
24,25,25,Stuart Appleby,90,8.34,76,911,-0.224
25,26,26,Tommy Armour III,66,8.22,61,742,-0.295
26,27,27,Scott McCarron,86,8.17,65,796,-0.231
27,28,28,Chris Smith,92,8.15,83,1019,-0.422
28,29,29,Jason Gore,83,8.06,75,930,-0.173
29,30,30,Robert Allenby,87,8.05,65,807,-0.262
30,31,31,Jason Caron,74,7.98,67,840,-0.209
31,32,32,Kenneth Staton,59,7.94,56,705,-0.232
32,33,33,Kenny Perry,98,7.93,76,958,-0.184
33,34,34,Ian Leggatt,71,7.91,63,796,-0.286
34,35,35,Charles Howell III,120,7.89,94,1192,-0.191
35,36,36,Rich Beem,80,7.46,57,764,-0.088
36,37,37,K.J. Choi,112,7.42,82,1105,-0.305
37,38,38,Jonathan Kaye,91,7.27,69,949,-0.290
38,39,39,Brent Schwarzrock,60,7.23,50,692,-0.380
39,40,40,Patrick Sheehan,101,7.18,87,1211,-0.333
40,41,41,Rod Pampling,87,7.0,63,900,-0.175
41,42,42,Paul Stankowski,67,6.96,53,761,-0.358
42,43,43,John Morgan,81,6.72,63,938,-0.302
43,44,44,Peter Lonard,96,6.69,65,971,-0.231
44,45,45,Craig Perks,82,6.58,57,866,-0.228
45,46,46,Brett Quigley,92,6.52,67,1028,-0.358
46,47,47,Tim Herron,102,6.48,75,1158,-0.333
47,48,48,Brent Geiberger,51,6.43,39,607,-0.282
48,49,49,David Toms,90,6.26,52,831,-0.327
49,50,50,Woody Austin,107,6.09,72,1182,-0.222
50,51,51,Darron Stiles,93,6.03,59,979,-0.153
51,52,52,Steve Lowery,86,5.96,52,873,-0.385
52,53,53,Shaun Micheel,97,5.94,67,1128,-0.313
53,54,54,J.J. Henry,100,5.89,71,1205,-0.225
54,55,55,Neal Lancaster,110,5.79,75,1295,-0.387
55,56,56,Brian Bateman,70,5.72,45,787,-0.378
56,57,57,Steve Allan,53,5.71,36,630,-0.278
57,58,58,Brandt Jobe,77,5.64,50,887,-0.200
58,59,59,Craig Barlow,95,5.51,62,1125,-0.194
59,60,60,Cameron Beckman,86,5.44,56,1029,-0.125
60,61,61,Carl Paulson,101,5.38,67,1246,-0.418
61,62,62,Vance Veazey,66,5.23,39,746,-0.282
62,63,63,Chad Campbell,105,5.13,56,1091,-0.321
63,64,64,Mark Calcavecchia,84,5.11,47,919,-0.340
64,65,65,Marco Dawson,86,5.02,45,897,-0.422
65,66,66,Ben Crane,94,4.93,51,1034,-0.255
66,67,67,Jason Buha,61,4.92,34,691,-0.265
67,68,68,Mike Weir,80,4.83,35,725,-0.314
68,69,69,Brad Elder,51,4.76,27,567,E
69,70,70,Geoff Ogilvy,86,4.73,43,909,-0.256
70,71,71,Mike Sposa,72,4.72,41,869,-0.171
71,T72,T72,Jeff Brehaut,110,4.64,59,1271,-0.339
72,T72,T72,J.L. Lewis,99,4.64,48,1035,-0.271
73,74,74,John Rollins,89,4.59,36,785,-0.167
74,T75,T75,Briny Baird,113,4.55,59,1296,-0.339
75,T75,T75,Thomas Levet,85,4.55,44,966,-0.364
76,T75,T75,Bob Tway,89,4.55,46,1010,-0.413
77,78,78,Kevin Sutherland,97,4.48,41,916,-0.244
78,79,79,Joey Sindelar,93,4.43,49,1105,-0.204
79,80,80,John Riegger,55,4.34,27,622,-0.148
80,81,81,Anthony Painter,87,4.33,43,993,-0.116
81,82,82,Paul Gow,62,4.2,32,761,-0.313
82,83,83,John Senden,111,4.15,53,1278,-0.340
83,84,84,Aaron Baddeley,71,4.14,31,749,-0.516
84,85,85,Jerry Kelly,108,4.11,45,1094,-0.444
85,T86,T86,Steve Flesch,110,4.03,51,1266,-0.392
86,T86,T86,Duffy Waldorf,90,4.03,38,942,-0.211
87,T88,T88,Stewart Cink,104,4.02,46,1144,-0.304
88,T88,T88,Mike Grob,83,4.02,39,969,-0.359
89,T88,T88,Kent Jones,74,4.02,34,845,-0.059
90,91,91,Cameron Yancey,58,3.99,26,651,-0.615
91,92,92,Akio Sadakata,83,3.95,36,912,-0.028
92,93,93,Per-Ulrik Johansson,96,3.93,44,1119,-0.182
93,94,94,Garrett Willis,97,3.88,45,1160,-0.400
94,T95,T95,David Sutherland,77,3.77,32,849,-0.375
95,T95,T95,Hal Sutton,81,3.77,34,903,-0.235
96,97,97,Pat Perez,95,3.72,37,995,-0.189
97,98,98,Robert Gamez,114,3.71,48,1295,-0.417
98,99,99,Steve Stricker,59,3.7,26,702,-0.385
99,100,100,John Huston,76,3.66,32,874,-0.438
100,101,101,Joe Durant,96,3.64,39,1071,-0.205
101,102,102,Greg Chalmers,98,3.61,42,1163,-0.262
102,103,103,Dan Forsman,98,3.6,40,1112,-0.350
103,104,104,Dicky Pride,73,3.59,29,808,-0.069
104,105,105,Jeff Sluman,106,3.52,39,1107,-0.282
105,106,106,Rocco Mediate,80,3.51,29,826,-0.103
106,107,107,Carl Pettersson,80,3.4,32,942,-0.156
107,108,108,Tom Pernice Jr.,105,3.37,39,1158,-0.308
