,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Jeff Sluman,106,473,Bob Hope Chrysler Classic,2,14,649
1,2,2,Retief Goosen,69,452,Mercedes Championships,2,18,656
2,3,3,Phil Tataurangi,32,449,Mercedes Championships,2,18,656
3,4,4,Paul Goydos,86,446,The Honda Classic,2,5,692
4,5,5,Ian Leggatt,71,439,Mercedes Championships,2,18,656
5,6,6,Kenneth Staton,59,436,Valero Texas Open,1,1,625
6,7,7,Greg Kraft,30,430,Valero Texas Open,1,1,625
7,8,8,Jonathan Kaye,91,428,Buick Invitational,2,6,4
8,9,9,Charles Howell III,120,425,Mercedes Championships,2,18,656
9,10,10,Davis Love III,85,416,World Golf Championships-NEC Invitational,4,16,36
10,11,11,Chris Smith,92,415,Mercedes Championships,2,18,656
11,12,12,Rich Beem,80,414,Mercedes Championships,2,18,656
12,T13,T13,Vijay Singh,106,413,Mercedes Championships,2,18,656
13,T13,T13,Jerry Kelly,108,413,Mercedes Championships,2,18,656
14,T15,T15,Rocco Mediate,80,409,Mercedes Championships,2,18,656
15,T15,T15,Ernie Els,65,409,Mercedes Championships,4,12,656
16,17,17,Corey Pavin,88,408,Buick Invitational,4,17,4
17,T18,3,Phil Tataurangi,32,407,Mercedes Championships,1,18,656
18,T18,T18,Arron Oberholser,80,407,The Honda Classic,1,7,692
19,T20,T20,José María Olazábal,47,405,Mercedes Championships,2,18,656
20,T20,T20,Spike McRoy,103,405,Mercedes Championships,1,18,656
21,T20,T20,Hank Kuehne,73,405,100th Western Open presented by Golf Digest,2,1,526
22,T20,T20,Luke Donald,88,405,Mercedes Championships,2,18,656
23,T24,T24,Bob Estes,92,404,Mercedes Championships,2,18,656
24,T24,T13,Vijay Singh,106,404,Mercedes Championships,1,18,656
25,26,T24,Bob Estes,92,403,Mercedes Championships,4,18,656
26,T27,T27,Jim Furyk,104,402,Mercedes Championships,2,18,656
27,T27,T27,K.J. Choi,112,402,Mercedes Championships,2,18,656
28,T27,T27,Jonathan Byrd,101,402,Mercedes Championships,1,18,656
29,T30,10,Davis Love III,85,401,World Golf Championships-American Express Championship,2,14,695
30,T30,T20,Spike McRoy,103,401,Mercedes Championships,2,18,656
31,T32,T32,Per-Ulrik Johansson,96,400,Las Vegas Invitational,2,9,670
