,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Robert Allenby,87,1.9,17,896,+0.176
1,2,2,Brad Elder,51,2.1,13,628,+0.154
2,3,3,Corey Pavin,88,2.2,24,1098,+0.250
3,4,4,Tommy Armour III,66,2.4,19,792,+0.684
4,5,5,Tom Byrum,97,2.5,29,1144,+0.414
5,T6,T6,John Daly,56,2.6,17,656,+0.118
6,T6,T6,Rocco Mediate,80,2.6,23,894,+0.478
7,T8,T8,Kent Jones,74,2.7,24,878,+0.083
8,T8,T8,Hank Kuehne,73,2.7,25,920,+0.280
9,T8,T8,Adam Scott,52,2.7,13,476,-0.077
10,T11,T11,Mike Grob,83,2.8,30,1072,+0.100
11,T11,T11,Jeff Maggert,81,2.8,28,1000,+0.250
12,T11,T11,Vijay Singh,106,2.8,33,1162,+0.061
13,T14,T14,Notah Begay III,92,2.9,35,1198,+0.286
14,T14,T14,Kenny Perry,98,2.9,32,1096,+0.281
15,T16,T16,Brian Henninger,56,3.0,21,696,+0.190
16,T16,T16,Glen Hnatiuk,92,3.0,37,1222,+0.108
17,T16,T16,Geoff Ogilvy,86,3.0,31,1030,-0.097
18,T16,T16,Kirk Triplett,92,3.0,33,1086,+0.061
19,20,20,David Peoples,96,3.1,39,1260,+0.205
20,T21,T21,Jerry Kelly,108,3.2,40,1254,+0.250
21,T21,T21,Jeff Klein,60,3.2,24,756,+0.375
22,T21,T21,John Riegger,55,3.2,21,658,+0.048
23,T21,T21,Akio Sadakata,83,3.2,34,1061,+0.471
24,T21,T21,Kaname Yokoo,56,3.2,22,684,+0.273
25,T26,T26,Skip Kendall,110,3.3,45,1362,+0.178
26,T26,T26,Dicky Pride,73,3.3,29,890,+0.483
27,T26,T26,Hidemichi Tanaka,112,3.3,49,1507,+0.163
28,T29,T29,Steve Allan,53,3.4,22,654,+0.455
29,T29,T29,Bob Burns,88,3.4,36,1064,+0.083
30,T29,T29,Robert Damron,96,3.4,42,1252,+0.143
31,T29,T29,Jim Furyk,104,3.4,40,1166,+0.275
32,T29,T29,Tom Gillis,71,3.4,30,892,+0.167
33,T29,T29,Donnie Hammond,92,3.4,40,1193,+0.150
34,T29,T29,Kenichi Kuboya,91,3.4,40,1168,+0.100
35,T29,T29,Loren Roberts,87,3.4,34,990,+0.176
36,T29,T29,Brent Schwarzrock,60,3.4,26,769,+0.269
37,T29,T29,Bob Tway,89,3.4,38,1105,+0.263
38,T39,T39,Steven Alker,87,3.5,39,1128,+0.308
39,T39,T39,Todd Barranger,78,3.5,34,977,+0.500
40,T39,T39,Jay Don Blake,77,3.5,32,905,+0.313
41,T39,T39,Chad Campbell,105,3.5,42,1197,+0.286
42,T39,T39,Alex Cejka,98,3.5,38,1098,+0.289
43,T39,T39,Bob Estes,92,3.5,37,1050,+0.162
44,T39,T39,Harrison Frazar,88,3.5,40,1156,+0.325
45,T39,T39,Mike Heinen,89,3.5,40,1156,E
46,T39,T39,Frank Lickliter II,94,3.5,40,1138,+0.025
47,T39,T39,Davis Love III,85,3.5,31,890,+0.129
48,T39,T39,Shigeki Maruyama,87,3.5,37,1050,+0.243
49,T50,T50,José Coceres,62,3.6,27,752,+0.111
50,T50,T50,Jesper Parnevik,102,3.6,44,1213,+0.205
51,T50,T50,Jay Williamson,93,3.6,43,1184,+0.140
52,T53,T53,Brian Bateman,70,3.7,32,864,+0.094
53,T53,T53,Olin Browne,113,3.7,52,1403,+0.231
54,T53,T53,Gavin Coles,69,3.7,32,864,+0.281
55,T53,T53,Heath Slocum,101,3.7,51,1361,+0.333
56,T53,T53,Tiger Woods,74,3.7,27,728,+0.185
57,T58,T58,Doug Barron,90,3.8,46,1196,+0.130
58,T58,T58,Fred Funk,112,3.8,51,1354,+0.275
59,T58,T58,Pat Perez,95,3.8,44,1166,+0.318
60,T61,T61,Jeff Brehaut,110,3.9,54,1401,+0.241
61,T61,T61,Glen Day,103,3.9,51,1322,+0.255
62,T61,T61,Joe Durant,96,3.9,47,1196,+0.170
63,T61,T61,John Huston,76,3.9,39,1002,+0.154
64,T61,T61,Jonathan Kaye,91,3.9,41,1045,+0.073
65,T61,T61,Justin Leonard,80,3.9,35,908,+0.229
66,T61,T61,Andrew Magee,91,3.9,45,1155,+0.089
67,T61,T61,Billy Mayfair,105,3.9,50,1267,+0.300
68,T61,T61,Spike McRoy,103,3.9,53,1354,+0.321
69,T61,T61,John Senden,111,3.9,56,1422,+0.054
70,T61,T61,Darron Stiles,93,3.9,44,1129,+0.364
71,T61,T61,David Sutherland,77,3.9,37,944,+0.297
72,T61,T61,Hal Sutton,81,3.9,39,999,+0.179
73,T74,T74,Tim Clark,79,4.0,36,908,+0.278
74,T74,T74,Retief Goosen,69,4.0,28,700,+0.036
75,T74,T74,Paul Goydos,86,4.0,44,1102,+0.114
76,T74,T74,Peter Jacobsen,75,4.0,38,958,+0.105
77,T74,T74,Carl Paulson,101,4.0,55,1379,+0.200
78,T74,T74,Chris Smith,92,4.0,47,1174,+0.511
79,T74,T74,Kenneth Staton,59,4.0,31,766,+0.194
80,T81,T81,J.J. Henry,100,4.1,55,1335,+0.200
81,T81,T81,Ian Leggatt,71,4.1,36,868,+0.361
82,T81,T81,Arron Oberholser,80,4.1,44,1074,+0.432
83,T81,T81,Jeff Sluman,106,4.1,52,1267,+0.173
84,T81,T81,Paul Stankowski,67,4.1,36,880,+0.306
85,T86,T86,Jonathan Byrd,101,4.2,51,1218,+0.314
86,T86,T86,Ernie Els,65,4.2,26,616,+0.192
87,T86,T86,Dan Forsman,98,4.2,53,1254,+0.245
88,T86,T86,Robert Gamez,114,4.2,61,1460,+0.115
89,T86,T86,Per-Ulrik Johansson,96,4.2,53,1255,+0.170
90,T86,T86,Tom Lehman,87,4.2,40,962,+0.400
91,T86,T86,John Morgan,81,4.2,44,1046,+0.114
92,T86,T86,Deane Pappas,75,4.2,40,962,+0.325
93,T86,T86,Brenden Pappas,105,4.2,57,1363,+0.035
94,T95,T95,Paul Azinger,73,4.3,40,933,+0.200
