,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Loren Roberts,87,8.33,12.0,144,-0.08
1,2,2,Paul Goydos,86,7.93,13.0,164,+0.31
2,3,3,Jay Haas,89,6.94,10.0,144,+0.40
3,T4,T4,Corey Pavin,88,6.25,10.0,160,+0.10
4,T4,T4,Steve Stricker,59,6.25,7.0,112,+0.43
5,6,6,Gene Sauers,87,5.42,9.0,166,+0.22
6,7,7,Steven Alker,87,5.36,9.0,168,-0.22
7,8,8,Jeff Klein,60,5.26,6.0,114,+0.83
8,9,9,Fred Couples,71,5.0,5.0,100,-0.20
9,10,10,Mark Brooks,90,4.94,8.0,162,+0.25
10,11,11,Dudley Hart,66,4.92,6.0,122,+0.17
11,12,12,Jeff Maggert,81,4.9,7.0,143,+0.29
12,13,13,Brett Quigley,92,4.88,8.0,164,+0.63
13,14,14,Bernhard Langer,65,4.81,5.0,104,+0.20
14,15,15,Hidemichi Tanaka,112,4.63,10.0,216,+0.10
15,16,16,Gavin Coles,69,4.62,6.0,130,-0.33
16,17,17,Glen Hnatiuk,92,4.6,8.0,174,E
17,T18,T18,Tim Clark,79,4.55,6.0,132,-0.17
18,T18,T18,Thomas Levet,85,4.55,7.0,154,+0.43
19,T18,T18,Paul Stankowski,67,4.55,6.0,132,+0.50
20,21,21,Jesper Parnevik,102,4.44,8.0,180,+0.25
21,22,22,Chris Riley,96,4.43,7.0,158,+0.14
22,23,23,Olin Browne,113,4.33,9.0,208,-0.11
23,24,24,Brad Faxon,97,4.32,7.0,162,E
24,25,25,Luke Donald,88,4.27,7.0,164,+0.29
25,26,26,Scott Verplank,97,4.22,7.0,166,+0.57
26,27,27,J.P. Hayes,79,4.0,6.0,150,+0.33
27,28,28,Jim Carter,95,3.8,7.0,184,E
28,29,29,Cameron Yancey,58,3.7,4.0,108,+1.00
29,30,30,Scott Laycock,71,3.68,5.0,136,+0.20
30,31,31,Matt Gogel,77,3.57,5.0,140,E
31,32,32,Shaun Micheel,97,3.35,6.0,179,+0.33
32,T33,T33,Joel Edwards,60,3.33,4.0,120,-0.50
33,T33,T33,Matt Kuchar,63,3.33,4.0,120,+0.25
34,T33,T33,Shigeki Maruyama,87,3.33,5.0,150,+0.40
35,T36,T36,Pat Bates,111,3.3,7.0,212,+0.14
36,T36,T36,Robert Damron,96,3.3,6.0,182,-0.50
37,38,38,David Frost,80,3.21,5.0,156,+0.20
38,39,39,Aaron Baddeley,71,3.17,4.0,126,+0.25
39,40,40,Tim Petrovic,108,3.14,6.0,191,+0.50
40,41,41,Tom Gillis,71,3.03,4.0,132,+0.75
41,42,42,Lee Janzen,83,2.99,4.0,134,-0.75
42,T43,T43,Skip Kendall,110,2.97,6.0,202,E
43,T43,T43,Mark O'Meara,69,2.97,3.0,101,E
