,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Loren Roberts,87,14.29,124,868,-0.008
1,2,2,Jeff Klein,60,13.12,90,686,+0.200
2,3,3,Steven Alker,87,13.09,127,970,+0.150
3,4,4,Jim Carter,95,12.5,140,1120,+0.164
4,5,5,Corey Pavin,88,12.42,119,958,+0.176
5,6,6,Gavin Coles,69,12.04,91,756,+0.253
6,7,7,Gene Sauers,87,11.87,118,994,+0.068
7,8,8,Dudley Hart,66,11.33,81,715,+0.086
8,9,9,Brad Elder,51,11.11,63,567,+0.222
9,10,10,Richard Johnson,89,10.81,111,1027,+0.117
10,11,11,Michael Clark II,54,10.76,74,688,+0.162
11,12,12,Olin Browne,113,10.33,130,1258,+0.069
12,13,13,Glen Hnatiuk,92,9.95,111,1116,+0.036
13,14,14,Matt Gogel,77,9.93,83,836,+0.169
14,15,15,Esteban Toledo,109,9.89,125,1264,+0.192
15,16,16,Len Mattiace,94,9.74,95,975,+0.042
16,17,17,Luke Donald,88,9.63,99,1028,+0.101
17,18,18,Joel Edwards,60,9.61,76,791,+0.053
18,19,19,J.P. Hayes,79,9.58,83,866,+0.072
19,20,20,Scott Laycock,71,9.52,74,777,+0.162
20,21,21,Brett Quigley,92,9.44,97,1028,+0.144
21,22,22,Joey Sindelar,93,9.41,104,1105,+0.135
22,23,23,Mark O'Meara,69,9.37,55,587,+0.127
23,24,24,Mike Grob,83,9.29,90,969,-0.056
24,T25,T25,David Frost,80,9.21,92,999,E
25,T25,T25,Kenichi Kuboya,91,9.21,98,1064,+0.184
26,27,27,Hal Sutton,81,9.19,83,903,+0.024
27,28,28,Mark Wilson,82,9.16,87,950,+0.195
28,29,29,Jesper Parnevik,102,9.09,98,1078,+0.163
29,30,30,Brent Geiberger,51,9.06,55,607,+0.145
30,31,31,Paul Goydos,86,9.04,90,996,+0.211
31,32,32,Lee Janzen,83,9.03,71,786,+0.127
32,33,33,Bernhard Langer,65,8.91,57,640,+0.088
33,34,34,David Peoples,96,8.9,100,1124,+0.160
