,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Fred Funk,112,79.25,1073,1354,-0.17
1,2,2,Glen Hnatiuk,92,78.15,955,1222,-0.08
2,3,3,Hal Sutton,81,77.48,774,999,-0.15
3,4,4,Jim Furyk,104,76.5,892,1166,-0.24
4,5,5,Skip Kendall,110,75.99,1035,1362,-0.19
5,6,6,Joe Durant,96,75.84,907,1196,-0.16
6,7,7,Robert Damron,96,75.64,947,1252,-0.1
7,8,8,Jeff Maggert,81,75.2,752,1000,-0.13
8,9,9,Mike Grob,83,74.81,802,1072,-0.14
9,10,10,Peter Jacobsen,75,74.74,716,958,-0.15
10,T11,T11,Olin Browne,113,74.48,1045,1403,-0.14
11,T11,T11,Tom Byrum,97,74.48,852,1144,-0.13
12,13,13,Gavin Coles,69,74.42,643,864,-0.02
13,14,14,Hidemichi Tanaka,112,74.25,1119,1507,-0.17
14,15,15,Tim Clark,79,74.23,674,908,-0.14
15,16,16,Rocco Mediate,80,74.16,663,894,-0.21
16,17,17,Heath Slocum,101,74.14,1009,1361,-0.11
17,18,18,José Coceres,62,73.8,555,752,-0.05
18,19,19,John Riegger,55,73.56,484,658,-0.16
19,20,20,Loren Roberts,87,73.43,727,990,-0.13
20,21,21,Corey Pavin,88,73.41,806,1098,-0.13
21,22,22,Notah Begay III,92,73.29,878,1198,-0.1
22,23,23,Billy Mayfair,105,73.24,928,1267,-0.16
23,24,24,Scott Verplank,97,73.23,829,1132,-0.21
24,25,25,Richard Johnson,89,72.68,830,1142,-0.13
25,26,26,Kenny Perry,98,72.63,796,1096,-0.23
26,27,27,Kirk Triplett,92,72.56,788,1086,-0.22
27,28,28,Carl Paulson,101,72.52,1000,1379,-0.16
28,29,29,Kent Jones,74,72.32,635,878,-0.17
29,30,30,Jerry Kelly,108,72.25,906,1254,-0.23
30,31,31,Glen Day,103,71.94,951,1322,-0.21
31,T32,T32,Luke Donald,88,71.86,825,1148,-0.16
32,T32,T32,Tom Gillis,71,71.86,641,892,-0.12
33,34,34,Jay Williamson,93,71.79,850,1184,-0.12
34,35,35,David Peoples,96,71.67,903,1260,-0.16
35,36,36,Donnie Hammond,92,71.5,853,1193,-0.1
36,37,37,Pat Bates,111,71.46,1024,1433,-0.14
37,38,38,Jeff Klein,60,71.3,539,756,-0.03
38,39,39,Paul Goydos,86,71.14,784,1102,-0.14
39,40,40,Mike Heinen,89,70.59,816,1156,-0.14
40,41,41,Doug Barron,90,70.57,844,1196,-0.14
41,42,42,Cliff Kresge,102,70.53,876,1242,-0.13
42,43,43,Chad Campbell,105,70.26,841,1197,-0.23
43,44,44,John Senden,111,70.25,999,1422,-0.15
44,45,45,Justin Leonard,80,70.15,637,908,-0.23
