,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Peter Jacobsen,75,89.63,933,1041
1,2,2,Joe Durant,96,89.0,1189,1336
2,3,3,Glen Hnatiuk,92,88.95,1103,1240
3,4,4,Kirk Triplett,92,88.91,1114,1253
4,5,5,Fred Funk,112,88.7,1350,1522
5,6,6,Jeff Brehaut,110,88.52,1318,1489
6,7,7,Heath Slocum,101,88.28,1205,1365
7,8,8,Mike Heinen,89,88.16,1080,1225
8,9,9,Jim Furyk,104,88.0,1247,1417
9,10,10,Hal Sutton,81,87.93,991,1127
10,11,11,Skip Kendall,110,87.84,1343,1529
11,12,12,Mike Grob,83,87.4,985,1127
12,13,13,Spike McRoy,103,87.3,1231,1410
13,14,14,John Huston,76,87.26,911,1044
14,15,15,John Senden,111,87.12,1299,1491
15,16,16,Carl Paulson,101,87.06,1225,1407
16,17,17,Tom Gillis,71,87.03,825,948
17,18,18,Hidemichi Tanaka,112,87.01,1360,1563
18,19,19,Cameron Beckman,86,86.98,1009,1160
19,T20,T20,Pat Bates,111,86.95,1306,1502
20,T20,T20,David Peoples,96,86.95,1159,1333
21,22,22,Robert Damron,96,86.9,1161,1336
22,23,23,Jay Williamson,93,86.89,1113,1281
23,24,24,Jeff Maggert,81,86.88,980,1128
24,25,25,Briny Baird,113,86.84,1320,1520
25,26,26,Billy Mayfair,105,86.81,1270,1463
26,27,27,Olin Browne,113,86.72,1326,1529
27,28,28,Alex Cejka,98,86.6,1099,1269
28,29,29,Joey Sindelar,93,86.57,1096,1266
29,30,30,Duffy Waldorf,90,86.56,1037,1198
30,31,31,Kenneth Staton,59,86.51,686,793
31,32,32,Chad Campbell,105,86.5,1230,1422
32,33,33,Glen Day,103,86.36,1216,1408
33,34,34,Brandt Jobe,77,86.3,926,1073
34,35,35,Notah Begay III,92,86.27,1081,1253
35,36,36,Garrett Willis,97,86.25,1154,1338
36,37,37,Dan Forsman,98,86.24,1178,1366
37,38,38,Jeff Sluman,106,86.16,1251,1452
38,39,39,Cliff Kresge,102,86.09,1201,1395
39,40,40,Chris Smith,92,86.08,1107,1286
40,41,41,Scott Verplank,97,86.07,1155,1342
41,42,42,Harrison Frazar,88,86.06,1019,1184
42,43,43,Carlos Franco,99,85.95,1162,1352
43,44,44,Doug Barron,90,85.78,1050,1224
44,45,45,J.J. Henry,100,85.77,1145,1335
45,46,46,Paul Goydos,86,85.74,992,1157
46,T47,T47,Tim Clark,79,85.58,932,1089
47,T47,T47,Jerry Kelly,108,85.58,1240,1449
48,49,49,Kent Jones,74,85.54,834,975
49,T50,T50,Tom Byrum,97,85.51,1157,1353
50,T50,T50,Gene Sauers,87,85.51,1015,1187
51,52,52,Donnie Hammond,92,85.43,1091,1277
52,53,53,Gavin Coles,69,85.42,785,919
53,54,54,David Gossett,92,85.4,1094,1281
54,55,55,Stephen Ames,91,85.36,1055,1236
55,56,56,Loren Roberts,87,85.32,1023,1199
56,57,57,José Coceres,62,85.3,737,864
57,58,58,Frank Lickliter II,94,85.22,1078,1265
58,59,59,Tim Petrovic,108,85.16,1234,1449
59,60,60,Kenny Perry,98,85.15,1147,1347
60,61,61,Vijay Singh,106,85.14,1215,1427
61,62,62,Esteban Toledo,109,85.13,1259,1479
62,63,63,Bob Tway,89,85.03,1011,1189
63,64,64,Arron Oberholser,80,84.93,947,1115
64,65,65,Neal Lancaster,110,84.9,1265,1490
65,T66,T66,Robert Allenby,87,84.64,948,1120
66,T66,T66,Mark Wilson,82,84.64,942,1113
67,68,68,David Sutherland,77,84.6,857,1013
68,69,69,Brian Bateman,70,84.57,789,933
69,70,70,Andrew Magee,91,84.55,1051,1243
70,71,71,John Riegger,55,84.46,614,727
71,T72,T72,Luke Donald,88,84.42,1040,1232
72,T72,T72,Richard Johnson,89,84.42,1046,1239
73,74,74,J.P. Hayes,79,84.34,932,1105
74,75,75,Brenden Pappas,105,84.29,1207,1432
75,76,76,Woody Austin,107,84.27,1221,1449
76,77,77,Tommy Armour III,66,84.25,749,889
77,78,78,Chris DiMarco,98,84.2,1098,1304
78,79,79,Corey Pavin,88,84.18,1006,1195
79,80,80,John Maginnes,87,84.12,1017,1209
80,81,81,Craig Barlow,95,84.09,1089,1295
81,82,82,Tom Lehman,87,84.08,961,1143
82,83,83,Robert Gamez,114,83.97,1331,1585
83,84,84,Shaun Micheel,97,83.92,1101,1312
84,85,85,Rod Pampling,87,83.87,972,1159
85,86,86,Jonathan Byrd,101,83.86,1185,1413
86,T87,T87,Matt Gogel,77,83.84,856,1021
87,T87,T87,Rocco Mediate,80,83.84,913,1089
88,89,89,Justin Leonard,80,83.78,878,1048
89,90,90,Dicky Pride,73,83.74,850,1015
90,91,91,Jay Haas,89,83.71,971,1160
91,92,92,Paul Stankowski,67,83.64,782,935
92,93,93,Davis Love III,85,83.62,919,1099
93,T94,T94,Bob Burns,88,83.59,983,1176
94,T94,T94,Retief Goosen,69,83.59,749,896
95,T94,T94,Thomas Levet,85,83.59,968,1158
96,97,97,Aaron Barber,94,83.56,1093,1308
97,98,98,Geoff Ogilvy,86,83.54,954,1142
98,99,99,Shigeki Maruyama,87,83.53,994,1190
99,100,100,J.L. Lewis,99,83.52,1130,1353
100,101,101,Joel Edwards,60,83.49,698,836
101,102,102,Jim Carter,95,83.47,1081,1295
102,103,103,Bob Estes,92,83.44,1063,1274
103,104,104,Akio Sadakata,83,83.36,942,1130
104,105,105,Mathew Goggin,90,83.35,1001,1201
105,T106,T106,Chris Anderson,96,83.33,1115,1338
106,T106,T106,Jonathan Kaye,91,83.33,1025,1230
107,T106,T106,Darron Stiles,93,83.33,1045,1254
108,T109,T109,Kevin Sutherland,97,83.3,1097,1317
109,T109,T109,David Toms,90,83.3,943,1132
110,111,111,Nick Price,65,83.26,726,872
111,112,112,Charles Howell III,120,83.22,1339,1609
112,113,113,Rich Beem,80,83.13,897,1079
113,T114,T114,Steven Alker,87,83.09,983,1183
114,T114,T114,Ian Leggatt,71,83.09,791,952
115,T114,T114,Tiger Woods,74,83.09,791,952
116,117,117,Chris Riley,96,83.07,1045,1258
117,118,118,Stuart Appleby,90,83.03,988,1190
118,119,119,Jesper Parnevik,102,83.0,1157,1394
119,120,120,Mike Weir,80,82.93,865,1043
120,121,121,Brent Schwarzrock,60,82.84,671,810
121,T122,T122,David Frost,80,82.81,925,1117
122,T122,T122,Patrick Sheehan,101,82.81,1142,1379
123,T124,T124,Matt Kuchar,63,82.73,709,857
124,T124,T124,Steve Lowery,86,82.73,920,1112
125,126,126,Scott McCarron,86,82.67,935,1131
126,127,127,John Morgan,81,82.65,910,1101
127,128,128,Bernhard Langer,65,82.62,737,892
128,129,129,Per-Ulrik Johansson,96,82.61,1107,1340
129,130,130,Brad Elder,51,82.6,565,684
130,131,131,Scott Laycock,71,82.59,797,965
131,132,132,Brian Gay,100,82.51,1118,1355
132,T133,T133,Jason Buha,61,82.47,668,810
133,T133,T133,Steve Flesch,110,82.47,1242,1506
134,135,135,Marco Dawson,86,82.42,966,1172
135,136,136,Jeff Klein,60,82.37,668,811
136,137,137,Dean Wilson,82,82.36,943,1145
137,T138,T138,Ernie Els,65,82.26,691,840
138,T138,T138,Pat Perez,95,82.26,1062,1291
139,140,140,Kenichi Kuboya,91,82.22,1017,1237
140,141,141,Deane Pappas,75,82.2,836,1017
141,142,142,Ben Curtis,69,82.14,791,963
142,143,143,Paul Gow,62,82.08,710,865
143,144,144,Adam Scott,52,81.99,528,644
144,145,145,Sergio Garcia,62,81.92,657,802
145,146,146,Jay Don Blake,77,81.9,855,1044
146,147,147,Tom Pernice Jr.,105,81.89,1162,1419
147,148,148,Darren Clarke,61,81.75,618,756
148,T149,T149,Lee Janzen,83,81.69,910,1114
149,T149,T149,Cameron Yancey,58,81.69,638,781
150,T151,T151,K.J. Choi,112,81.61,1207,1479
151,T151,T151,Peter Lonard,96,81.61,1025,1256
152,T153,T153,Mark Brooks,90,81.57,987,1210
153,T153,T153,Len Mattiace,94,81.57,1062,1302
154,155,155,Dudley Hart,66,81.54,751,921
155,T156,T156,Mark Calcavecchia,84,81.39,949,1166
156,T156,T156,Brian Henninger,56,81.39,634,779
157,158,158,Carl Pettersson,80,81.32,897,1103
158,159,159,Michael Clark II,54,81.23,610,751
159,160,160,Stewart Cink,104,81.21,1132,1394
160,T161,T161,Billy Andrade,100,81.15,1128,1390
161,T161,T161,Todd Fischer,97,81.15,1072,1321
162,163,163,Tim Herron,102,80.9,1127,1393
163,164,164,Paul Azinger,73,80.73,821,1017
164,165,165,Rory Sabbatini,95,80.72,1047,1297
165,166,166,Ben Crane,94,80.69,1036,1284
166,167,167,Brent Geiberger,51,80.5,574,713
167,168,168,John Rollins,89,80.49,957,1189
168,169,169,Anthony Painter,87,80.25,951,1185
169,170,170,Hank Kuehne,73,80.18,793,989
170,171,171,"Dave Stockton, Jr.",79,80.07,860,1074
171,172,172,Brad Faxon,97,80.0,1060,1325
172,173,173,Mike Sposa,72,79.84,780,977
173,174,174,Andy Miller,75,79.81,834,1045
174,175,175,Vance Veazey,66,79.8,735,921
175,176,176,Fred Couples,71,79.79,746,935
176,177,177,Brett Quigley,92,79.56,973,1223
177,178,178,Aaron Baddeley,71,79.21,739,933
178,179,179,Kaname Yokoo,56,79.15,596,753
179,180,180,Mark O'Meara,69,78.91,737,934
180,181,181,Jason Caron,74,78.87,780,989
181,182,182,Greg Chalmers,98,78.76,1042,1323
182,183,183,Steve Allan,53,78.71,536,681
183,184,184,Craig Perks,82,78.68,871,1107
184,185,185,Ty Tryon,52,78.54,549,699
185,186,186,Todd Barranger,78,78.11,817,1046
186,187,187,Phil Mickelson,87,77.4,863,1115
187,188,188,Jason Gore,83,77.34,891,1152
188,189,189,John Daly,56,76.44,597,781
189,190,190,Steve Stricker,59,75.54,590,781
