,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,T1,T1,Tom Gillis,71,-.049
1,T1,T1,Hank Kuehne,73,-.049
2,3,3,John Huston,76,-.032
3,4,4,Fred Couples,71,-.013
4,T5,T5,Brandt Jobe,77,-.010
5,T5,T5,Tiger Woods,74,-.010
6,7,7,Brenden Pappas,105,-.006
7,T8,T8,Aaron Baddeley,71,E
8,T8,T8,Pat Bates,111,E
9,T8,T8,Retief Goosen,69,E
10,T8,T8,Justin Leonard,80,E
11,T8,T8,Nick Price,65,E
12,13,13,Charles Howell III,120,+.007
13,14,14,Phil Mickelson,87,+.015
14,15,15,Vijay Singh,106,+.016
15,T16,T16,Darren Clarke,61,+.020
16,T16,T16,Dan Forsman,98,+.020
17,18,18,Kevin Sutherland,97,+.022
18,19,19,Neal Lancaster,110,+.027
19,20,20,Dean Wilson,82,+.030
20,T21,T21,Briny Baird,113,+.036
21,T21,T21,John Senden,111,+.036
22,T23,T23,Stewart Cink,104,+.037
23,T23,T23,Brent Geiberger,51,+.037
24,25,25,Mark Calcavecchia,84,+.038
25,T26,T26,Chris Riley,96,+.047
26,T26,T26,Joey Sindelar,93,+.047
27,28,28,Skip Kendall,110,+.052
28,29,29,Ty Tryon,52,+.054
29,T30,T30,Woody Austin,107,+.055
30,T30,T30,Matt Gogel,77,+.055
31,T30,T30,David Sutherland,77,+.055
32,33,33,David Toms,90,+.058
33,34,34,Scott McCarron,86,+.059
34,35,35,Steve Lowery,86,+.062
35,36,36,Carlos Franco,99,+.065
36,37,37,Ernie Els,65,+.070
37,38,38,Vance Veazey,66,+.075
38,39,39,John Daly,56,+.079
39,T40,T40,Peter Jacobsen,75,+.080
40,T40,T40,Davis Love III,85,+.080
41,42,42,Brad Elder,51,+.082
42,43,43,Brian Bateman,70,+.083
43,44,44,Loren Roberts,87,+.091
44,T45,T45,Chad Campbell,105,+.093
45,T45,T45,Brad Faxon,97,+.093
46,47,47,Bob Tway,89,+.098
47,T48,T48,Tim Petrovic,108,+.101
48,T48,T48,Patrick Sheehan,101,+.101
49,T50,T50,David Frost,80,+.103
50,T50,T50,Sergio Garcia,62,+.103
51,T50,T50,Cliff Kresge,102,+.103
52,T50,T50,Dicky Pride,73,+.103
53,T50,T50,Mark Wilson,82,+.103
54,T55,T55,John Riegger,55,+.104
55,T55,T55,Jeff Sluman,106,+.104
56,57,57,Jason Buha,61,+.106
57,T58,T58,Olin Browne,113,+.107
58,T58,T58,Spike McRoy,103,+.107
59,60,60,Heath Slocum,101,+.109
60,61,61,Stephen Ames,91,+.112
61,62,62,Mathew Goggin,90,+.113
62,T63,T63,Alex Cejka,98,+.114
63,T63,T63,Shigeki Maruyama,87,+.114
64,T63,T63,Geoff Ogilvy,86,+.114
