,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Fred Funk,112,6.35,86,1354,+0.15
1,2,2,Luke Donald,88,6.45,74,1148,+0.07
2,3,3,Hal Sutton,81,6.61,66,999,-0.05
3,4,4,Olin Browne,113,7.48,105,1403,+0.22
4,5,5,Peter Jacobsen,75,8.14,78,958,+0.27
5,6,6,Cliff Kresge,102,8.29,103,1242,+0.10
6,7,7,Doug Barron,90,8.36,100,1196,+0.22
7,T8,T8,Justin Leonard,80,8.37,76,908,+0.08
8,T8,T8,Mark O'Meara,69,8.37,58,693,+0.24
9,T10,T10,Glen Day,103,8.4,111,1322,+0.06
10,T10,T10,Gene Sauers,87,8.4,95,1131,+0.21
11,12,12,John Rollins,89,8.44,78,924,+0.23
12,13,13,Jim Furyk,104,8.66,101,1166,+0.12
13,14,14,Matt Kuchar,63,8.67,72,830,+0.32
14,15,15,Arron Oberholser,80,8.75,94,1074,+0.07
15,16,16,Jerry Kelly,108,8.77,110,1254,+0.03
16,17,17,Glen Hnatiuk,92,8.84,108,1222,+0.15
17,18,18,Dean Wilson,82,8.92,91,1020,+0.32
18,19,19,Shigeki Maruyama,87,8.95,94,1050,+0.17
19,20,20,Heath Slocum,101,8.96,122,1361,+0.13
20,21,21,Joey Sindelar,93,8.97,111,1238,+0.09
21,22,22,Carl Paulson,101,8.99,124,1379,+0.13
22,23,23,Paul Stankowski,67,9.09,80,880,+0.19
23,24,24,Mike Grob,83,9.24,99,1072,+0.29
24,25,25,Spike McRoy,103,9.31,126,1354,+0.24
25,T26,T26,Robert Damron,96,9.35,117,1252,+0.20
26,T26,T26,Paul Goydos,86,9.35,103,1102,+0.14
27,28,28,Garrett Willis,97,9.4,118,1255,+0.18
28,29,29,Cameron Beckman,86,9.48,110,1160,+0.01
29,30,30,Rocco Mediate,80,9.51,85,894,+0.34
30,31,31,Steven Alker,87,9.57,108,1128,+0.12
31,32,32,Tom Byrum,97,9.62,110,1144,+0.21
32,T33,T33,John Maginnes,87,9.69,105,1084,+0.13
33,T33,T33,Hidemichi Tanaka,112,9.69,146,1507,+0.21
34,35,35,Jay Don Blake,77,9.72,88,905,+0.30
35,36,36,Pat Bates,111,9.84,141,1433,+0.11
36,37,37,J.P. Hayes,79,9.89,101,1021,+0.22
37,T38,T38,Brian Bateman,70,9.95,86,864,+0.15
38,T38,T38,Mike Heinen,89,9.95,115,1156,+0.03
39,T40,T40,Jim Carter,95,10.0,124,1240,+0.10
40,T40,T40,Esteban Toledo,109,10.0,142,1420,+0.03
41,T42,T42,Chad Campbell,105,10.03,120,1197,+0.11
42,T42,T42,Joe Durant,96,10.03,120,1196,+0.19
43,44,44,David Gossett,92,10.04,123,1225,+0.10
44,45,45,Richard Johnson,89,10.07,115,1142,+0.10
45,46,46,Jeff Maggert,81,10.1,101,1000,+0.13
46,47,47,Tim Clark,79,10.13,92,908,+0.22
47,48,48,John Riegger,55,10.18,67,658,+0.15
48,49,49,Kenny Perry,98,10.22,112,1096,+0.08
49,50,50,David Peoples,96,10.24,129,1260,+0.11
50,51,51,Kent Jones,74,10.48,92,878,E
51,T52,T52,Skip Kendall,110,10.5,143,1362,+0.09
52,T52,T52,Kirk Triplett,92,10.5,114,1086,E
53,54,54,Darron Stiles,93,10.63,120,1129,+0.19
54,55,55,Gavin Coles,69,10.65,92,864,+0.27
55,56,56,Briny Baird,113,10.66,156,1464,+0.11
56,57,57,Jeff Klein,60,10.71,81,756,+0.27
57,58,58,Alex Cejka,98,10.75,118,1098,+0.08
58,59,59,Aaron Barber,94,10.78,133,1234,+0.13
59,T60,T60,Bob Burns,88,10.81,115,1064,+0.17
60,T60,T60,Jeff Sluman,106,10.81,137,1267,+0.13
61,62,62,Duffy Waldorf,90,10.87,115,1058,+0.04
62,T63,T63,Frank Lickliter II,94,10.9,124,1138,+0.13
63,T63,T63,Chris Smith,92,10.9,128,1174,+0.16
64,65,65,Jeff Brehaut,110,10.92,153,1401,+0.04
65,T66,T66,J.L. Lewis,99,10.96,133,1214,+0.25
66,T66,T66,Cameron Yancey,58,10.96,78,712,+0.14
67,68,68,Billy Mayfair,105,10.97,139,1267,+0.15
68,69,69,Tim Petrovic,108,10.99,142,1292,+0.12
69,70,70,Tim Herron,102,11.0,139,1264,+0.17
70,71,71,Andy Miller,75,11.01,109,990,+0.29
71,72,72,Len Mattiace,94,11.05,116,1050,+0.13
72,T73,T73,Rich Beem,80,11.1,98,883,+0.10
73,T73,T73,Tom Gillis,71,11.1,99,892,+0.21
