,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Fred Funk,112,77.86,1185,1522
1,2,2,Glen Hnatiuk,92,77.74,964,1240
2,3,3,Hal Sutton,81,75.76,844,1114
3,4,4,Jim Furyk,104,75.65,1072,1417
4,5,5,Robert Damron,96,74.93,1001,1336
5,6,6,Mike Grob,83,74.62,841,1127
6,7,7,Jeff Maggert,81,74.2,837,1128
7,8,8,Skip Kendall,110,74.19,1124,1515
8,9,9,Peter Jacobsen,75,74.06,771,1041
9,T10,T10,Tim Clark,79,73.95,795,1075
10,T10,T10,Joe Durant,96,73.95,988,1336
11,12,12,Hidemichi Tanaka,112,73.83,1154,1563
12,13,13,Tom Byrum,97,73.79,988,1339
13,14,14,Olin Browne,113,73.66,1116,1515
14,15,15,Heath Slocum,101,73.63,1005,1365
15,16,16,Gavin Coles,69,73.56,676,919
16,17,17,Loren Roberts,87,73.27,869,1186
17,18,18,Notah Begay III,92,73.1,916,1253
18,19,19,Kirk Triplett,92,72.9,904,1240
19,20,20,Corey Pavin,88,72.34,855,1182
20,21,21,Rocco Mediate,80,72.32,768,1062
21,22,22,Carl Paulson,101,72.28,1017,1407
22,23,23,Scott Verplank,97,72.21,969,1342
23,24,24,John Riegger,55,72.13,515,714
24,25,25,José Coceres,62,72.11,623,864
25,26,26,Donnie Hammond,92,72.07,911,1264
26,27,27,Richard Johnson,89,72.02,883,1226
27,28,28,Pat Bates,111,71.66,1067,1489
28,29,29,Paul Goydos,86,71.65,829,1157
29,30,30,Tom Gillis,71,71.41,677,948
30,31,31,Glen Day,103,71.4,996,1395
31,32,32,Billy Mayfair,105,71.36,1044,1463
32,33,33,David Peoples,96,71.29,941,1320
33,34,34,Jeff Klein,60,71.18,568,798
34,35,35,Jerry Kelly,108,71.17,1022,1436
35,36,36,Kent Jones,74,70.97,682,961
36,37,37,Jay Williamson,93,70.56,894,1267
37,38,38,Doug Barron,90,70.51,863,1224
38,39,39,John Senden,111,70.41,1040,1477
39,40,40,Luke Donald,88,70.05,863,1232
40,41,41,Garrett Willis,97,69.96,927,1325
41,42,42,Kenny Perry,98,69.87,932,1334
42,43,43,Mike Heinen,89,69.78,845,1211
43,44,44,Jeff Brehaut,110,69.51,1026,1476
44,45,45,Jeff Sluman,106,69.49,1009,1452
45,46,46,Cliff Kresge,102,69.46,969,1395
46,47,47,Steven Alker,87,69.32,811,1170
47,48,48,John Maginnes,87,69.29,828,1195
48,49,49,Aaron Barber,94,69.27,897,1295
49,50,50,John Huston,76,68.97,720,1044
50,51,51,Arron Oberholser,80,68.94,759,1101
51,52,52,Chad Campbell,105,68.92,980,1422
52,53,53,Spike McRoy,103,68.87,971,1410
53,54,54,Frank Lickliter II,94,68.85,862,1252
54,55,55,Tommy Armour III,66,68.72,602,876
55,56,56,Bob Estes,92,68.68,875,1274
56,57,57,Gene Sauers,87,68.66,815,1187
57,58,58,Kenneth Staton,59,68.47,543,793
58,59,59,Bob Burns,88,68.45,805,1176
59,60,60,Briny Baird,113,68.42,1040,1520
60,61,61,Joey Sindelar,93,68.25,864,1266
61,62,62,Justin Leonard,80,68.23,715,1048
62,63,63,Chris Anderson,96,68.13,902,1324
63,64,64,David Gossett,92,68.11,863,1267
64,T65,T65,Alex Cejka,98,68.01,863,1269
65,T65,T65,Matt Kuchar,63,68.01,574,844
66,T65,T65,Mark Wilson,82,68.01,757,1113
67,68,68,Darron Stiles,93,67.94,833,1226
68,69,69,Esteban Toledo,109,67.88,1004,1479
69,70,70,Dan Forsman,98,67.86,927,1366
70,71,71,Mark Brooks,90,67.84,812,1197
71,72,72,Jim Carter,95,67.78,869,1282
72,73,73,Robert Allenby,87,67.77,759,1120
73,74,74,Duffy Waldorf,90,67.7,811,1198
74,75,75,J.P. Hayes,79,67.69,748,1105
75,76,76,Tim Petrovic,108,67.67,971,1435
76,77,77,Dicky Pride,73,67.66,678,1002
77,78,78,Rod Pampling,87,67.63,775,1146
78,79,79,Chris DiMarco,98,67.56,881,1304
79,T80,T80,Brad Elder,51,67.54,462,684
80,T80,T80,Cameron Yancey,58,67.54,518,767
81,82,82,Matt Gogel,77,67.53,680,1007
82,83,83,Akio Sadakata,83,67.5,754,1117
83,84,84,Ben Curtis,69,67.33,639,949
84,T85,T85,Tom Lehman,87,67.32,760,1129
85,T85,T85,Nick Price,65,67.32,587,872
86,87,87,Dean Wilson,82,67.29,761,1131
87,88,88,Brent Schwarzrock,60,67.25,536,797
88,89,89,Brandt Jobe,77,67.19,721,1073
89,90,90,Craig Barlow,95,67.18,870,1295
90,91,91,Cameron Beckman,86,67.16,779,1160
91,92,92,Harrison Frazar,88,67.15,795,1184
92,93,93,Per-Ulrik Johansson,96,67.14,891,1327
93,94,94,Joel Edwards,60,67.11,561,836
94,95,95,Kenichi Kuboya,91,67.08,821,1224
95,96,96,Shigeki Maruyama,87,66.97,797,1190
96,97,97,David Frost,80,66.94,739,1104
97,98,98,John Rollins,89,66.92,787,1176
98,99,99,Robert Gamez,114,66.9,1051,1571
99,100,100,J.J. Henry,100,66.82,892,1335
100,101,101,Michael Clark II,54,66.76,492,737
101,102,102,Brian Bateman,70,66.49,611,919
102,103,103,Jay Don Blake,77,66.34,684,1031
103,104,104,Bob Tway,89,66.19,787,1189
104,105,105,Kaname Yokoo,56,66.17,489,739
105,106,106,David Sutherland,77,66.1,661,1000
106,T107,T107,Dudley Hart,66,66.08,600,908
107,T107,T107,J.L. Lewis,99,66.08,894,1353
108,109,109,Stephen Ames,91,66.02,816,1236
109,110,110,Chris Riley,96,65.98,830,1258
110,111,111,Brian Gay,100,65.9,893,1355
111,112,112,Len Mattiace,94,65.82,857,1302
112,113,113,Scott Laycock,71,65.65,625,952
113,114,114,Bernhard Langer,65,65.58,585,892
114,115,115,Jay Haas,89,65.52,760,1160
115,116,116,Darren Clarke,61,65.34,494,756
116,117,117,Tim Herron,102,65.26,900,1379
117,118,118,Steve Flesch,110,65.25,965,1479
118,119,119,Chris Smith,92,65.16,838,1286
119,120,120,Jesper Parnevik,102,64.71,902,1394
120,121,121,Davis Love III,85,64.61,701,1085
121,122,122,Jonathan Byrd,101,64.54,912,1413
122,123,123,Pat Perez,95,64.48,824,1278
123,124,124,Shaun Micheel,97,64.41,845,1312
124,125,125,David Toms,90,64.22,727,1132
125,126,126,Kevin Sutherland,97,64.03,835,1304
126,127,127,Mark Calcavecchia,84,63.98,746,1166
127,128,128,Brian Henninger,56,63.8,497,779
128,129,129,Jonathan Kaye,91,63.66,783,1230
129,130,130,Mathew Goggin,90,63.52,754,1187
130,131,131,Mark O'Meara,69,63.48,584,920
131,132,132,Ian Leggatt,71,63.45,604,952
132,133,133,Vijay Singh,106,63.41,896,1413
133,134,134,Mike Weir,80,63.37,661,1043
134,135,135,Patrick Sheehan,101,63.25,864,1366
135,136,136,Thomas Levet,85,63.21,732,1158
136,137,137,Carl Pettersson,80,63.01,695,1103
137,138,138,Rory Sabbatini,95,62.91,816,1297
138,139,139,Paul Stankowski,67,62.89,588,935
139,140,140,"Dave Stockton, Jr.",79,62.87,667,1061
140,141,141,Steve Lowery,86,62.77,698,1112
141,142,142,Tiger Woods,74,62.71,597,952
142,143,143,Woody Austin,107,62.67,900,1436
143,144,144,Rich Beem,80,62.65,676,1079
144,145,145,Marco Dawson,86,62.47,724,1159
145,T146,T146,Paul Gow,62,62.4,531,851
146,T146,T146,Charles Howell III,120,62.4,1004,1609
147,148,148,Peter Lonard,96,62.34,783,1256
148,149,149,Steve Allan,53,62.28,416,668
149,150,150,Todd Fischer,97,62.23,822,1321
150,T151,T151,Jason Buha,61,61.85,501,810
151,T151,T151,Lee Janzen,83,61.85,689,1114
152,T151,T151,John Morgan,81,61.85,681,1101
153,154,154,K.J. Choi,112,61.75,896,1451
154,155,155,Mike Sposa,72,61.64,585,949
155,156,156,Stuart Appleby,90,61.6,733,1190
156,157,157,Neal Lancaster,110,61.59,909,1476
157,158,158,Retief Goosen,69,61.5,551,896
158,T159,T159,Anthony Painter,87,61.49,720,1171
159,T159,T159,Adam Scott,52,61.49,396,644
160,161,161,Ernie Els,65,61.31,515,840
161,162,162,Tom Pernice Jr.,105,61.24,869,1419
162,163,163,Deane Pappas,75,61.16,622,1017
163,164,164,Geoff Ogilvy,86,61.03,697,1142
164,165,165,Ben Crane,94,60.59,778,1284
165,166,166,Andrew Magee,91,60.54,744,1229
166,167,167,Paul Azinger,73,60.37,614,1017
167,168,168,Scott McCarron,86,60.3,682,1131
168,169,169,Billy Andrade,100,60.25,829,1376
169,170,170,Brent Geiberger,51,59.89,427,713
170,171,171,Andy Miller,75,59.81,625,1045
171,172,172,Brenden Pappas,105,59.69,847,1419
172,173,173,Vance Veazey,66,59.5,548,921
173,174,174,Greg Chalmers,98,59.49,787,1323
174,175,175,Carlos Franco,99,59.32,802,1352
175,176,176,Brad Faxon,97,59.27,777,1311
176,177,177,Stewart Cink,104,59.18,825,1394
177,178,178,Ty Tryon,52,58.1,398,685
178,179,179,Jason Caron,74,58.04,574,989
179,180,180,Fred Couples,71,57.54,538,935
180,181,181,Sergio Garcia,62,57.36,460,802
181,182,182,Todd Barranger,78,57.07,589,1032
182,183,183,Brett Quigley,92,57.02,690,1210
183,184,184,Jason Gore,83,56.6,652,1152
184,185,185,Craig Perks,82,56.28,623,1107
185,186,186,Aaron Baddeley,71,56.16,524,933
186,187,187,Hank Kuehne,73,51.54,503,976
187,188,188,John Daly,56,49.74,382,768
188,189,189,Phil Mickelson,87,48.96,539,1101
189,190,190,Steve Stricker,59,48.02,375,781
