,Driving_Pct._300_Measured_RANK THIS WEEK,Driving_Pct._300_Measured_RANK LAST WEEK,Driving_Pct._300_Measured_PLAYER NAME,Driving_Pct._300_Measured_ROUNDS,Driving_Pct._300_Measured_%,Driving_Pct._300_Measured_TOTAL DRIVES FOR 300+,Driving_Pct._300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300_Measured_RELATIVE TO PAR
0,1,1,Hank Kuehne,73,85.82,115,134,-0.33
1,2,2,John Daly,56,71.88,69,96,-0.39
2,3,3,Darren Clarke,61,63.75,51,80,-0.31
3,4,4,Phil Mickelson,87,62.3,76,122,-0.26
4,5,5,Sergio Garcia,62,55.81,48,86,-0.21
5,6,6,Mike Heinen,89,53.49,92,172,-0.35
6,7,7,Davis Love III,85,53.08,69,130,-0.32
7,8,8,Brenden Pappas,105,52.97,107,202,-0.42
8,9,9,Vijay Singh,106,51.19,86,168,-0.42
9,10,10,Ernie Els,65,51.14,45,88,-0.42
10,11,11,Carlos Franco,99,51.08,95,186,-0.47
11,T12,T12,Deane Pappas,75,50.0,72,144,-0.42
12,T12,T12,Adam Scott,52,50.0,34,68,-0.21
13,14,14,Andrew Magee,91,49.42,85,172,-0.54
14,15,15,Harrison Frazar,88,48.82,83,170,-0.41
15,16,16,Mathew Goggin,90,48.75,78,160,-0.38
16,17,17,Tiger Woods,74,48.08,50,104,-0.52
17,18,18,Retief Goosen,69,47.0,47,100,-0.34
18,19,19,Todd Barranger,78,46.58,68,146,-0.19
19,20,20,Brian Bateman,70,45.38,59,130,-0.31
20,21,21,Jason Gore,83,43.9,72,164,-0.42
21,22,22,Kenneth Staton,59,43.75,49,112,-0.41
22,23,23,Jason Caron,74,43.57,61,140,-0.18
23,24,24,Paul Stankowski,67,42.42,56,132,-0.25
24,T25,T25,Scott McCarron,86,41.67,55,132,-0.44
25,T25,T25,Ty Tryon,52,41.67,40,96,-0.45
26,27,27,Jonathan Kaye,91,41.56,64,154,-0.34
27,28,28,Stuart Appleby,90,41.1,60,146,-0.42
28,29,29,Charles Howell III,120,40.91,81,198,-0.33
29,30,30,Ian Leggatt,71,40.63,52,128,-0.27
30,31,31,Brent Geiberger,51,40.2,41,102,-0.56
31,32,32,Brent Schwarzrock,60,40.18,45,112,-0.31
32,33,33,Chris Smith,92,40.12,69,172,-0.36
33,34,34,Robert Allenby,87,39.39,52,132,-0.38
34,35,35,Neal Lancaster,110,39.32,81,206,-0.41
35,36,36,Craig Barlow,95,39.25,73,186,-0.40
36,37,37,Patrick Sheehan,101,39.18,76,194,-0.33
37,38,38,Shaun Micheel,97,39.11,70,179,-0.39
38,39,39,Fred Couples,71,39.0,39,100,-0.26
39,40,40,J.J. Henry,100,38.54,74,192,-0.46
40,41,41,Brett Quigley,92,38.41,63,164,-0.25
41,42,42,Andy Miller,75,37.84,56,148,-0.54
42,43,43,Jonathan Byrd,101,37.78,68,180,-0.22
43,44,44,Rich Beem,80,37.69,49,130,-0.29
44,45,45,Peter Lonard,96,37.5,57,152,-0.30
45,46,46,John Senden,111,37.14,78,210,-0.46
46,47,47,Carl Paulson,101,37.13,75,202,-0.41
47,48,48,Briny Baird,113,35.71,75,210,-0.35
48,49,49,Brandt Jobe,77,35.62,52,146,-0.25
49,50,50,Tim Herron,102,35.29,66,187,-0.42
50,51,51,Woody Austin,107,35.11,66,188,-0.44
51,52,52,Tommy Armour III,66,35.0,42,120,-0.62
52,53,53,Chad Campbell,105,34.66,61,176,-0.36
53,T54,T54,John Morgan,81,34.62,54,156,-0.37
54,T54,T54,Vance Veazey,66,34.62,45,130,-0.42
55,56,56,K.J. Choi,112,34.44,62,180,-0.40
56,T57,T57,Steve Allan,53,34.38,33,96,-0.18
57,T57,T57,Kenny Perry,98,34.38,55,160,-0.22
58,59,59,David Toms,90,34.33,46,134,-0.43
59,60,60,Cameron Yancey,58,34.26,37,108,-0.51
60,61,61,Ben Crane,94,33.72,58,172,-0.31
61,62,62,Darron Stiles,93,33.33,56,168,-0.50
62,63,63,Geoff Ogilvy,86,32.89,50,152,-0.48
63,64,64,Marco Dawson,86,32.69,51,156,-0.41
64,65,65,Tom Pernice Jr.,105,32.47,63,194,-0.32
65,66,66,Rory Sabbatini,95,32.32,53,164,-0.42
66,67,67,Jason Buha,61,31.9,37,116,-0.51
67,68,68,Aaron Baddeley,71,31.75,40,126,-0.55
68,69,69,Rod Pampling,87,31.51,46,146,-0.30
69,T70,T70,Cameron Beckman,86,31.33,52,166,-0.31
70,T70,T70,Craig Perks,82,31.33,47,150,-0.47
71,72,72,Thomas Levet,85,31.17,48,154,-0.29
72,73,73,Bob Tway,89,30.86,50,162,-0.46
73,74,74,Mike Weir,80,30.7,35,114,-0.31
74,75,75,David Sutherland,77,30.28,43,142,-0.37
75,76,76,Kevin Sutherland,97,30.0,48,160,-0.52
76,77,77,Steve Lowery,86,29.58,42,142,-0.40
77,78,78,Mike Sposa,72,27.94,38,136,-0.42
78,79,79,Stewart Cink,104,27.78,50,180,-0.42
79,80,80,Steve Stricker,59,27.68,31,112,-0.19
80,81,81,Anthony Painter,87,27.11,45,166,-0.33
81,82,82,Tom Lehman,87,27.08,39,144,-0.41
82,83,83,Per-Ulrik Johansson,96,27.03,50,185,-0.34
83,T84,T84,Jeff Brehaut,110,26.92,56,208,-0.52
84,T84,T84,Arron Oberholser,80,26.92,42,156,-0.33
85,T84,T84,Duffy Waldorf,90,26.92,42,156,-0.45
86,87,87,Greg Chalmers,98,26.84,51,190,-0.37
87,88,88,Tom Gillis,71,26.52,35,132,-0.40
88,89,89,John Riegger,55,26.0,26,100,-0.38
89,90,90,David Gossett,92,25.84,46,178,-0.54
90,91,91,Garrett Willis,97,25.81,48,186,-0.54
91,92,92,John Huston,76,25.69,37,144,-0.49
92,93,93,J.L. Lewis,99,25.57,45,176,-0.33
93,94,94,Paul Azinger,73,25.0,35,140,-0.20
94,95,95,Tim Petrovic,108,24.61,47,191,-0.51
95,96,96,Brian Henninger,56,24.51,25,102,-0.28
96,97,97,Steve Flesch,110,24.49,48,196,-0.44
97,98,98,Brad Elder,51,24.47,23,94,-0.39
98,99,99,Cliff Kresge,102,24.46,45,184,-0.29
99,100,100,Joe Durant,96,24.43,43,176,-0.37
100,101,101,Mike Grob,83,24.38,39,160,-0.62
101,102,102,Joey Sindelar,93,24.16,43,178,-0.40
102,103,103,"Dave Stockton, Jr.",79,24.0,36,150,-0.39
103,104,104,Dan Forsman,98,23.91,44,184,-0.41
104,105,105,Stephen Ames,91,23.56,41,174,-0.46
105,106,106,Paul Gow,62,23.33,28,120,-0.39
106,107,107,Mark Calcavecchia,84,23.29,34,146,-0.26
107,108,108,Pat Perez,95,22.99,40,174,-0.28
108,109,109,Kent Jones,74,22.73,30,132,-0.70
109,110,110,Billy Mayfair,105,22.58,42,186,-0.36
110,T111,T111,José Coceres,62,22.22,24,108,-0.42
111,T111,T111,Peter Jacobsen,75,22.22,32,144,-0.28
112,T111,T111,Jesper Parnevik,102,22.22,40,180,-0.40
113,114,114,Akio Sadakata,83,22.15,35,158,-0.20
114,115,115,Jay Williamson,93,22.09,38,172,-0.18
115,116,116,Robert Gamez,114,21.76,47,216,-0.55
116,117,117,Chris DiMarco,98,21.6,35,162,-0.31
117,118,118,David Peoples,96,21.39,40,187,-0.50
118,119,119,Ben Curtis,69,21.31,26,122,-0.35
119,120,120,Kaname Yokoo,56,21.15,22,104,-0.59
120,121,121,Dicky Pride,73,20.9,28,134,-0.46
121,122,122,Joel Edwards,60,20.83,25,120,-0.40
122,123,123,Todd Fischer,97,20.74,39,188,-0.38
123,124,124,Scott Laycock,71,20.59,28,136,-0.54
124,125,125,Jay Haas,89,20.14,29,144,-0.38
125,126,126,Jerry Kelly,108,19.89,37,186,-0.43
126,127,127,Hal Sutton,81,19.86,29,146,-0.24
127,128,128,Kirk Triplett,92,19.75,32,162,-0.44
128,129,129,Alex Cejka,98,19.51,32,164,-0.16
129,130,130,Lee Janzen,83,18.66,25,134,-0.40
