,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Hal Sutton,81,-.045
1,2,2,Vijay Singh,106,-.039
2,3,3,Deane Pappas,75,-.029
3,4,4,Paul Gow,62,-.015
4,5,5,Hank Kuehne,73,-.014
5,6,6,Mike Weir,80,-.010
6,T7,T7,Ernie Els,65,E
7,T7,T7,Kent Jones,74,E
8,T7,T7,Kirk Triplett,92,E
9,10,10,Brenden Pappas,105,+.005
10,T11,T11,Woody Austin,107,+.007
11,T11,T11,Chris DiMarco,98,+.007
12,13,13,Cameron Beckman,86,+.009
13,14,14,Rory Sabbatini,95,+.015
14,15,15,John Huston,76,+.017
15,16,16,Geoff Ogilvy,86,+.020
16,17,17,Mike Heinen,89,+.026
17,T18,T18,Stuart Appleby,90,+.027
18,T18,T18,Jerry Kelly,108,+.027
19,T18,T18,Mike Sposa,72,+.027
20,21,21,Esteban Toledo,109,+.028
21,T22,T22,Dudley Hart,66,+.032
22,T22,T22,Brian Henninger,56,+.032
23,24,24,Tiger Woods,74,+.034
24,25,25,Scott McCarron,86,+.035
25,26,26,Andrew Magee,91,+.038
26,27,27,Jeff Brehaut,110,+.039
27,28,28,Retief Goosen,69,+.041
28,29,29,Duffy Waldorf,90,+.043
29,T30,T30,Stephen Ames,91,+.044
30,T30,T30,Stewart Cink,104,+.044
31,32,32,Davis Love III,85,+.056
32,33,33,Craig Perks,82,+.057
33,34,34,Tom Pernice Jr.,105,+.058
34,35,35,Neal Lancaster,110,+.060
35,T36,T36,Jay Haas,89,+.062
36,T36,T36,Charles Howell III,120,+.062
37,T38,T38,Marco Dawson,86,+.063
38,T38,T38,Glen Day,103,+.063
39,T38,T38,Robert Gamez,114,+.063
40,41,41,Jason Buha,61,+.064
41,42,42,Carlos Franco,99,+.067
42,T43,T43,Luke Donald,88,+.068
43,T43,T43,Steve Stricker,59,+.068
44,T45,T45,Notah Begay III,92,+.069
45,T45,T45,Harrison Frazar,88,+.069
46,47,47,Greg Chalmers,98,+.070
47,48,48,Phil Mickelson,87,+.071
48,49,49,Arron Oberholser,80,+.074
49,50,50,Dan Forsman,98,+.078
50,51,51,Justin Leonard,80,+.079
51,T52,T52,Billy Andrade,100,+.080
52,T52,T52,Kenny Perry,98,+.080
53,T52,T52,Dicky Pride,73,+.080
54,T55,T55,John Senden,111,+.082
55,T55,T55,Patrick Sheehan,101,+.082
56,T57,T57,Alex Cejka,98,+.085
57,T57,T57,Lee Janzen,83,+.085
58,T57,T57,Kenneth Staton,59,+.085
59,60,60,Brandt Jobe,77,+.086
60,T61,T61,Ben Crane,94,+.087
61,T61,T61,Chris Riley,96,+.087
62,63,63,Peter Lonard,96,+.088
63,64,64,Joey Sindelar,93,+.090
64,T65,T65,Tommy Armour III,66,+.091
65,T65,T65,Skip Kendall,110,+.091
66,67,67,Chris Anderson,96,+.093
67,T68,T68,Michael Clark II,54,+.094
68,T68,T68,Brett Quigley,92,+.094
69,70,70,Richard Johnson,89,+.096
70,T71,T71,Jim Carter,95,+.097
71,T71,T71,Cliff Kresge,102,+.097
72,73,73,David Gossett,92,+.098
73,74,74,Scott Verplank,97,+.099
74,75,75,Rich Beem,80,+.102
75,76,76,John Morgan,81,+.103
76,77,77,Darren Clarke,61,+.104
77,78,78,Pat Bates,111,+.106
78,T79,T79,Chad Campbell,105,+.108
79,T79,T79,Joel Edwards,60,+.108
80,T81,T81,Briny Baird,113,+.109
81,T81,T81,Steve Lowery,86,+.109
82,T81,T81,David Peoples,96,+.109
83,84,84,Anthony Painter,87,+.110
84,T85,T85,Mark Calcavecchia,84,+.111
85,T85,T85,David Sutherland,77,+.111
86,87,87,J.J. Henry,100,+.114
87,88,88,Scott Laycock,71,+.115
88,89,89,Pat Perez,95,+.116
89,90,90,Todd Barranger,78,+.117
90,91,91,Rod Pampling,87,+.118
91,92,92,Jim Furyk,104,+.119
92,T93,T93,Steven Alker,87,+.120
93,T93,T93,Aaron Baddeley,71,+.120
94,T93,T93,Tim Petrovic,108,+.120
95,T96,T96,Jonathan Byrd,101,+.121
96,T96,T96,Sergio Garcia,62,+.121
97,98,98,Steve Flesch,110,+.123
98,99,99,Thomas Levet,85,+.127
99,T100,T100,Aaron Barber,94,+.128
100,T100,T100,Jay Williamson,93,+.128
101,T102,T102,Frank Lickliter II,94,+.129
102,T102,T102,Jeff Maggert,81,+.129
103,T102,T102,Len Mattiace,94,+.129
104,T102,T102,Carl Paulson,101,+.129
105,T106,T106,Heath Slocum,101,+.131
106,T106,T106,Jeff Sluman,106,+.131
