,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Hank Kuehne,73,303.0,260907,861
1,2,2,John Daly,56,300.6,176436,587
2,3,3,Vijay Singh,106,296.4,310625,1048
3,4,4,Phil Mickelson,87,294.7,213097,723
4,T5,T5,Darren Clarke,61,292.7,151347,517
5,T5,T5,Sergio Garcia,62,292.7,146350,500
6,7,7,Retief Goosen,69,291.5,174287,598
7,8,8,Ernie Els,65,291.1,160662,552
8,9,9,Tiger Woods,74,289.1,199799,691
9,10,10,Ty Tryon,52,288.4,163821,568
10,11,11,Adam Scott,52,288.2,134863,468
11,12,12,Deane Pappas,75,287.7,251993,876
12,T13,T13,Rich Beem,80,287.4,219602,764
13,T13,T13,Davis Love III,85,287.4,224437,781
14,T15,T15,Robert Allenby,87,287.3,231818,807
15,T15,T15,Stuart Appleby,90,287.3,261695,911
16,17,17,Rory Sabbatini,95,287.0,281583,981
17,T18,T18,Mathew Goggin,90,286.9,284597,992
18,T18,T18,Brenden Pappas,105,286.9,342297,1193
19,T18,T18,Paul Stankowski,67,286.9,218301,761
20,21,21,Fred Couples,71,286.7,162837,568
21,22,22,Andrew Magee,91,286.6,299489,1045
22,23,23,Kenneth Staton,59,286.1,201688,705
23,T24,T24,Harrison Frazar,88,285.9,292218,1022
24,T24,T24,Mike Heinen,89,285.9,306730,1073
25,T26,T26,Carlos Franco,99,285.7,338278,1184
26,T26,T26,Scott McCarron,86,285.7,227393,796
27,28,28,Chris Smith,92,285.4,290811,1019
28,T29,T29,Todd Barranger,78,285.3,251336,881
29,T29,T29,Ian Leggatt,71,285.3,227134,796
30,T31,T31,Jonathan Byrd,101,285.1,295648,1037
31,T31,T31,Brent Schwarzrock,60,285.1,197280,692
32,T31,T31,Darron Stiles,93,285.1,279154,979
33,T34,T34,K.J. Choi,112,285.0,314966,1105
34,T34,T34,Charles Howell III,120,285.0,339733,1192
35,T34,T34,Peter Lonard,96,285.0,276781,971
36,T34,T34,David Toms,90,285.0,236825,831
37,38,38,Kenny Perry,98,284.9,272910,958
38,39,39,Craig Perks,82,284.8,246659,866
39,40,40,Jason Caron,74,284.7,239190,840
40,T41,T41,Woody Austin,107,284.6,336447,1182
41,T41,T41,Jonathan Kaye,91,284.6,270114,949
42,43,43,Neal Lancaster,110,284.0,367820,1295
43,44,44,John Morgan,81,283.8,266168,938
44,T45,T45,Jason Gore,83,283.7,263830,930
45,T45,T45,Rod Pampling,87,283.7,255314,900
46,47,47,Chad Campbell,105,283.5,309318,1091
47,48,48,Craig Barlow,95,283.1,318465,1125
48,T49,T49,Tommy Armour III,66,282.6,209664,742
49,T49,T49,Jeff Brehaut,110,282.6,359127,1271
50,51,51,Patrick Sheehan,101,282.4,342005,1211
51,52,52,Andy Miller,75,282.2,241574,856
52,T53,T53,Brian Bateman,70,282.1,221974,787
53,T53,T53,Mike Weir,80,282.1,204518,725
54,55,55,Brent Geiberger,51,282.0,171175,607
55,56,56,Cameron Beckman,86,281.9,290124,1029
56,57,57,Vance Veazey,66,281.8,210211,746
57,T58,T58,Tim Herron,102,281.7,326220,1158
58,T58,T58,Geoff Ogilvy,86,281.7,256107,909
59,T58,T58,Garrett Willis,97,281.7,326825,1160
60,61,61,Briny Baird,113,281.5,364822,1296
61,T62,T62,Mark Calcavecchia,84,281.3,258516,919
62,T62,T62,Steve Lowery,86,281.3,245565,873
63,64,64,Marco Dawson,86,281.2,252208,897
64,65,65,J.L. Lewis,99,281.1,290939,1035
65,66,66,Steve Allan,53,281.0,177029,630
66,T67,T67,Ben Crane,94,280.8,290298,1034
67,T67,T67,Joe Durant,96,280.8,300687,1071
68,T67,T67,Carl Paulson,101,280.8,349878,1246
69,T67,T67,Kevin Sutherland,97,280.8,257249,916
70,T71,T71,Robert Gamez,114,280.5,363282,1295
71,T71,T71,Brandt Jobe,77,280.5,248801,887
72,T71,T71,Shaun Micheel,97,280.5,316405,1128
73,T71,T71,John Riegger,55,280.5,174457,622
74,T75,T75,Paul Gow,62,280.0,213065,761
75,T75,T75,J.J. Henry,100,280.0,337445,1205
76,T77,T77,Brett Quigley,92,279.6,287450,1028
77,T77,T77,John Rollins,89,279.6,219489,785
78,79,79,Mike Sposa,72,279.5,242889,869
79,80,80,Tom Pernice Jr.,105,279.4,323494,1158
80,T81,T81,Jerry Kelly,108,279.0,305272,1094
81,T81,T81,John Senden,111,279.0,356624,1278
82,83,83,Greg Chalmers,98,278.9,324374,1163
83,T84,T84,Tom Lehman,87,278.8,225578,809
