,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Chad Campbell,105,8,4,4
1,2,2,Mike Heinen,89,9,1,8
2,3,3,Joe Durant,96,11,10,1
3,4,4,John Senden,111,13,6,7
4,5,5,Briny Baird,113,15,13,2
5,6,6,Kenny Perry,98,23,3,20
6,7,7,Robert Allenby,87,24,9,15
7,8,8,Jim Furyk,104,31,25,6
8,9,9,Jeff Brehaut,110,33,17,16
9,10,10,Hal Sutton,81,35,11,24
10,11,11,Vijay Singh,106,39,27,12
11,12,12,David Peoples,96,51,38,13
12,13,13,J.J. Henry,100,55,35,20
13,14,14,Davis Love III,85,56,26,30
14,T15,T15,John Riegger,55,57,19,38
15,T15,T15,Kirk Triplett,92,57,38,19
16,17,17,Harrison Frazar,88,63,12,51
17,18,18,Kent Jones,74,65,24,41
18,T19,T19,David Gossett,92,66,35,31
19,T19,T19,David Sutherland,77,66,56,10
20,T19,T19,Hidemichi Tanaka,112,66,33,33
21,22,22,John Huston,76,67,47,20
22,23,23,Retief Goosen,69,68,59,9
23,24,24,Brian Bateman,70,69,16,53
24,T25,T25,Tom Gillis,71,70,20,50
25,T25,T25,Chris Smith,92,70,52,18
26,T27,T27,Mike Grob,83,71,7,64
27,T27,T27,Tiger Woods,74,71,45,26
28,T29,T29,Mathew Goggin,90,73,28,45
29,T29,T29,Tom Lehman,87,73,68,5
30,T29,T29,Carl Paulson,101,73,2,71
31,T29,T29,Joey Sindelar,93,73,56,17
32,33,33,Brandt Jobe,77,75,28,47
33,34,34,Jerry Kelly,108,76,42,34
34,35,35,Bob Tway,89,77,66,11
35,36,36,Duffy Waldorf,90,80,44,36
36,37,37,Paul Stankowski,67,82,68,14
37,38,38,Ernie Els,65,83,55,28
38,T39,T39,Tommy Armour III,66,85,5,80
39,T39,T39,Peter Jacobsen,75,85,23,62
40,41,41,Craig Barlow,95,87,22,65
41,42,42,Brent Schwarzrock,60,88,14,74
42,43,43,Ian Leggatt,71,92,50,42
43,44,44,Jonathan Kaye,91,94,42,52
44,45,45,Kenneth Staton,59,97,8,89
45,T46,T46,Dan Forsman,98,101,98,3
46,T46,T46,Jeff Sluman,106,101,77,24
47,48,48,Billy Mayfair,105,102,33,69
48,49,49,Cameron Beckman,86,104,49,55
49,T50,T50,Rocco Mediate,80,107,51,56
50,T50,T50,Darron Stiles,93,107,17,90
51,T52,T52,Charles Howell III,120,110,67,43
52,T52,T52,Andrew Magee,91,110,71,39
53,T52,T52,Rod Pampling,87,110,31,79
54,55,55,Heath Slocum,101,111,52,59
55,56,56,Skip Kendall,110,112,40,72
56,57,57,Cliff Kresge,102,121,31,90
