,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,José Coceres,62,1.99,15,752,+0.40
1,2,2,Scott Verplank,97,2.39,27,1132,+0.11
2,3,3,Hal Sutton,81,2.8,28,999,+0.50
3,4,4,John Riegger,55,2.89,19,658,+0.58
4,5,5,Joe Durant,96,2.93,35,1196,+0.17
5,6,6,Skip Kendall,110,3.16,43,1362,+0.26
6,7,7,Glen Hnatiuk,92,3.19,39,1222,+0.33
7,8,8,Fred Funk,112,3.25,44,1354,+0.18
8,9,9,Jim Furyk,104,3.26,38,1166,-0.05
9,10,10,Tim Clark,79,3.3,30,908,+0.30
10,11,11,Steve Flesch,110,3.52,47,1335,+0.38
11,12,12,Ben Curtis,69,3.7,31,838,+0.26
12,13,13,Olin Browne,113,3.71,52,1403,+0.08
13,14,14,Hidemichi Tanaka,112,3.72,56,1507,+0.38
14,T15,T15,Glen Day,103,3.78,50,1322,+0.50
15,T15,T15,Adam Scott,52,3.78,18,476,+0.61
16,17,17,Jeff Maggert,81,3.8,38,1000,+0.29
17,18,18,Tom Byrum,97,3.85,44,1144,+0.41
18,19,19,Kent Jones,74,3.87,34,878,+0.44
19,20,20,Jay Williamson,93,3.89,46,1184,+0.28
20,21,21,Stephen Ames,91,3.9,46,1180,+0.30
21,22,22,Peter Jacobsen,75,3.97,38,958,+0.16
22,23,23,Bob Estes,92,4.0,42,1050,+0.26
23,24,24,Richard Johnson,89,4.03,46,1142,+0.33
24,25,25,Loren Roberts,87,4.04,40,990,+0.28
25,26,26,Kirk Triplett,92,4.05,44,1086,+0.39
26,27,27,Mike Grob,83,4.1,44,1072,+0.36
27,28,28,Robert Damron,96,4.15,52,1252,+0.17
28,29,29,Paul Goydos,86,4.17,46,1102,+0.24
29,30,30,Jay Haas,89,4.18,42,1005,+0.10
30,31,31,Arron Oberholser,80,4.19,45,1074,+0.27
31,32,32,Rocco Mediate,80,4.36,39,894,+0.36
32,33,33,Heath Slocum,101,4.41,60,1361,+0.40
33,34,34,Briny Baird,113,4.44,65,1464,+0.08
34,35,35,Tim Petrovic,108,4.49,58,1292,+0.12
35,36,36,Mike Heinen,89,4.5,52,1156,+0.35
36,37,37,Chad Campbell,105,4.51,54,1197,+0.07
37,38,38,Dan Forsman,98,4.55,57,1254,+0.07
38,39,39,Robert Allenby,87,4.58,41,896,+0.22
39,40,40,Tom Gillis,71,4.6,41,892,+0.41
40,41,41,Donnie Hammond,92,4.61,55,1193,+0.35
41,T42,T42,Mike Weir,80,4.63,36,777,+0.08
42,T42,T42,Cameron Yancey,58,4.63,33,712,+0.21
43,T44,T44,Tommy Armour III,66,4.67,37,792,+0.14
44,T44,T44,Notah Begay III,92,4.67,56,1198,+0.46
45,T44,T44,Len Mattiace,94,4.67,49,1050,+0.55
46,47,47,Nick Price,65,4.69,33,704,+0.12
47,48,48,Darren Clarke,61,4.7,25,532,+0.20
48,49,49,David Frost,80,4.77,50,1048,+0.62
49,50,50,Duffy Waldorf,90,4.82,51,1058,+0.14
50,51,51,Mike Sposa,72,4.85,44,908,+0.23
51,52,52,Carl Paulson,101,4.86,67,1379,+0.31
52,T53,T53,Steve Allan,53,4.89,32,654,+0.63
53,T53,T53,Jeff Klein,60,4.89,37,756,+0.51
54,55,55,Cliff Kresge,102,4.91,61,1242,+0.07
55,56,56,John Senden,111,4.92,70,1422,+0.31
56,57,57,Jeff Brehaut,110,4.93,69,1401,+0.43
57,58,58,Peter Lonard,96,5.0,53,1060,+0.25
58,59,59,Mark Brooks,90,5.02,55,1095,+0.38
59,60,60,Paul Gow,62,5.03,40,796,+0.45
60,61,61,Billy Mayfair,105,5.05,64,1267,+0.23
61,62,62,Chris Riley,96,5.11,55,1076,+0.16
62,63,63,Jonathan Kaye,91,5.17,54,1045,+0.37
63,64,64,Garrett Willis,97,5.18,65,1255,+0.63
64,65,65,Dean Wilson,82,5.2,53,1020,+0.38
65,66,66,Kenneth Staton,59,5.22,40,766,+0.48
66,T67,T67,Stuart Appleby,90,5.23,52,994,+0.06
67,T67,T67,Pat Bates,111,5.23,75,1433,+0.27
68,69,69,Aaron Barber,94,5.27,65,1234,+0.45
69,70,70,Corey Pavin,88,5.28,58,1098,+0.16
70,T71,T71,Gavin Coles,69,5.32,46,864,+0.48
71,T71,T71,David Peoples,96,5.32,67,1260,+0.18
72,T73,T73,Jerry Kelly,108,5.34,67,1254,+0.09
73,T73,T73,Vijay Singh,106,5.34,62,1162,E
74,T73,T73,David Toms,90,5.34,50,936,+0.30
75,T73,T73,Bob Tway,89,5.34,59,1105,+0.25
76,77,77,Michael Clark II,54,5.35,38,710,+0.68
77,78,78,Joel Edwards,60,5.38,45,836,+0.64
78,79,79,Spike McRoy,103,5.39,73,1354,+0.25
79,80,80,Tom Lehman,87,5.41,52,962,+0.17
80,81,81,Matt Gogel,77,5.44,51,938,+0.33
81,82,82,Kenny Perry,98,5.47,60,1096,+0.40
82,T83,T83,K.J. Choi,112,5.48,68,1242,+0.21
83,T83,T83,Robert Gamez,114,5.48,80,1460,+0.14
84,85,85,Jeff Sluman,106,5.52,70,1267,+0.27
85,86,86,Jim Carter,95,5.56,69,1240,+0.54
86,T87,T87,Chris DiMarco,98,5.6,62,1108,+0.18
87,T87,T87,Brian Henninger,56,5.6,39,696,+0.33
88,89,89,Tim Herron,102,5.62,71,1264,+0.34
89,90,90,Esteban Toledo,109,5.63,80,1420,+0.43
90,91,91,Matt Kuchar,63,5.66,47,830,+0.19
