,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Gavin Coles,69,5.9,51,864,+0.24
1,T2,T2,Glen Hnatiuk,92,6.79,83,1222,+0.27
2,T2,T2,Billy Mayfair,105,6.79,86,1267,+0.13
3,4,4,Scott Verplank,97,6.89,78,1132,+0.15
4,5,5,Notah Begay III,92,7.01,84,1198,+0.31
5,6,6,Skip Kendall,110,7.05,96,1362,+0.05
6,7,7,Joe Durant,96,7.27,87,1196,+0.11
7,8,8,Fred Funk,112,7.39,100,1354,+0.23
8,9,9,Robert Damron,96,7.51,94,1252,+0.20
9,10,10,Corey Pavin,88,7.56,83,1098,+0.19
10,11,11,José Coceres,62,7.58,57,752,+0.40
11,12,12,Bob Estes,92,7.71,81,1050,+0.15
12,13,13,Loren Roberts,87,7.78,77,990,+0.09
13,14,14,Jeff Maggert,81,8.1,81,1000,+0.31
14,15,15,Jim Furyk,104,8.15,95,1166,+0.13
15,16,16,Tim Clark,79,8.37,76,908,+0.16
16,T17,T17,Chris Anderson,96,8.66,105,1213,+0.17
17,T17,T17,Rod Pampling,87,8.66,88,1016,+0.14
18,19,19,Richard Johnson,89,8.67,99,1142,+0.14
19,20,20,Pat Bates,111,8.72,125,1433,E
20,21,21,Heath Slocum,101,8.74,119,1361,+0.11
21,22,22,Kenny Perry,98,8.76,96,1096,+0.16
22,23,23,Harrison Frazar,88,9.0,104,1156,+0.12
23,24,24,Chris DiMarco,98,9.03,100,1108,+0.19
24,25,25,Tom Lehman,87,9.04,87,962,+0.14
25,26,26,Mike Grob,83,9.05,97,1072,+0.22
26,27,27,Dudley Hart,66,9.07,76,838,+0.14
27,28,28,Tom Gillis,71,9.08,81,892,-0.05
28,29,29,Hidemichi Tanaka,112,9.09,137,1507,+0.19
29,30,30,Mark Wilson,82,9.17,97,1058,+0.10
30,31,31,Pat Perez,95,9.18,107,1166,+0.21
31,32,32,Peter Jacobsen,75,9.19,88,958,+0.08
32,33,33,Hal Sutton,81,9.21,92,999,+0.17
33,34,34,Donnie Hammond,92,9.22,110,1193,+0.12
34,35,35,John Huston,76,9.28,93,1002,-0.03
35,36,36,Michael Clark II,54,9.3,66,710,+0.21
36,37,37,Scott Laycock,71,9.34,85,910,+0.18
37,T38,T38,Darren Clarke,61,9.4,50,532,+0.02
38,T38,T38,Rocco Mediate,80,9.4,84,894,+0.18
39,40,40,Ben Curtis,69,9.43,79,838,+0.27
40,41,41,Jay Williamson,93,9.46,112,1184,+0.21
41,T42,T42,Craig Barlow,95,9.49,120,1264,+0.24
42,T42,T42,Brian Gay,100,9.49,118,1243,+0.16
43,44,44,Akio Sadakata,83,9.52,101,1061,+0.28
44,45,45,Tom Byrum,97,9.53,109,1144,+0.17
45,T46,T46,Brandt Jobe,77,9.64,98,1017,-0.01
46,T46,T46,Carl Paulson,101,9.64,133,1379,+0.16
47,T46,T46,David Sutherland,77,9.64,91,944,+0.05
48,49,49,David Peoples,96,9.68,122,1260,+0.15
49,50,50,Matt Gogel,77,9.7,91,938,+0.05
50,51,51,Brad Elder,51,9.71,61,628,+0.08
51,52,52,John Senden,111,9.77,139,1422,+0.04
52,53,53,Duffy Waldorf,90,9.83,104,1058,+0.12
53,54,54,Kirk Triplett,92,9.85,107,1086,+0.14
54,55,55,Jeff Sluman,106,9.87,125,1267,+0.10
55,56,56,Charles Howell III,120,9.89,134,1355,+0.01
56,T57,T57,Jeff Klein,60,9.92,75,756,+0.29
57,T57,T57,Darron Stiles,93,9.92,112,1129,+0.18
58,59,59,Jonathan Byrd,101,9.93,121,1218,+0.19
59,60,60,J.P. Hayes,79,9.99,102,1021,+0.21
60,61,61,Mark Brooks,90,10.05,110,1095,+0.21
61,62,62,Frank Lickliter II,94,10.11,115,1138,+0.20
62,T63,T63,John Riegger,55,10.18,67,658,+0.10
63,T63,T63,Kenneth Staton,59,10.18,78,766,+0.18
64,65,65,J.J. Henry,100,10.19,136,1335,+0.16
65,66,66,Per-Ulrik Johansson,96,10.2,128,1255,+0.23
66,67,67,Bob Burns,88,10.24,109,1064,+0.28
67,68,68,Ben Crane,94,10.26,120,1170,+0.19
68,T69,T69,Robert Allenby,87,10.27,92,896,+0.16
69,T69,T69,Brent Schwarzrock,60,10.27,79,769,+0.23
70,71,71,Aaron Barber,94,10.29,127,1234,+0.21
71,72,72,J.L. Lewis,99,10.3,125,1214,+0.22
72,73,73,Chris Smith,92,10.31,121,1174,+0.14
73,74,74,Jay Haas,89,10.35,104,1005,+0.27
74,75,75,Luke Donald,88,10.37,119,1148,+0.31
75,76,76,Alex Cejka,98,10.38,114,1098,+0.11
76,77,77,Joey Sindelar,93,10.42,129,1238,+0.05
77,78,78,Jerry Kelly,108,10.45,131,1254,+0.22
78,79,79,Bernhard Langer,65,10.5,76,724,+0.14
79,80,80,Kaname Yokoo,56,10.53,72,684,+0.33
80,81,81,Lee Janzen,83,10.55,94,891,+0.17
81,82,82,Kent Jones,74,10.59,93,878,+0.12
82,83,83,Mark Calcavecchia,84,10.6,104,981,+0.04
83,84,84,Jay Don Blake,77,10.61,96,905,+0.32
84,85,85,Olin Browne,113,10.62,149,1403,+0.11
85,86,86,Nick Price,65,10.65,75,704,E
86,T87,T87,Billy Andrade,100,10.67,132,1237,+0.15
87,T87,T87,Jason Gore,83,10.67,117,1097,+0.13
88,T87,T87,Vijay Singh,106,10.67,124,1162,+0.02
89,90,90,Kenichi Kuboya,91,10.7,125,1168,+0.22
90,T91,T91,John Rollins,89,10.71,99,924,+0.16
91,T91,T91,Rory Sabbatini,95,10.71,118,1102,+0.14
92,93,93,Robert Gamez,114,10.75,157,1460,+0.27
93,94,94,Tim Petrovic,108,10.76,139,1292,+0.10
94,95,95,John Maginnes,87,10.79,117,1084,+0.18
95,96,96,Paul Gow,62,10.8,86,796,+0.14
96,97,97,Andrew Magee,91,10.82,125,1155,+0.14
97,T98,T98,Retief Goosen,69,10.86,76,700,E
98,T98,T98,Shigeki Maruyama,87,10.86,114,1050,+0.11
99,100,100,Dicky Pride,73,10.9,97,890,+0.10
100,101,101,Garrett Willis,97,10.92,137,1255,+0.16
101,102,102,Anthony Painter,87,10.93,122,1116,+0.28
102,T103,T103,Fred Couples,71,10.96,75,684,-0.01
103,T103,T103,"Dave Stockton, Jr.",79,10.96,110,1004,+0.21
104,T105,T105,Steven Alker,87,10.99,124,1128,+0.19
105,T105,T105,Jeff Brehaut,110,10.99,154,1401,+0.17
106,107,107,David Gossett,92,11.02,135,1225,+0.12
107,108,108,Cameron Beckman,86,11.03,128,1160,+0.14
108,109,109,Gene Sauers,87,11.05,125,1131,+0.18
109,110,110,Jason Buha,61,11.07,85,768,+0.11
110,111,111,David Toms,90,11.11,104,936,+0.06
111,112,112,Bob Tway,89,11.13,123,1105,+0.10
112,113,113,Marco Dawson,86,11.17,117,1047,+0.15
113,114,114,Shaun Micheel,97,11.18,140,1252,+0.15
114,115,115,Esteban Toledo,109,11.2,159,1420,+0.21
115,116,116,Deane Pappas,75,11.23,108,962,+0.15
116,117,117,Davis Love III,85,11.24,100,890,+0.08
117,T118,T118,Briny Baird,113,11.34,166,1464,+0.04
118,T118,T118,Paul Goydos,86,11.34,125,1102,+0.18
119,120,120,Brent Geiberger,51,11.36,81,713,+0.04
120,121,121,Ian Leggatt,71,11.41,99,868,+0.14
121,T122,T122,Matt Kuchar,63,11.45,95,830,+0.19
122,T122,T122,Justin Leonard,80,11.45,104,908,E
123,124,124,Joel Edwards,60,11.48,96,836,+0.27
124,T125,T125,Greg Chalmers,98,11.51,149,1295,+0.23
125,T125,T125,K.J. Choi,112,11.51,143,1242,+0.20
126,T125,T125,Mike Heinen,89,11.51,133,1156,+0.12
127,T128,T128,Ernie Els,65,11.53,71,616,+0.07
128,T128,T128,Craig Perks,82,11.53,118,1023,+0.19
129,T130,T130,Doug Barron,90,11.54,138,1196,+0.25
130,T130,T130,Tom Pernice Jr.,105,11.54,151,1308,+0.13
131,132,132,John Daly,56,11.59,76,656,+0.08
132,133,133,Cliff Kresge,102,11.67,145,1242,+0.10
133,134,134,Chad Campbell,105,11.7,140,1197,+0.09
134,135,135,Jesper Parnevik,102,11.71,142,1213,+0.13
135,136,136,Dan Forsman,98,11.72,147,1254,+0.02
136,137,137,Spike McRoy,103,11.74,159,1354,+0.11
137,138,138,Ty Tryon,52,11.75,74,630,+0.05
138,139,139,Steve Lowery,86,11.8,113,958,+0.06
139,140,140,Jim Carter,95,11.85,147,1240,+0.25
140,141,141,Chris Riley,96,11.9,128,1076,+0.05
141,142,142,Brian Henninger,56,11.93,83,696,+0.18
142,143,143,Geoff Ogilvy,86,11.94,123,1030,+0.11
143,144,144,Jason Caron,74,11.99,112,934,+0.16
144,145,145,David Frost,80,12.02,126,1048,+0.10
145,146,146,Glen Day,103,12.03,159,1322,+0.14
146,147,147,Patrick Sheehan,101,12.06,158,1310,+0.10
147,148,148,Stephen Ames,91,12.12,143,1180,+0.11
148,149,149,Todd Fischer,97,12.16,154,1266,+0.14
149,150,150,Cameron Yancey,58,12.22,87,712,+0.18
150,151,151,Mike Weir,80,12.23,95,777,+0.12
151,152,152,Todd Barranger,78,12.28,120,977,+0.13
