,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,1,Steve Elkington,52,1.9,13,681,+0.385
1,2,2,Tiger Woods,55,2.6,14,532,-0.071
2,T3,T3,Briny Baird,81,2.9,31,1073,+0.290
3,T3,T3,Joe Durant,101,2.9,41,1405,+0.146
4,5,5,Olin Browne,108,3.0,39,1316,+0.179
5,6,6,Scott Verplank,88,3.1,32,1027,+0.219
6,T7,T7,Jim Furyk,89,3.3,33,1011,+0.121
7,T7,T7,Kenny Perry,73,3.3,29,868,+0.241
8,T9,T9,Bart Bryant,87,3.4,35,1036,+0.371
9,T9,T9,K.J. Choi,93,3.4,39,1144,+0.154
10,T9,T9,Ryan Moore,68,3.4,29,852,+0.276
11,T12,T12,Alex Cejka,93,3.7,47,1268,+0.149
12,T12,T12,Fred Funk,106,3.7,47,1268,+0.106
13,T12,T12,Tom Pernice Jr.,108,3.7,50,1334,+0.240
14,T12,T12,Omar Uresti,61,3.7,30,821,+0.067
15,T16,T16,Skip Kendall,72,3.8,36,947,+0.139
16,T16,T16,Ian Leggatt,80,3.8,40,1059,+0.125
17,T18,T18,J.J. Henry,96,3.9,46,1184,+0.196
18,T18,T18,Jerry Smith,94,3.9,50,1282,+0.240
19,T20,T20,Larry Mize,53,4.0,26,653,+0.346
20,T20,T20,Heath Slocum,96,4.0,50,1243,+0.360
21,T22,T22,Brian Gay,107,4.1,61,1488,+0.279
22,T22,T22,Jason Gore,86,4.1,46,1120,+0.413
23,T22,T22,Ian Poulter,53,4.1,24,588,+0.375
24,T22,T22,Brett Wetterich,82,4.1,44,1083,+0.091
25,T22,T22,Ron Whittaker,81,4.1,45,1101,+0.356
26,T27,T27,Doug Barron,74,4.2,43,1018,+0.279
27,T27,T27,John Cook,67,4.2,37,874,+0.216
28,T27,T27,Harrison Frazar,95,4.2,51,1214,+0.314
29,T27,T27,Paul Goydos,72,4.2,42,1000,+0.190
30,T31,T31,Robert Allenby,79,4.3,37,852,+0.189
31,T31,T31,Robert Garrigus,85,4.3,50,1158,+0.340
32,T31,T31,Jeff Gove,91,4.3,52,1211,+0.096
33,T31,T31,Steve Jones,83,4.3,47,1088,+0.340
34,T31,T31,Sean O'Hair,100,4.3,50,1176,+0.400
35,T31,T31,Geoff Ogilvy,76,4.3,33,760,+0.212
36,T37,T37,Chris Couch,75,4.4,45,1015,+0.378
37,T37,T37,Kris Cox,83,4.4,50,1128,+0.260
38,T37,T37,Retief Goosen,68,4.4,28,642,+0.179
39,T37,T37,Jonathan Kaye,95,4.4,56,1285,+0.161
40,T37,T37,Jeff Maggert,81,4.4,46,1046,+0.304
41,T42,T42,Mark Brooks,90,4.5,53,1184,+0.321
42,T42,T42,Chad Campbell,91,4.5,46,1017,+0.348
43,T42,T42,Brian Davis,92,4.5,56,1256,+0.286
44,T42,T42,Bob Estes,85,4.5,51,1125,+0.176
45,T42,T42,Greg Kraft,79,4.5,46,1019,+0.370
46,T42,T42,Billy Mayfair,94,4.5,53,1173,+0.189
47,T42,T42,Tim Petrovic,95,4.5,57,1270,+0.246
48,T42,T42,Jason Schultz,77,4.5,47,1045,+0.277
49,T42,T42,Tjaart van der Walt,60,4.5,36,795,+0.139
50,T51,T51,Mathew Goggin,72,4.6,42,922,E
51,T51,T51,Stephen Leaney,84,4.6,54,1167,+0.074
52,T51,T51,Chris Riley,86,4.6,50,1085,+0.160
53,T51,T51,Kevin Sutherland,100,4.6,61,1336,+0.082
54,T55,T55,Brent Geiberger,99,4.7,64,1353,+0.328
55,T55,T55,Matt Hansen,68,4.7,43,919,+0.233
56,T55,T55,Charley Hoffman,100,4.7,61,1311,+0.115
57,T55,T55,Brandt Jobe,91,4.7,50,1059,+0.320
58,T55,T55,Kent Jones,103,4.7,63,1348,+0.270
59,T55,T55,Greg Owen,79,4.7,47,990,+0.191
60,T55,T55,Corey Pavin,74,4.7,42,890,+0.286
61,T62,T62,Paul Azinger,87,4.8,57,1185,+0.175
62,T62,T62,Henrik Bjornstad,97,4.8,64,1327,+0.141
63,T62,T62,David Branshaw,98,4.8,66,1363,+0.258
64,T62,T62,Jonathan Byrd,66,4.8,41,859,+0.073
65,T62,T62,Tim Clark,80,4.8,43,904,+0.116
66,T62,T62,Lucas Glover,105,4.8,61,1273,+0.049
67,T62,T62,Richard Johnson,94,4.8,61,1278,+0.246
68,T62,T62,Jerry Kelly,100,4.8,62,1280,+0.290
69,T62,T62,Hunter Mahan,98,4.8,63,1307,+0.159
70,T62,T62,Daisuke Maruyama,83,4.8,53,1101,+0.245
71,T62,T62,Arron Oberholser,82,4.8,45,937,+0.067
72,T62,T62,Jeff Overton,95,4.8,62,1299,+0.258
73,T62,T62,Tag Ridings,103,4.8,65,1361,+0.215
74,T62,T62,Adam Scott,70,4.8,35,726,+0.286
75,T62,T62,Duffy Waldorf,96,4.8,60,1250,+0.183
76,T62,T62,Nick Watney,97,4.8,63,1324,+0.063
77,T78,T78,Jason Bohn,104,4.9,67,1367,+0.060
78,T78,T78,Michael Connell,51,4.9,33,669,+0.303
79,T78,T78,Luke Donald,66,4.9,32,657,+0.313
80,T78,T78,Steve Flesch,119,4.9,76,1548,+0.105
81,T78,T78,Robert Gamez,94,4.9,63,1284,+0.143
82,T78,T78,Trevor Immelman,86,4.9,52,1060,+0.154
83,T78,T78,Peter Lonard,77,4.9,47,952,+0.234
84,T78,T78,Kirk Triplett,58,4.9,37,754,+0.135
85,T78,T78,Bubba Watson,83,4.9,54,1099,+0.259
