,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,J.B. Holmes,81,305.7,269001,880
1,2,2,Bubba Watson,83,301.8,302425,1002
2,3,3,John Daly,51,297.7,170852,574
3,4,4,Robert Garrigus,85,295.7,305726,1034
4,5,5,Brett Wetterich,82,295.2,299299,1014
5,6,6,Ryan Hietala,61,293.2,208727,712
6,T7,T7,Harrison Frazar,95,292.9,306989,1048
7,T7,T7,Charley Hoffman,100,292.9,362569,1238
8,9,9,Tag Ridings,103,292.3,365639,1251
9,10,10,Phil Mickelson,74,291.7,191961,658
10,11,11,Fred Couples,52,291.5,130579,448
11,T12,T12,Camilo Villegas,95,291.1,333053,1144
12,T12,T12,Tiger Woods,55,291.1,150816,518
13,T14,T14,Chris Couch,75,290.9,271095,932
14,T14,T14,Scott Gutschewski,53,290.9,182680,628
15,T14,T14,Jeff Overton,95,290.9,353771,1216
16,17,17,Adam Scott,70,290.6,206618,711
17,18,18,Nicholas Thompson,96,290.5,316048,1088
18,19,19,Lucas Glover,105,290.4,349616,1204
19,20,20,Davis Love III,85,290.3,231632,798
20,21,21,Bubba Dickerson,98,289.9,347626,1199
21,22,22,Vijay Singh,103,289.7,340690,1176
22,T23,T23,Rich Beem,85,289.5,262838,908
23,T23,T23,Chris Smith,67,289.5,237075,819
24,25,25,Jason Gore,86,289.4,292280,1010
25,26,26,Charles Warren,93,289.3,326345,1128
26,27,27,Mathias Grönberg,92,289.0,318765,1103
27,28,28,Alex Aragon,63,288.9,217817,754
28,29,29,Daniel Chopra,110,288.8,362172,1254
29,T30,T30,Matt Hansen,68,288.7,233252,808
30,T30,T30,Troy Matteson,101,288.7,354279,1227
31,32,32,James Driscoll,80,288.6,305935,1060
