,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,T1,Jason Gore,86,427,Mercedes Championships,3,12,656
1,T2,T2,Stuart Appleby,83,426,Mercedes Championships,1,12,656
2,T2,T2,Ángel Cabrera,40,426,World Golf Championships-Bridgestone Invitational,2,16,36
3,4,4,Scott Gutschewski,53,425,Valero Texas Open,2,11,625
4,5,5,Bubba Dickerson,98,420,Valero Texas Open,4,1,625
5,6,6,Harrison Frazar,95,416,Valero Texas Open,4,1,625
6,7,7,J.B. Holmes,81,413,World Golf Championships-Bridgestone Invitational,2,16,36
7,8,8,Charley Hoffman,100,411,Valero Texas Open,3,11,625
8,9,9,"Wes Short, Jr.",96,410,Mercedes Championships,4,12,656
9,T10,T10,Geoff Ogilvy,76,409,Mercedes Championships,3,12,656
10,T10,T10,Lucas Glover,105,409,Mercedes Championships,3,12,656
11,12,T1,Jason Gore,86,407,Mercedes Championships,1,12,656
12,13,T13,Carl Pettersson,95,406,Mercedes Championships,4,12,656
13,T14,T14,Sergio Garcia,59,405,Mercedes Championships,4,12,656
14,T14,7,J.B. Holmes,81,405,World Golf Championships-Bridgestone Invitational,1,16,36
15,T16,T16,Brandt Jobe,91,404,Valero Texas Open,4,14,625
16,T16,T16,Scott Hend,16,404,The Honda Classic,2,17,710
17,T16,T10,Lucas Glover,105,404,Mercedes Championships,2,12,656
18,T19,T19,Ian Leggatt,80,403,Bob Hope Chrysler Classic,2,9,723
19,T19,T2,Stuart Appleby,83,403,Mercedes Championships,2,12,656
20,T19,T19,Daniel Chopra,110,403,Bob Hope Chrysler Classic,5,9,723
21,T19,T1,Jason Gore,86,403,Mercedes Championships,4,12,656
22,T23,T23,Carlos Franco,86,402,Zurich Classic of New Orleans,3,7,511
23,T23,T14,Sergio Garcia,59,402,Mercedes Championships,1,18,656
24,T23,T23,Henrik Stenson,34,402,World Golf Championships-Bridgestone Invitational,2,16,36
25,T23,T23,Henrik Stenson,34,402,World Golf Championships-Bridgestone Invitational,3,16,36
26,T27,T16,Brandt Jobe,91,401,Valero Texas Open,4,1,625
27,T27,T10,Lucas Glover,105,401,Mercedes Championships,4,12,656
28,T29,T29,Davis Love III,85,400,World Golf Championships-Bridgestone Invitational,1,16,36
29,T29,4,Scott Gutschewski,53,400,Reno-Tahoe Open,1,9,660
30,T31,T31,Vijay Singh,103,399,Mercedes Championships,3,12,656
31,T31,T31,Matt Hansen,68,399,Valero Texas Open,2,11,625
32,T33,T33,Jeev Milkha Singh,8,398,Reno-Tahoe Open,2,9,660
33,T33,T10,Geoff Ogilvy,76,398,Mercedes Championships,4,12,656
34,T33,T33,Bubba Watson,83,398,Sony Open in Hawaii,4,12,6
35,T36,T36,John Daly,51,397,The Honda Classic,1,7,710
36,T36,T36,Bob Burns,23,397,Valero Texas Open,1,1,625
37,T36,T36,Jim Furyk,89,397,Mercedes Championships,3,12,656
38,T36,T36,Jason Schultz,77,397,Reno-Tahoe Open,2,9,660
39,T36,T36,Ryan Palmer,101,397,Valero Texas Open,4,1,625
40,T36,T36,Bo Van Pelt,102,397,Chrysler Classic of Tucson,3,18,101
41,T36,T10,Lucas Glover,105,397,Mercedes Championships,1,12,656
42,T43,T43,Tim Petrovic,95,396,Mercedes Championships,4,12,656
43,T43,T43,Peter Lonard,77,396,Mercedes Championships,1,18,656
44,T43,T43,Hank Kuehne,25,396,The Honda Classic,2,6,710
45,T43,T43,Sean O'Hair,100,396,Mercedes Championships,2,12,656
46,T47,T47,Mike Springer,13,395,Valero Texas Open,2,11,625
47,T47,T47,Jonathan Kaye,95,395,Valero Texas Open,4,1,625
48,T47,T47,Michael Campbell,27,395,Mercedes Championships,1,12,656
49,T47,T14,Sergio Garcia,59,395,Mercedes Championships,4,7,656
50,T47,T47,Eric Axley,91,395,Valero Texas Open,2,11,625
51,T47,T47,Nicholas Thompson,96,395,Valero Texas Open,2,11,625
52,T53,T53,David Toms,76,394,Mercedes Championships,1,18,656
53,T53,T31,Vijay Singh,103,394,Mercedes Championships,3,7,656
54,T53,T53,Tiger Woods,55,394,World Golf Championships-Bridgestone Invitational,2,16,36
55,T56,T56,Bob Tway,81,393,Valero Texas Open,2,11,625
56,T56,T53,Tiger Woods,55,393,World Golf Championships-Bridgestone Invitational,3,16,36
57,T56,T1,Jason Gore,86,393,Mercedes Championships,2,18,656
58,T56,T16,Scott Hend,16,393,B.C. Open presented by Turning Stone Resort,1,2,730
59,T56,T56,Troy Matteson,101,393,Bob Hope Chrysler Classic,5,9,723
60,T56,7,J.B. Holmes,81,393,World Golf Championships-Bridgestone Invitational,3,18,36
61,T56,T56,Camilo Villegas,95,393,The Honda Classic,1,12,710
62,T56,T56,Camilo Villegas,95,393,The Honda Classic,2,17,710
63,T56,T56,Camilo Villegas,95,393,The Honda Classic,3,12,710
64,T56,T56,Jeff Overton,95,393,Sony Open in Hawaii,1,16,6
65,T66,T47,Jonathan Kaye,95,392,Bob Hope Chrysler Classic,2,9,723
66,T66,5,Bubba Dickerson,98,392,Valero Texas Open,3,11,625
67,T66,T66,Johan Edfors,12,392,World Golf Championships-Bridgestone Invitational,1,16,36
68,T69,T69,Shaun Micheel,96,391,Valero Texas Open,1,14,625
69,T69,T69,Kent Jones,103,391,Valero Texas Open,4,1,625
70,T69,T69,Thomas Bjørn,26,391,World Golf Championships-Bridgestone Invitational,1,13,36
71,T69,T69,Chad Campbell,91,391,Bob Hope Chrysler Classic,5,9,723
72,T69,T69,Vance Veazey,59,391,84 LUMBER Classic,4,5,696
73,T69,T69,Michael Connell,51,391,Valero Texas Open,2,11,625
74,T69,T69,Pat Perez,50,391,Bob Hope Chrysler Classic,5,9,723
75,T69,T69,Adam Scott,70,391,World Golf Championships-Bridgestone Invitational,3,16,36
76,T69,T33,Bubba Watson,83,391,Bank of America Colonial,1,1,21
77,T78,T78,Glen Day,30,390,Reno-Tahoe Open,2,8,660
78,T78,T78,Trevor Immelman,86,390,World Golf Championships-Bridgestone Invitational,3,18,36
79,T78,T78,James Driscoll,80,390,The Honda Classic,1,17,710
80,T78,T78,Tag Ridings,103,390,Valero Texas Open,2,11,625
81,T78,T78,D.J. Trahan,92,390,Valero Texas Open,4,14,625
82,T83,T83,Paul Azinger,87,389,Valero Texas Open,1,11,625
83,T83,T83,Greg Kraft,79,389,Valero Texas Open,4,1,625
84,T83,T83,Kris Cox,83,389,Valero Texas Open,1,11,625
85,T83,T83,Dean Wilson,115,389,Bob Hope Chrysler Classic,5,9,723
