,Driving_Pct._300-320_Measured_RANK THIS WEEK,Driving_Pct._300-320_Measured_RANK LAST WEEK,Driving_Pct._300-320_Measured_PLAYER NAME,Driving_Pct._300-320_Measured_ROUNDS,Driving_Pct._300-320_Measured_%,Driving_Pct._300-320_Measured_TOTAL DRIVES FOR 300-320,Driving_Pct._300-320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300-320_Measured_RELATIVE TO PAR
0,1,1,John Daly,51,47.67,41,86,3.73
1,2,2,Brett Wetterich,82,41.67,65,156,3.95
2,3,3,Ryan Hietala,61,38.14,45,118,3.84
3,4,4,Matt Hansen,68,37.88,50,132,3.48
4,5,5,Robert Garrigus,85,37.35,62,166,3.82
5,6,6,Bubba Dickerson,98,35.94,69,192,3.88
6,7,7,J.B. Holmes,81,35.82,48,134,3.52
7,8,8,Tag Ridings,103,35.71,70,196,3.9
8,9,9,Charley Hoffman,100,35.64,67,188,4.19
9,10,10,Harrison Frazar,95,35.63,62,174,3.94
10,11,11,Phil Mickelson,74,34.91,37,106,3.84
11,12,12,Brandt Jobe,91,34.87,53,152,4.13
12,13,13,Retief Goosen,68,34.78,32,92,3.97
13,14,14,Roger Tambellini,64,34.43,42,122,3.67
14,15,15,Scott Gutschewski,53,34.31,35,102,3.89
15,16,16,Tiger Woods,55,34.21,26,76,3.69
16,17,17,James Driscoll,80,33.13,53,160,3.53
17,18,18,Lucas Glover,105,32.97,60,182,3.82
18,19,19,Chris Smith,67,32.84,44,134,3.27
19,20,20,Kris Cox,83,32.72,53,162,3.81
20,21,21,Bill Haas,99,32.29,62,192,3.95
21,22,22,Jonathan Byrd,66,32.26,40,124,3.55
22,23,23,Charles Warren,93,31.98,55,172,3.64
23,24,24,Jon Mills,68,31.82,42,132,4.02
24,25,25,Troy Matteson,101,31.68,64,202,3.69
25,26,26,Nick Watney,97,31.58,60,190,3.53
26,27,27,Daniel Chopra,110,31.55,65,206,4.03
27,28,28,Geoff Ogilvy,76,31.48,34,108,3.74
28,29,29,Nicholas Thompson,96,31.32,57,182,3.51
29,30,30,Will MacKenzie,91,31.25,55,176,3.56
30,T31,T31,Brian Bateman,69,30.77,40,130,3.88
31,T31,T31,Adam Scott,70,30.77,32,104,3.56
32,33,33,Jeff Overton,95,30.65,57,186,3.96
33,34,34,Fred Couples,52,30.26,23,76,3.39
34,35,35,Chris Couch,75,30.14,44,146,3.55
35,36,36,Davis Love III,85,29.69,38,128,4.03
36,37,37,Alex Aragon,63,29.51,36,122,3.92
37,38,38,John Senden,96,29.31,51,174,3.59
38,39,39,Mathew Goggin,72,28.79,38,132,3.42
39,40,40,John Rollins,93,28.74,50,174,3.52
40,41,41,Bo Van Pelt,102,28.65,55,192,3.47
41,42,42,Ryan Palmer,101,28.42,54,190,3.94
42,43,43,Tim Herron,82,28.36,38,134,3.87
43,44,44,Ian Leggatt,80,28.29,43,152,3.77
44,45,45,Greg Owen,79,28.17,40,142,3.6
45,46,46,Mathias Grönberg,92,28.09,50,178,3.68
46,47,47,Robert Allenby,79,27.87,34,122,3.76
47,48,48,Jason Gore,86,27.5,44,160,3.52
48,49,49,Henrik Bjornstad,97,27.37,52,190,3.56
49,50,50,Carlos Franco,86,27.33,47,172,3.45
50,51,51,Jonathan Kaye,95,27.17,50,184,3.26
51,52,52,Len Mattiace,59,27.12,32,118,3.56
52,53,53,Charles Howell III,96,27.06,46,170,3.39
53,54,54,Jimmy Walker,60,26.72,31,116,4.03
54,55,55,Jason Schultz,77,26.67,40,150,3.75
55,56,56,Camilo Villegas,95,26.44,46,174,3.67
56,57,57,Marco Dawson,87,25.86,45,174,3.78
57,58,58,Joe Ogilvie,95,25.84,46,178,3.61
58,59,59,Paul Stankowski,70,25.71,36,140,3.56
59,60,60,D.J. Trahan,92,25.57,45,176,3.71
60,61,61,Vance Veazey,59,25.42,30,118,3.9
61,T62,T62,Danny Ellis,68,25.0,32,128,3.94
62,T62,T62,Bob May,65,25.0,31,124,3.55
63,T62,T62,Pat Perez,50,25.0,24,96,3.71
64,T62,T62,Patrick Sheehan,104,25.0,50,200,3.54
65,T62,T62,Vijay Singh,103,25.0,44,176,3.52
66,67,67,Rich Beem,85,24.65,35,142,3.57
67,68,68,David Duval,71,24.56,28,114,3.43
68,69,69,Kevin Sutherland,100,24.48,47,192,3.51
69,70,70,Sean O'Hair,100,24.4,41,168,3.32
70,71,71,Bubba Watson,83,24.05,38,158,3.55
71,72,72,Chad Campbell,91,23.97,35,146,3.63
72,73,73,Ernie Els,69,23.96,23,96,3.7
73,74,74,Rory Sabbatini,84,23.94,34,142,3.26
74,75,75,Craig Barlow,77,23.88,32,134,3.63
75,76,76,Michael Allen,84,23.81,40,168,3.83
76,77,77,Justin Rose,98,23.63,43,182,3.63
77,78,78,John Huston,74,23.61,34,144,3.53
78,79,79,Freddie Jacobson,56,23.21,26,112,3.58
79,80,80,Bob Tway,81,22.97,34,148,3.5
80,81,81,Eric Axley,91,22.47,40,178,3.78
81,82,82,Trevor Immelman,86,22.37,34,152,3.18
82,83,83,Brent Geiberger,99,22.16,43,194,3.33
83,84,84,Sergio Garcia,59,21.95,18,82,2.94
84,85,85,Joe Durant,101,21.78,44,202,3.36
85,86,86,Kenny Perry,73,21.77,27,124,3.41
86,87,87,J.J. Henry,96,21.76,37,170,3.49
87,88,88,Woody Austin,107,21.72,43,198,3.53
88,89,89,Jesper Parnevik,84,21.34,35,164,4.23
89,90,90,Jeff Gove,91,21.26,37,174,3.32
90,91,91,Shaun Micheel,96,21.08,35,166,3.69
91,92,92,"John Engler, Jr.",69,20.9,28,134,3.43
92,93,93,Briny Baird,81,20.78,32,154,3.5
93,94,94,Richard Johnson,94,20.65,38,184,3.53
94,T95,T95,Stuart Appleby,83,20.45,27,132,3.44
95,T95,T95,Bernhard Langer,77,20.45,27,132,3.41
96,97,97,Steve Elkington,52,20.41,20,98,3.3
97,98,98,Stewart Cink,93,20.27,30,148,3.5
98,99,99,Chris Riley,86,19.87,31,156,3.52
99,100,100,Padraig Harrington,54,19.74,15,76,3.67
100,101,101,"Wes Short, Jr.",96,19.57,36,184,2.83
101,102,102,Dudley Hart,83,19.51,32,164,3.31
102,103,103,Duffy Waldorf,96,19.44,35,180,3.29
103,104,104,Jason Bohn,104,19.39,38,196,3.34
104,105,105,Steve Lowery,99,19.23,35,182,3.31
105,106,106,Bob Estes,85,19.14,31,162,3.55
106,107,107,J.P. Hayes,55,19.09,21,110,3.38
107,108,108,Steve Flesch,119,18.92,42,222,3.52
108,109,109,Brian Davis,92,18.89,34,180,3.38
109,T110,T110,Jeff Brehaut,100,18.75,36,192,3.17
110,T110,T110,David McKenzie,82,18.75,30,160,3.4
111,112,112,Aaron Baddeley,78,18.57,26,140,3.92
112,113,113,Tjaart van der Walt,60,18.42,21,114,3.0
113,114,114,D.A. Points,82,18.13,29,160,3.59
114,115,115,Ryan Moore,68,18.03,22,122,3.23
115,116,116,Zach Johnson,98,17.95,28,156,3.36
116,117,117,Rod Pampling,89,17.86,25,140,3.56
117,118,118,David Toms,76,17.74,22,124,3.27
118,119,119,Stephen Ames,63,17.71,17,96,3.24
119,120,120,Brett Quigley,109,17.68,35,198,3.26
120,121,121,Billy Andrade,78,17.65,24,136,3.46
121,122,122,Steve Stricker,64,17.59,19,108,3.89
122,123,123,Paul Azinger,87,17.06,29,170,3.34
123,T124,T124,Michael Connell,51,16.67,16,96,2.88
