,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,J.B. Holmes,81,66.8,268915.8,402595
1,2,2,Bubba Watson,83,66.25,302407.9,456463
2,3,3,Robert Garrigus,85,64.79,305703.8,471845
3,4,4,John Daly,51,64.77,170839.9,263768
4,5,5,Brett Wetterich,82,64.67,299270.3,462737
5,6,6,Ryan Hietala,61,64.45,208720.7,323839
6,7,7,Harrison Frazar,95,64.35,306955.4,477043
7,8,8,Tag Ridings,103,64.16,365615.2,569837
8,9,9,Charley Hoffman,100,64.12,362544.2,565399
9,10,10,Jeff Overton,95,64.09,353733.1,551941
10,11,11,Camilo Villegas,95,63.89,332999.5,521238
11,12,12,Scott Gutschewski,53,63.8,182680.1,286351
12,13,13,Fred Couples,52,63.78,130569.1,204709
13,14,14,Chris Couch,75,63.76,271081.8,425156
14,15,15,Adam Scott,70,63.71,206596.5,324258
15,16,16,Bubba Dickerson,98,63.67,347596.1,545974
16,17,17,Phil Mickelson,74,63.66,191943.7,301495
17,18,18,Lucas Glover,105,63.58,349588.0,549798
18,T19,T19,Nicholas Thompson,96,63.57,316022.0,497096
19,T19,T19,Charles Warren,93,63.57,326335.0,513367
20,21,21,Matt Hansen,68,63.55,233241.8,366996
21,22,22,Kris Cox,83,63.54,289293.4,455284
22,23,23,Alex Aragon,63,63.5,217800.2,343004
23,24,24,Chris Smith,67,63.49,237074.8,373393
24,T25,T25,Kenny Perry,73,63.45,240529.9,379091
25,T25,T25,Vijay Singh,103,63.45,340686.8,536909
26,27,27,Mathias Grönberg,92,63.43,318731.7,502510
27,28,28,James Driscoll,80,63.39,305916.5,482575
28,29,29,Tiger Woods,55,63.31,150815.5,238219
29,30,30,Davis Love III,85,63.3,231630.3,365903
30,31,31,Troy Matteson,101,63.25,354261.2,560083
31,32,32,Jason Gore,86,63.23,292272.2,462241
32,33,33,Rich Beem,85,63.22,262792.9,415711
33,34,34,Jon Mills,68,63.16,217634.2,344588
34,35,35,Daniel Chopra,110,63.14,362141.5,573532
35,36,36,Mathew Goggin,72,63.07,233236.8,369825
36,37,37,Geoff Ogilvy,76,63.03,210528.2,333989
37,38,38,Ryan Palmer,101,62.99,327860.5,520499
38,39,39,Retief Goosen,68,62.97,184340.7,292748
39,40,40,Jonathan Kaye,95,62.93,343962.9,546606
40,41,41,Will MacKenzie,91,62.92,299313.2,475731
41,42,42,Nick Watney,97,62.9,344448.6,547594
42,43,43,Roger Tambellini,64,62.88,212704.7,338282
43,44,44,Craig Barlow,77,62.87,233903.0,372043
44,45,45,Jonathan Byrd,66,62.85,215683.8,343179
45,46,46,"Wes Short, Jr.",96,62.81,339649.8,540797
46,T47,T47,Henrik Bjornstad,97,62.78,355802.3,566769
47,T47,T47,Bo Van Pelt,102,62.78,358832.9,571533
48,T49,T49,Trevor Immelman,86,62.71,290454.4,463182
49,T49,T49,Jimmy Walker,60,62.71,221986.6,353997
50,51,51,Charles Howell III,96,62.7,315542.5,503284
51,52,52,Bill Haas,99,62.69,350812.3,559602
52,53,53,Eric Axley,91,62.6,313891.6,501456
53,54,54,John Senden,96,62.59,313905.9,501529
54,55,55,Paul Stankowski,70,62.55,250130.8,399913
55,56,56,Hunter Mahan,98,62.5,350494.3,560831
56,T57,T57,Sergio Garcia,59,62.45,157831.1,252740
57,T57,T57,Rory Sabbatini,84,62.45,254424.7,407438
58,T59,T59,J.J. Henry,96,62.42,306373.2,490817
59,T59,T59,Tim Herron,82,62.42,245697.0,393606
60,61,61,Brandt Jobe,91,62.41,278956.8,446968
61,T62,T62,David Duval,71,62.38,210443.7,337345
62,T62,T62,John Rollins,93,62.38,303246.9,486101
63,64,64,Sean O'Hair,100,62.35,302536.7,485248
64,65,65,Brian Bateman,69,62.32,231886.6,372118
65,66,66,Joe Ogilvie,95,62.27,308334.9,495185
66,67,67,Bob May,65,62.25,211472.5,339708
67,T68,T68,Danny Ellis,68,62.24,237469.7,381559
68,T68,T68,Pat Perez,50,62.24,168115.0,270100
69,70,70,Robert Allenby,79,62.21,237923.6,382462
70,71,71,Carlos Franco,86,62.2,304022.5,488794
71,72,72,John Huston,74,62.16,255181.0,410553
72,73,73,Justin Rose,98,62.14,338171.3,544241
73,74,74,Freddie Jacobson,56,62.09,213108.3,343247
74,75,75,D.J. Trahan,92,62.08,299231.6,482010
75,76,76,Jeff Gove,91,62.06,318934.3,513909
76,T77,T77,Stuart Appleby,83,62.04,254866.0,410842
77,T77,T77,Stewart Cink,93,62.04,286022.7,460994
78,79,79,Marco Dawson,87,62.03,304243.6,490509
79,T80,T80,Alex Cejka,93,62.02,314900.2,507705
80,T80,T80,Jason Schultz,77,62.02,256389.5,413372
81,82,82,Padraig Harrington,54,62.01,150093.7,242038
82,83,83,Kevin Sutherland,100,61.97,342573.7,552766
83,84,84,Greg Owen,79,61.96,245975.2,397018
84,T85,T85,Chad Campbell,91,61.93,263786.1,425913
85,T85,T85,Ernie Els,69,61.93,184797.2,298384
86,87,87,Jason Bohn,104,61.92,349223.6,563992
87,T88,T88,David Howell,52,61.88,118544.9,191575
88,T88,T88,David Toms,76,61.88,245668.9,396987
89,90,90,Arron Oberholser,82,61.87,243735.3,393979
90,91,91,Michael Allen,84,61.84,284233.8,459612
91,T92,T92,Rod Pampling,89,61.83,255538.5,413275
92,T92,T92,Jesper Parnevik,84,61.83,287709.5,465335
93,94,94,Frank Lickliter II,99,61.78,331785.0,537039
94,95,95,Brett Quigley,109,61.77,368121.4,596000
95,96,96,Vaughn Taylor,88,61.76,303288.4,491092
96,97,97,Ryan Moore,68,61.75,227499.9,368399
97,98,98,Brian Davis,92,61.74,318378.6,515662
98,99,99,J.P. Hayes,55,61.67,193970.7,314548
99,100,100,Arjun Atwal,97,61.62,319646.7,518727
100,101,101,K.J. Choi,93,61.59,309127.7,501891
101,102,102,Ian Leggatt,80,61.58,273504.3,444111
102,103,103,Steve Lowery,99,61.56,323457.8,525456
103,104,104,Joe Durant,101,61.55,374774.9,608914
104,105,105,Patrick Sheehan,104,61.53,340008.7,552587
105,106,106,Bob Tway,81,61.52,260782.2,423898
106,T107,T107,Zach Johnson,98,61.5,300897.5,489274
107,T107,T107,Ted Purdy,103,61.5,314515.9,511402
108,T109,T109,Tom Lehman,70,61.49,183441.3,298348
