,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Phil Mickelson,74,-.050
1,2,2,Daniel Chopra,110,-.019
2,3,3,Davis Love III,85,-.009
3,T4,T4,Billy Andrade,78,E
4,T4,T4,Jeff Gove,91,E
5,T4,T4,Vijay Singh,103,E
6,7,7,John Senden,96,+.006
7,8,8,Marco Dawson,87,+.008
8,9,9,Trevor Immelman,86,+.011
9,10,10,Jonathan Byrd,66,+.019
10,11,11,Retief Goosen,68,+.020
11,12,12,Tiger Woods,55,+.023
12,13,13,Robert Allenby,79,+.028
13,14,14,Bob Estes,85,+.034
14,15,15,Bo Van Pelt,102,+.038
15,T16,T16,Chris DiMarco,83,+.040
16,T16,T16,Jason Gore,86,+.040
17,18,18,Charles Warren,93,+.041
18,T19,T19,Briny Baird,81,+.043
19,T19,T19,Ian Poulter,53,+.043
20,T19,T19,Brett Quigley,109,+.043
21,T22,T22,Stephen Ames,63,+.045
22,T22,T22,Eric Axley,91,+.045
23,T24,T24,Joe Ogilvie,95,+.047
24,T24,T24,Duffy Waldorf,96,+.047
25,26,26,Ernie Els,69,+.048
26,27,27,Jesper Parnevik,84,+.049
27,28,28,J.J. Henry,96,+.051
28,29,29,Freddie Jacobson,56,+.057
29,30,30,Todd Fischer,101,+.060
30,T31,T31,Robert Garrigus,85,+.063
31,T31,T31,Vance Veazey,59,+.063
32,T33,T33,Michael Allen,84,+.067
33,T33,T33,Justin Rose,98,+.067
34,35,35,Len Mattiace,59,+.068
35,36,36,Stewart Cink,93,+.070
36,37,37,Jeff Brehaut,100,+.071
37,T38,T38,Steve Jones,83,+.072
38,T38,T38,Shaun Micheel,96,+.072
39,T38,T38,Pat Perez,50,+.072
40,T41,T41,Charley Hoffman,100,+.074
41,T41,T41,Kent Jones,103,+.074
42,T41,T41,Greg Owen,79,+.074
43,T41,T41,Camilo Villegas,95,+.074
44,T41,T41,Mike Weir,88,+.074
45,46,46,Bubba Watson,83,+.077
46,T47,T47,Brent Geiberger,99,+.080
47,T47,T47,Billy Mayfair,94,+.080
48,T47,T47,José María Olazábal,62,+.080
49,T47,T47,Adam Scott,70,+.080
50,51,51,Paul Stankowski,70,+.081
51,52,52,Jeff Sluman,101,+.082
52,T53,T53,Bill Haas,99,+.083
53,T53,T53,Ted Purdy,103,+.083
54,T55,T55,Mark Calcavecchia,94,+.087
55,T55,T55,Tim Herron,82,+.087
56,T57,T57,Matt Hansen,68,+.088
57,T57,T57,David Toms,76,+.088
58,T57,T57,Jimmy Walker,60,+.088
59,60,60,Frank Lickliter II,99,+.089
60,61,61,Carlos Franco,86,+.090
61,T62,T62,Fred Couples,52,+.091
62,T62,T62,Steve Elkington,52,+.091
63,T62,T62,Bob May,65,+.091
64,T62,T62,Ryan Moore,68,+.091
65,66,66,Jim Furyk,89,+.092
66,67,67,Jonathan Kaye,95,+.094
67,68,68,Troy Matteson,101,+.096
68,69,69,Tjaart van der Walt,60,+.097
