,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Adam Scott,70,0.955,48.70399999999999,51
1,2,2,Bubba Watson,83,0.807,58.081,72
2,3,3,Tiger Woods,55,0.8029999999999999,29.709,37
3,4,4,Brett Wetterich,82,0.8009999999999999,58.506,73
4,5,5,J.B. Holmes,81,0.758,47.763000000000005,63
5,6,6,Joe Durant,101,0.75,71.99,96
6,7,7,Kenny Perry,73,0.742,44.52,60
7,8,8,Charles Warren,93,0.74,59.955,81
8,9,9,Lucas Glover,105,0.7240000000000001,62.298,86
9,10,10,Greg Owen,79,0.636,39.417,62
10,11,11,Camilo Villegas,95,0.629,51.589,82
11,12,12,Phil Mickelson,74,0.569,26.737,47
12,13,13,Chris Smith,67,0.556,32.819,59
13,14,14,Trevor Immelman,86,0.544,39.74,73
14,T15,T15,Jonathan Byrd,66,0.5429999999999999,29.319000000000003,54
15,T15,T15,Fred Couples,52,0.5429999999999999,17.368,32
16,17,17,Chris Couch,75,0.5329999999999999,35.684,67
17,T18,T18,Robert Allenby,79,0.524,31.456,60
18,T18,T18,John Senden,96,0.524,41.431000000000004,79
19,20,20,Charley Hoffman,100,0.516,45.931000000000004,89
20,21,21,Nicholas Thompson,96,0.49700000000000005,38.749,78
21,22,22,Jonathan Kaye,95,0.478,41.098,86
22,23,23,Jim Furyk,89,0.475,32.321999999999996,68
23,24,24,Jeff Overton,95,0.466,40.501,87
24,25,25,Mathew Goggin,72,0.457,26.53,58
25,26,26,Ian Poulter,53,0.456,19.145,42
26,27,27,Mathias Grönberg,92,0.449,35.464,79
27,28,28,Vijay Singh,103,0.447,37.571,84
28,29,29,Davis Love III,85,0.446,25.396,57
29,30,30,Bo Van Pelt,102,0.43700000000000006,39.339,90
30,31,31,Zach Johnson,98,0.418,32.178000000000004,77
31,32,32,Nick Watney,97,0.385,33.126999999999995,86
32,33,33,Sergio Garcia,59,0.38299999999999995,14.953,39
33,34,34,Harrison Frazar,95,0.379,28.393,75
34,35,35,Rich Beem,85,0.353,22.951999999999998,65
35,36,36,Matt Hansen,68,0.35200000000000004,20.405,58
36,37,37,Ernie Els,69,0.344,16.176,47
37,38,38,Robert Garrigus,85,0.33399999999999996,24.679000000000002,74
38,T39,T39,Scott Gutschewski,53,0.33299999999999996,14.984000000000002,45
39,T39,T39,Heath Slocum,96,0.33299999999999996,27.988000000000003,84
40,41,41,Stuart Appleby,83,0.33,21.124000000000002,64
41,42,42,Ryan Palmer,101,0.318,26.041,82
42,43,43,Ryan Moore,68,0.313,18.153,58
43,44,44,Tom Lehman,70,0.306,14.398,47
44,45,45,Steve Elkington,52,0.302,13.890999999999998,46
45,46,46,Bart Bryant,87,0.299,21.213,71
46,47,47,Hunter Mahan,98,0.295,26.252,89
47,48,48,David Toms,76,0.293,18.195,62
48,49,49,Brian Davis,92,0.29100000000000004,23.575,81
49,50,50,D.J. Trahan,92,0.26899999999999996,20.46,76
50,51,51,John Rollins,93,0.264,20.037,76
