,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,J.B. Holmes,81,71.03,202458.3,285019
1,2,2,Bubba Watson,83,70.26,224064.2,318888
2,3,3,John Daly,51,69.28,124546.6,179762
3,4,4,Brett Wetterich,82,68.95,225012.6,326324
4,5,5,Robert Garrigus,85,68.79,227923.9,331317
5,6,6,Ryan Hietala,61,68.62,158316.2,230706
6,7,7,Harrison Frazar,95,68.44,230694.0,337056
7,8,8,Jeff Overton,95,68.31,269990.2,395257
8,T9,T9,Charley Hoffman,100,68.3,267769.2,392027
9,T9,T9,Tag Ridings,103,68.3,274155.1,401408
10,11,11,Scott Gutschewski,53,68.13,135989.5,199605
11,12,12,Phil Mickelson,74,67.94,141604.9,208430
12,13,13,Chris Couch,75,67.88,203693.2,300073
13,14,14,Bubba Dickerson,98,67.86,262404.2,386687
14,T15,T15,Vijay Singh,103,67.81,259208.7,382268
15,T15,T15,Chris Smith,67,67.81,178314.9,262944
16,17,17,Mathias Grönberg,92,67.76,238791.0,352418
17,18,18,Camilo Villegas,95,67.75,251068.1,370588
18,19,19,Charles Warren,93,67.74,245877.7,362983
19,20,20,Nicholas Thompson,96,67.71,238681.6,352503
20,T21,T21,Alex Aragon,63,67.69,163985.3,242257
21,T21,T21,Lucas Glover,105,67.69,262096.3,387203
22,23,23,Matt Hansen,68,67.62,177262.8,262158
23,T24,T24,Rich Beem,85,67.59,196828.1,291228
24,T24,T24,Kris Cox,83,67.59,218187.6,322812
25,26,26,James Driscoll,80,67.51,231773.5,343320
26,27,27,Craig Barlow,77,67.34,173115.3,257088
27,28,28,Kenny Perry,73,67.31,189091.7,280937
28,29,29,Jonathan Kaye,95,67.27,260600.1,387384
29,T30,T30,Will MacKenzie,91,67.26,225149.9,334761
30,T30,T30,Troy Matteson,101,67.26,266009.2,395473
31,32,32,Adam Scott,70,67.2,161032.5,239616
32,33,33,Daniel Chopra,110,67.16,267858.2,398818
33,34,34,"Wes Short, Jr.",96,67.13,258171.7,384598
34,T35,T35,Fred Couples,52,67.06,98478.9,146848
35,T35,T35,Davis Love III,85,67.06,172845.4,257759
36,T35,T35,Jon Mills,68,67.06,164957.5,245985
37,38,38,Jason Gore,86,67.03,217206.6,324031
38,39,39,Roger Tambellini,64,67.02,159012.1,237258
39,40,40,Jonathan Byrd,66,66.98,158692.0,236925
40,41,41,Tiger Woods,55,66.95,112441.1,167951
41,42,42,Retief Goosen,68,66.94,137059.1,204757
42,43,43,Ryan Palmer,101,66.87,249564.1,373234
43,T44,T44,Geoff Ogilvy,76,66.85,158979.7,237798
44,T44,T44,Bo Van Pelt,102,66.85,267986.7,400849
45,46,46,Nick Watney,97,66.82,254130.5,380338
46,47,47,Mathew Goggin,72,66.77,175571.7,262936
47,48,48,Eric Axley,91,66.73,235976.2,353639
48,49,49,Charles Howell III,96,66.7,236263.9,354217
49,50,50,Sergio Garcia,59,66.68,117276.1,175874
50,51,51,Bill Haas,99,66.65,262622.0,394019
51,T52,T52,Marco Dawson,87,66.6,226205.7,339662
