,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Scott Gutschewski,19,83,11,72
1,2,2,Chris Smith,21,84,24,60
2,3,3,Nicholas Thompson,32,89,48,41
3,4,4,Hunter Mahan,29,91,57,34
4,5,5,Robert Allenby,22,93,64,29
5,6,6,Joe Durant,28,94,93,1
6,7,7,Greg Owen,24,101,54,47
7,8,8,Kenny Perry,22,102,69,33
8,9,9,Charles Warren,27,104,20,84
9,10,10,Lucas Glover,31,114,23,91
10,11,11,Jonathan Byrd,20,115,33,82
11,12,12,John Senden,28,117,44,73
12,13,13,Padraig Harrington,15,119,60,59
13,14,14,Ian Poulter,15,120,100,20
14,15,15,Ryan Moore,22,124,74,50
15,16,16,Brett Wetterich,25,126,4,122
16,17,17,Jonathan Kaye,32,128,61,67
17,18,18,John Rollins,28,129,50,79
18,19,19,Bubba Dickerson,32,132,27,105
19,20,20,Adam Scott,19,133,16,117
20,21,21,Steve Elkington,17,134,127,7
21,T22,T22,David Branshaw,29,137,102,35
22,T22,T22,Brian Davis,28,137,115,22
23,24,24,Nick Watney,29,139,18,121
24,25,25,Mathew Goggin,26,140,45,95
25,T26,T26,Will MacKenzie,29,143,40,103
26,T26,T26,Kevin Sutherland,29,143,67,76
27,T28,T28,Harrison Frazar,29,145,9,136
28,T28,T28,Tiger Woods,15,145,6,139
29,T30,T30,Rich Beem,27,146,48,98
30,T30,T30,Henrik Bjornstad,31,146,39,107
31,32,32,Kent Jones,32,147,110,37
32,33,33,Jason Bohn,29,148,95,53
33,34,34,Briny Baird,25,151,135,16
34,35,35,Jeff Gove,29,152,88,64
35,T36,T36,Eric Axley,29,153,61,92
36,T36,T36,Alex Cejka,30,153,96,57
37,T36,T36,Duffy Waldorf,28,153,115,38
38,39,39,Daisuke Maruyama,25,154,139,15
39,40,40,Chris Couch,27,155,21,134
40,41,41,Chris Riley,27,157,139,18
41,42,42,Davis Love III,23,158,14,144
42,43,43,J.P. Hayes,19,159,108,51
43,T44,T44,Brent Geiberger,30,161,113,48
44,T44,T44,Sean O'Hair,30,161,71,90
45,46,46,Ted Purdy,33,162,101,61
46,T47,T47,Ryan Palmer,30,163,47,116
47,T47,T47,David Toms,22,163,133,30
48,T49,T49,Mathias Grönberg,30,164,54,110
49,T49,T49,Matt Hansen,25,164,19,145
50,T51,T51,Jason Gore,29,165,22,143
51,T51,T51,Brandt Jobe,28,165,37,128
52,T53,T53,Bart Bryant,26,167,156,11
53,T53,T53,Jim Furyk,24,167,159,8
54,T53,T53,D.J. Trahan,33,167,81,86
55,56,56,Heath Slocum,30,169,165,4
56,T57,T57,Zach Johnson,27,171,145,26
57,T57,T57,Justin Rose,28,171,82,89
58,59,59,Geoff Ogilvy,20,172,53,119
59,T60,T60,Trevor Immelman,24,173,58,115
60,T60,T60,Bo Van Pelt,28,173,35,138
61,62,62,Tjaart van der Walt,21,174,150,24
62,63,63,Billy Mayfair,29,175,154,21
63,T64,T64,Patrick Sheehan,34,176,105,71
64,T64,T64,Paul Stankowski,22,176,51,125
65,T66,T66,Charley Hoffman,29,177,10,167
66,T66,T66,Phil Mickelson,19,177,17,160
67,T66,T66,Omar Uresti,22,177,171,6
68,T69,T69,Skip Kendall,22,178,165,13
69,T69,T69,Jeff Maggert,26,178,164,14
70,T69,T69,Camilo Villegas,29,178,13,165
71,T72,T72,Troy Matteson,32,179,28,151
72,T72,T72,Kirk Triplett,18,179,168,11
73,T74,T74,Robert Garrigus,28,180,3,177
74,T74,T74,Frank Lickliter II,29,180,125,55
75,76,76,K.J. Choi,26,182,112,70
76,T77,T77,Jeff Brehaut,33,183,125,58
77,T77,T77,Larry Mize,18,183,178,5
78,T77,T77,Steve Stricker,17,183,134,49
79,T80,T80,Kris Cox,28,184,30,154
80,T80,T80,Richard Johnson,29,184,148,36
81,T80,T80,David McKenzie,28,184,142,42
82,T80,T80,Pat Perez,19,184,30,154
83,84,84,Brian Bateman,26,186,40,146
84,85,85,Jeff Overton,28,187,26,161
85,86,86,J.J. Henry,28,188,46,142
86,T87,T87,Stephen Ames,21,189,88,101
87,T87,T87,Steve Flesch,33,189,124,65
88,T87,T87,J.B. Holmes,26,189,2,187
89,T87,T87,Bob May,21,189,71,118
90,T87,T87,Scott Verplank,25,189,186,3
91,T92,T92,Joe Ogilvie,29,192,107,85
92,T92,T92,Bubba Watson,27,192,1,191
93,T94,T94,Olin Browne,30,193,184,9
94,T94,T94,Ron Whittaker,28,193,161,32
95,T96,T96,John Daly,21,195,5,190
96,T96,T96,Freddie Jacobson,18,195,84,111
97,T98,T98,Fred Funk,29,196,194,2
98,T98,T98,Tag Ridings,33,196,8,188
99,100,100,Luke Donald,18,197,145,52
100,T101,T101,Jerry Kelly,31,198,179,19
101,T101,T101,Roger Tambellini,25,198,24,174
102,T103,T103,John Cook,22,199,182,17
103,T103,T103,Justin Leonard,26,199,154,45
104,T105,T105,Arjun Atwal,33,200,102,98
105,T105,T105,Sergio Garcia,17,200,71,129
106,T105,T105,Thomas Levet,18,200,113,87
107,T108,T108,Fred Couples,17,201,15,186
108,T108,T108,Robert Gamez,30,201,174,27
109,T108,T108,Ryan Hietala,23,201,7,194
110,T108,T108,Mike Sposa,25,201,138,63
111,112,112,Paul Goydos,24,202,192,10
112,T113,T113,Marco Dawson,27,203,77,126
113,T113,T113,Mark Wilson,24,203,157,46
114,115,115,Alex Aragon,26,204,12,192
115,116,116,Jerry Smith,29,205,180,25
116,T117,T117,Tommy Armour III,25,206,152,54
117,T117,T117,Danny Ellis,23,206,66,140
118,T117,T117,David Howell,14,206,93,113
119,T117,T117,D.A. Points,28,206,92,114
120,121,121,Bob Estes,25,207,120,87
121,T122,T122,Daniel Chopra,33,208,29,179
122,T122,T122,Ian Leggatt,29,208,77,131
123,T124,T124,Jesper Parnevik,24,209,86,123
124,T124,T124,Joey Sindelar,29,209,143,66
125,T126,T126,Retief Goosen,18,210,34,176
126,T126,T126,Bill Haas,30,210,40,170
127,T126,T126,Greg Kraft,26,210,187,23
128,T126,T126,Jon Mills,27,210,32,178
129,130,130,Vaughn Taylor,26,212,115,97
130,131,131,Tom Pernice Jr.,33,213,144,69
131,132,132,Shaun Micheel,29,217,97,120
132,133,133,Vijay Singh,27,218,65,153
133,T134,T134,Shane Bertsch,34,219,176,43
134,T134,T134,Steve Lowery,31,219,110,109
135,T136,T136,Mark Brooks,36,220,192,28
136,T136,T136,Mark Calcavecchia,27,220,152,68
137,T136,T136,Brian Gay,31,220,189,31
138,T136,T136,Tim Herron,27,220,59,161
139,T140,T140,Ben Crane,26,221,127,94
140,T140,T140,Jason Schultz,28,221,69,152
141,142,142,Stewart Cink,26,223,75,148
142,143,143,Ernie Els,18,225,54,171
143,144,144,Tim Clark,22,227,183,44
144,T145,T145,Doug Barron,28,228,188,40
145,T145,T145,David Duval,24,228,35,193
146,147,147,Craig Barlow,22,229,63,166
147,148,148,Chad Campbell,25,230,83,147
148,149,149,Woody Austin,31,231,102,129
149,T150,T150,Paul Azinger,30,233,127,106
150,T150,T150,Ben Curtis,26,233,177,56
151,T150,T150,Charles Howell III,30,233,51,182
152,T150,T150,John Huston,27,233,75,158
153,154,154,Jimmy Walker,21,234,38,196
154,T155,T155,Aaron Baddeley,25,235,98,137
155,T155,T155,Corey Pavin,23,235,196,39
156,157,157,Billy Andrade,24,236,132,104
157,158,158,James Driscoll,29,238,43,195
158,159,159,Bernhard Langer,24,239,127,112
159,T160,T160,Stuart Appleby,23,240,90,150
160,T160,T160,Rod Pampling,24,240,99,141
161,162,162,Arron Oberholser,23,244,136,108
162,T163,T163,Shigeki Maruyama,30,245,122,123
163,T163,T163,Dean Wilson,34,245,149,96
164,165,165,Michael Allen,25,246,79,167
165,T166,T166,Stephen Leaney,27,247,185,62
166,T166,T166,Carl Pettersson,28,247,115,132
167,T166,T166,Jeff Sluman,29,247,172,75
168,T169,T169,Brett Quigley,33,248,91,157
169,T169,T169,Mike Weir,24,248,165,83
170,171,171,"Wes Short, Jr.",33,249,80,169
171,172,172,Tom Lehman,20,250,115,135
172,173,173,Peter Lonard,22,251,170,81
173,T174,T174,Chris DiMarco,26,253,175,78
174,T174,T174,Carlos Franco,29,253,68,185
175,T174,T174,J.L. Lewis,17,253,173,80
176,T177,T177,Nathan Green,30,257,157,100
177,T177,T177,José María Olazábal,18,257,108,149
178,179,179,Steve Jones,27,258,181,77
179,180,180,Tim Petrovic,30,261,168,93
180,T181,T181,Robert Damron,31,264,162,102
181,T181,T181,Todd Fischer,35,264,190,74
182,183,183,Len Mattiace,22,265,85,180
183,184,184,Bob Tway,25,266,139,127
184,185,185,Rory Sabbatini,24,268,87,181
185,186,186,"John Engler, Jr.",27,270,106,164
186,187,187,Dudley Hart,29,285,122,163
187,188,188,Michael Connell,22,292,159,133
188,189,189,Ryuji Imada,31,296,137,159
189,190,190,Vance Veazey,20,299,127,172
190,191,191,Greg Chalmers,28,309,120,189
191,192,192,Hidemichi Tanaka,31,318,162,156
192,193,193,Todd Hamilton,27,331,147,184
193,194,194,Lee Janzen,28,332,150,182
194,195,195,Mark O'Meara,18,366,191,175
195,196,196,Brad Faxon,26,368,195,173
