,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Corey Pavin,74,17.25,137,794,+0.146
1,2,2,Brad Faxon,78,12.72,130,1022,+0.262
2,3,3,Jerry Smith,94,10.15,119,1172,+0.277
3,4,4,Joey Sindelar,90,9.36,99,1058,+0.051
4,5,5,Tim Petrovic,95,8.71,101,1160,+0.059
5,6,6,Olin Browne,108,8.54,103,1206,+0.078
6,7,7,Fred Funk,106,8.52,101,1185,+0.040
7,8,8,Lee Janzen,79,8.26,78,944,+0.244
8,9,9,John Cook,67,8.12,62,764,+0.242
9,10,10,Dudley Hart,83,8.09,80,989,+0.138
10,11,11,Stephen Leaney,84,8.04,86,1070,-0.012
11,12,12,Bob Estes,85,7.97,83,1042,+0.145
12,13,13,Larry Mize,53,7.89,45,570,+0.200
13,T14,T14,Steve Elkington,52,7.81,50,640,E
14,T14,T14,Justin Leonard,83,7.81,71,909,+0.085
15,16,16,Brian Gay,107,7.7,107,1390,+0.056
16,17,17,Shane Bertsch,104,7.59,95,1251,+0.211
17,18,18,Bart Bryant,87,7.55,75,993,+0.040
18,19,19,Shaun Micheel,96,7.38,80,1084,+0.100
19,20,20,Robert Gamez,94,7.16,82,1146,+0.159
20,21,21,David Duval,71,7.14,53,742,+0.019
21,22,22,Richard Johnson,94,7.11,84,1182,+0.155
22,23,23,Jerry Kelly,100,7.09,83,1170,-0.024
23,24,24,Todd Hamilton,72,7.03,55,782,+0.218
24,25,25,Mark O'Meara,52,7.0,35,500,+0.257
25,26,26,Ted Purdy,103,6.96,78,1120,+0.321
26,27,27,Steve Jones,83,6.95,67,964,+0.164
27,28,28,Mark Wilson,79,6.88,69,1003,+0.130
28,29,29,Michael Connell,51,6.83,40,586,+0.400
29,30,30,Dean Wilson,115,6.8,88,1294,+0.068
30,31,31,Bubba Watson,83,6.79,68,1002,+0.074
31,32,32,Jason Bohn,104,6.76,84,1242,+0.214
32,33,33,Nathan Green,108,6.72,88,1310,+0.227
33,34,34,Ben Crane,85,6.68,57,853,E
34,35,35,Jim Furyk,89,6.49,62,956,-0.016
35,36,36,Tom Lehman,70,6.42,42,654,E
36,37,37,Peter Lonard,77,6.39,59,923,+0.119
37,38,38,Chris Riley,86,6.35,61,960,+0.213
38,39,39,Mark Brooks,90,6.3,65,1032,+0.108
39,40,40,Paul Stankowski,70,6.26,55,878,+0.291
40,41,41,Jason Gore,86,6.24,63,1010,+0.190
41,42,42,Mark Calcavecchia,94,6.17,68,1102,+0.191
42,T43,T43,Briny Baird,81,6.15,60,976,+0.183
43,T43,T43,Ian Leggatt,80,6.15,60,976,+0.217
44,45,45,Sean O'Hair,100,6.1,65,1066,+0.308
45,46,46,Brian Bateman,69,6.09,50,821,+0.160
46,47,47,Carl Pettersson,95,6.08,64,1052,+0.281
47,48,48,Ron Whittaker,81,6.06,60,990,+0.333
48,49,49,Michael Allen,84,6.05,61,1008,+0.197
49,T50,T50,Chris DiMarco,83,5.97,51,854,+0.137
50,T50,T50,Steve Lowery,99,5.97,69,1156,+0.159
51,T52,T52,Len Mattiace,59,5.95,43,723,+0.070
52,T52,T52,Pat Perez,50,5.95,35,588,+0.286
53,54,54,Paul Azinger,87,5.92,66,1114,+0.136
54,55,55,"John Engler, Jr.",69,5.91,52,880,+0.308
55,56,56,K.J. Choi,93,5.9,65,1102,+0.031
56,57,57,Ben Curtis,86,5.89,55,934,+0.145
57,58,58,Ryuji Imada,105,5.87,71,1210,+0.183
58,59,59,Bernhard Langer,77,5.85,48,821,+0.063
59,60,60,David Branshaw,98,5.79,70,1210,+0.114
60,T61,T61,Arjun Atwal,97,5.78,66,1142,+0.242
61,T61,T61,Chad Campbell,91,5.78,54,934,+0.093
62,63,63,Carlos Franco,86,5.77,62,1074,+0.113
