,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Fred Funk,106,16.25,206,1268,1.99
1,2,2,Joe Durant,101,16.3,229,1405,1.75
2,3,3,Larry Mize,53,16.69,109,653,2.48
3,4,4,Omar Uresti,61,17.9,147,821,1.43
4,5,5,Heath Slocum,96,18.02,224,1243,1.38
5,6,6,Paul Goydos,72,18.1,181,1000,1.49
6,7,7,Kirk Triplett,58,18.3,138,754,2.03
7,8,8,Skip Kendall,72,18.37,174,947,1.55
8,9,9,Scott Verplank,88,18.5,190,1027,1.84
9,10,10,Daisuke Maruyama,83,18.53,204,1101,2.16
10,11,11,Greg Kraft,79,19.53,199,1019,1.91
11,12,12,John Cook,67,19.57,171,874,1.87
12,13,13,Jim Furyk,89,19.58,198,1011,1.01
13,14,14,Olin Browne,108,19.68,259,1316,2.78
14,15,15,Jeff Maggert,81,19.69,206,1046,2.28
15,16,16,Brian Davis,92,19.9,250,1256,1.28
16,17,17,Jerry Kelly,100,19.92,255,1280,1.69
17,18,18,Chris Riley,86,20.18,219,1085,1.87
18,19,19,Bart Bryant,87,20.27,210,1036,1.19
19,20,20,Billy Mayfair,94,20.29,238,1173,0.63
20,21,21,Corey Pavin,74,20.45,182,890,1.54
21,22,22,David McKenzie,82,20.47,228,1114,1.62
22,23,23,Robert Gamez,94,20.56,264,1284,2.65
23,24,24,Briny Baird,81,20.6,221,1073,0.36
24,25,25,Steve Elkington,52,20.7,141,681,0.64
25,26,26,David Branshaw,98,20.91,285,1363,1.61
26,27,27,Patrick Sheehan,104,21.02,293,1394,1.3
27,28,28,Mark Brooks,90,21.03,249,1184,1.69
28,29,29,Justin Leonard,83,21.05,209,993,1.96
29,30,30,Kent Jones,103,21.29,287,1348,1.15
30,31,31,J.P. Hayes,55,21.38,164,767,1.83
31,32,32,Ian Poulter,53,21.43,126,588,1.35
32,33,33,Tommy Armour III,65,21.51,182,846,1.1
33,34,34,Nicholas Thompson,96,21.61,274,1268,1.61
34,35,35,Tjaart van der Walt,60,21.64,172,795,1.28
35,36,36,Doug Barron,74,21.71,221,1018,1.58
36,37,37,David Toms,76,21.9,191,872,0.73
37,38,38,Shane Bertsch,104,21.93,311,1418,1.61
38,39,39,Will MacKenzie,91,21.98,269,1224,1.52
39,40,40,Duffy Waldorf,96,22.0,275,1250,1.09
40,T41,T41,Frank Lickliter II,99,22.03,297,1348,0.74
41,T41,T41,Joey Sindelar,90,22.03,258,1171,1.71
42,43,43,Hunter Mahan,98,22.04,288,1307,1.67
43,44,44,Jerry Smith,94,22.07,283,1282,1.8
44,45,45,Scott Gutschewski,53,22.08,157,711,1.97
45,46,46,Ted Purdy,103,22.11,275,1244,0.95
46,47,47,Ron Whittaker,81,22.16,244,1101,2.38
47,48,48,Jeff Brehaut,100,22.23,297,1336,0.98
48,49,49,John Rollins,93,22.34,271,1213,1.33
49,50,50,Steve Stricker,64,22.37,168,751,0.71
50,51,51,Chris Smith,67,22.4,209,933,1.87
51,52,52,Jason Bohn,104,22.6,309,1367,1.39
52,53,53,Richard Johnson,94,22.69,290,1278,2.07
53,54,54,Alex Cejka,93,22.79,289,1268,1.25
54,T55,T55,Luke Donald,66,22.83,150,657,1.87
55,T55,T55,Greg Owen,79,22.83,226,990,0.22
56,57,57,Ben Crane,85,22.84,217,950,1.8
57,58,58,Tim Clark,80,22.9,207,904,1.93
58,59,59,D.J. Trahan,92,22.92,281,1226,2.17
