,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Joe Durant,101,90.32,1269,1405
1,2,2,Omar Uresti,61,89.16,732,821
2,3,3,Steve Elkington,52,88.72,629,709
3,4,4,Briny Baird,81,88.35,948,1073
4,5,5,Jim Furyk,89,88.26,1090,1235
5,6,6,Greg Owen,79,88.18,947,1074
6,7,7,Heath Slocum,96,87.99,1143,1299
7,8,8,Olin Browne,108,87.98,1281,1456
8,9,9,Bart Bryant,87,87.96,1059,1204
9,T10,T10,Fred Funk,106,87.7,1284,1464
10,T10,T10,Scott Verplank,88,87.7,1048,1195
11,12,12,Paul Goydos,72,87.0,870,1000
12,13,13,Jeff Gove,91,86.95,1053,1211
13,14,14,Billy Mayfair,94,86.6,1137,1313
14,15,15,Kirk Triplett,58,86.57,677,782
15,16,16,Skip Kendall,72,86.44,867,1003
16,17,17,Larry Mize,53,86.32,612,709
17,18,18,Daisuke Maruyama,83,86.29,950,1101
18,19,19,Frank Lickliter II,99,86.2,1162,1348
19,20,20,David Branshaw,98,86.13,1174,1363
20,T21,T21,Jonathan Byrd,66,86.01,787,915
21,T21,T21,Kenny Perry,73,86.01,867,1008
22,T23,T23,Brian Davis,92,85.99,1080,1256
23,T23,T23,Ian Poulter,53,85.99,626,728
24,25,25,John Senden,96,85.98,1116,1298
25,26,26,Robert Allenby,79,85.97,925,1076
26,27,27,Alex Cejka,93,85.88,1089,1268
27,28,28,Jerry Kelly,100,85.85,1195,1392
28,29,29,Hunter Mahan,98,85.62,1167,1363
29,30,30,John Cook,67,85.59,796,930
30,31,31,Duffy Waldorf,96,85.37,1091,1278
31,32,32,Tiger Woods,55,85.3,621,728
32,33,33,Jonathan Kaye,95,85.29,1096,1285
33,34,34,Charles Warren,93,85.16,1067,1253
34,35,35,Jerry Smith,94,85.02,1090,1282
35,36,36,Ron Whittaker,81,85.01,936,1101
36,37,37,Jeff Brehaut,100,84.96,1135,1336
37,T38,T38,Robert Gamez,94,84.91,1114,1312
38,T38,T38,Tjaart van der Walt,60,84.91,675,795
39,40,40,Eric Axley,91,84.75,1050,1239
40,41,41,David McKenzie,82,84.74,944,1114
41,42,42,Chris Riley,86,84.66,966,1141
42,43,43,Jason Bohn,104,84.63,1228,1451
43,44,44,Greg Kraft,79,84.62,886,1047
44,T45,T45,Mathias Grönberg,92,84.47,1050,1243
45,T45,T45,Steve Stricker,64,84.47,729,863
46,47,47,Chris Smith,67,84.46,788,933
47,48,48,Scott Gutschewski,53,84.39,600,711
48,49,49,K.J. Choi,93,84.27,1082,1284
49,T50,T50,Steve Flesch,119,84.23,1351,1604
50,T50,T50,David Toms,76,84.23,817,970
51,52,52,Mark Wilson,79,84.14,891,1059
52,53,53,Kevin Sutherland,100,84.13,1124,1336
53,54,54,Brent Geiberger,99,84.11,1138,1353
54,55,55,Lucas Glover,105,84.08,1188,1413
55,56,56,Mark Brooks,90,84.03,1042,1240
56,T57,T57,John Rollins,93,84.0,1066,1269
57,T57,T57,Paul Stankowski,70,84.0,819,975
58,59,59,Shane Bertsch,104,83.99,1191,1418
59,60,60,Jeff Maggert,81,83.98,949,1130
60,61,61,Nicholas Thompson,96,83.95,1088,1296
61,T62,T62,Kent Jones,103,83.9,1178,1404
62,T62,T62,Joey Sindelar,90,83.9,1053,1255
63,T64,T64,Ben Curtis,86,83.85,1007,1201
64,T64,T64,Justin Rose,98,83.85,1111,1325
65,T64,T64,Brett Wetterich,82,83.85,955,1139
66,67,67,Richard Johnson,94,83.84,1095,1306
67,68,68,Billy Andrade,78,83.75,861,1028
68,69,69,Mathew Goggin,72,83.74,819,978
69,T70,T70,Padraig Harrington,54,83.71,586,700
70,T70,T70,Arron Oberholser,82,83.71,925,1105
71,72,72,Bob Estes,85,83.57,987,1181
72,73,73,Steve Lowery,99,83.56,1128,1350
73,T74,T74,Tim Clark,80,83.55,919,1100
74,T74,T74,Zach Johnson,98,83.55,1026,1228
75,T74,T74,Stephen Leaney,84,83.55,975,1167
76,77,77,Bubba Dickerson,98,83.5,1118,1339
77,78,78,Tommy Armour III,65,83.48,753,902
78,79,79,Mike Sposa,68,83.46,757,907
79,80,80,Justin Leonard,83,83.44,922,1105
80,T81,T81,Rich Beem,85,83.43,967,1159
81,T81,T81,Patrick Sheehan,104,83.43,1163,1394
82,83,83,Pat Perez,50,83.38,582,698
83,84,84,Marco Dawson,87,83.26,1010,1213
84,85,85,Joe Ogilvie,95,83.25,1059,1272
85,86,86,Nathan Green,108,83.24,1207,1450
86,87,87,Nick Watney,97,83.23,1102,1324
87,88,88,Mark Calcavecchia,94,83.19,1079,1297
88,89,89,J.P. Hayes,55,83.18,638,767
89,90,90,Jeff Sluman,101,83.12,1167,1404
90,91,91,Brian Gay,107,83.08,1237,1489
