,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Bubba Watson,83,56.95,78343.7,137575
1,2,2,J.B. Holmes,81,56.52,66457.5,117576
2,3,3,Fred Couples,52,55.46,32090.2,57861
3,4,4,Robert Garrigus,85,55.35,77779.9,140528
4,5,5,John Daly,51,55.11,46293.3,84006
5,6,6,Charley Hoffman,100,54.67,94775.0,173372
6,7,7,Tiger Woods,55,54.61,38374.4,70268
7,8,8,Harrison Frazar,95,54.48,76261.4,139987
8,9,9,Brett Wetterich,82,54.44,74257.7,136413
9,10,10,Camilo Villegas,95,54.39,81931.4,150650
10,11,11,Davis Love III,85,54.36,58784.9,108144
11,12,12,Jason Gore,86,54.31,75065.6,138210
12,13,13,Tag Ridings,103,54.3,91460.1,168429
13,14,14,Ryan Hietala,61,54.12,50404.5,93133
14,15,15,Phil Mickelson,74,54.09,50338.8,93065
15,16,16,Nick Watney,97,54.0,90318.1,167256
16,17,17,Daniel Chopra,110,53.96,94283.3,174714
17,18,18,Mathew Goggin,72,53.95,57665.1,106889
18,19,19,Chris Couch,75,53.88,67388.6,125083
19,20,20,Adam Scott,70,53.83,45564.0,84642
20,21,21,Scott Gutschewski,53,53.82,46690.6,86746
21,22,22,Lucas Glover,105,53.81,87491.7,162595
22,23,23,Pat Perez,50,53.74,44524.7,82848
23,24,24,Retief Goosen,68,53.73,47281.6,87991
24,25,25,Kris Cox,83,53.68,71105.8,132472
25,T26,T26,Jonathan Byrd,66,53.64,56991.8,106254
26,T26,T26,David Duval,71,53.64,50419.3,94002
27,28,28,Troy Matteson,101,53.61,88252.0,164610
28,29,29,Geoff Ogilvy,76,53.59,51548.5,96191
29,30,30,Charles Warren,93,53.5,80457.3,150384
30,31,31,Nicholas Thompson,96,53.49,77340.4,144593
31,32,32,Bubba Dickerson,98,53.48,85191.9,159287
32,33,33,Jeff Overton,95,53.45,83742.9,156684
33,T34,T34,Alex Aragon,63,53.42,53814.9,100747
34,T34,T34,Jon Mills,68,53.42,52676.7,98603
35,36,36,Matt Hansen,68,53.4,55979.0,104838
36,37,37,Henrik Bjornstad,97,53.39,87455.5,163803
37,38,38,Carlos Franco,86,53.37,78067.5,146279
38,T39,T39,Ernie Els,69,53.28,45069.4,84586
39,T39,T39,Jimmy Walker,60,53.28,53139.1,99730
40,T41,T41,Mathias Grönberg,92,53.26,79940.7,150092
41,T41,T41,Bill Haas,99,53.26,88190.3,165583
42,43,43,James Driscoll,80,53.24,74143.0,139255
43,44,44,Bo Van Pelt,102,53.22,90846.2,170684
44,45,45,Chris Smith,67,53.2,58759.9,110449
45,46,46,Charles Howell III,96,53.18,79278.6,149067
46,47,47,Ryan Palmer,101,53.17,78296.4,147265
47,48,48,Roger Tambellini,64,53.15,53692.6,101024
48,49,49,Paul Stankowski,70,53.09,60376.5,113726
49,50,50,Brandt Jobe,91,53.07,69497.8,130957
50,51,51,Robert Allenby,79,53.03,58709.3,110701
51,52,52,Greg Owen,79,53.0,67034.2,126484
52,53,53,Rich Beem,85,52.99,65964.8,124483
53,54,54,J.J. Henry,96,52.97,74527.6,140711
54,55,55,John Senden,96,52.94,77775.0,146907
55,56,56,Craig Barlow,77,52.88,60787.7,114955
56,57,57,John Rollins,93,52.83,78623.3,148835
57,58,58,Sean O'Hair,100,52.82,75109.5,142212
58,59,59,Trevor Immelman,86,52.81,68228.3,129187
59,60,60,Sergio Garcia,59,52.76,40555.0,76866
60,61,61,Tim Herron,82,52.75,57382.9,108777
61,62,62,Eric Axley,91,52.71,77915.4,147817
62,63,63,Vijay Singh,103,52.69,81478.1,154641
63,64,64,Brian Bateman,69,52.65,55323.1,105077
64,65,65,Kevin Sutherland,100,52.64,86826.8,164942
65,66,66,Will MacKenzie,91,52.61,74163.3,140970
66,67,67,Hunter Mahan,98,52.58,84043.0,159833
67,68,68,Padraig Harrington,54,52.52,38595.1,73487
68,69,69,Chad Campbell,91,52.51,61121.4,116389
69,70,70,Justin Rose,98,52.48,81658.9,155592
70,71,71,Michael Allen,84,52.46,71894.4,137050
71,T72,T72,Jesper Parnevik,84,52.41,73635.2,140492
72,T72,T72,Kenny Perry,73,52.41,51438.2,98154
73,74,74,Jonathan Kaye,95,52.36,83362.8,159222
74,T75,T75,Stuart Appleby,83,52.35,62721.9,119815
75,T75,T75,D.J. Trahan,92,52.35,72855.1,139178
76,77,77,Jason Schultz,77,52.29,63719.6,121866
77,78,78,Bob May,65,52.18,52943.9,101467
78,79,79,"Wes Short, Jr.",96,52.16,81478.1,156199
79,80,80,John Huston,74,52.13,62692.2,120269
80,81,81,Ian Leggatt,80,52.12,68761.2,131919
81,T82,T82,Danny Ellis,68,52.1,59097.9,113442
82,T82,T82,Ted Purdy,103,52.1,81972.6,157343
83,T82,T82,Brett Quigley,109,52.1,87992.3,168898
84,85,85,Rory Sabbatini,84,52.09,56803.3,109048
85,86,86,Jason Bohn,104,52.07,86025.4,165199
86,87,87,José María Olazábal,62,52.06,38385.5,73740
87,88,88,Ryan Moore,68,52.02,53942.6,103704
88,89,89,Aaron Baddeley,78,51.99,63381.3,121906
89,90,90,David Howell,52,51.92,29759.7,57321
90,91,91,Tom Lehman,70,51.91,42607.6,82082
91,92,92,Bernhard Langer,77,51.87,58229.4,112255
92,T93,T93,Arjun Atwal,97,51.84,77820.1,150125
93,T93,T93,Steve Lowery,99,51.84,81180.3,156602
94,T93,T93,Vance Veazey,59,51.84,53518.4,103232
95,96,96,Ian Poulter,53,51.83,42262.8,81538
96,97,97,Woody Austin,107,51.82,88521.5,170832
