,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Fred Funk,106,78.55,996,1268,-0.13
1,2,2,Joe Durant,101,78.43,1102,1405,-0.13
2,3,3,Scott Verplank,88,75.46,775,1027,-0.16
3,4,4,Jim Furyk,89,75.07,759,1011,-0.23
4,5,5,Heath Slocum,96,74.82,930,1243,-0.13
5,6,6,Larry Mize,53,74.58,487,653,-0.09
6,7,7,Omar Uresti,61,74.42,611,821,-0.11
7,8,8,Steve Elkington,52,74.01,504,681,-0.12
8,9,9,Olin Browne,108,73.86,972,1316,-0.13
9,10,10,Bart Bryant,87,73.55,762,1036,-0.13
10,11,11,Paul Goydos,72,73.4,734,1000,-0.11
11,12,12,Skip Kendall,72,73.39,695,947,-0.14
12,13,13,Kirk Triplett,58,73.21,552,754,-0.08
13,14,14,Ian Poulter,53,72.62,427,588,-0.18
14,15,15,Daisuke Maruyama,83,71.93,792,1101,-0.16
15,16,16,Jeff Maggert,81,71.89,752,1046,-0.11
16,17,17,Briny Baird,81,71.85,771,1073,-0.14
17,18,18,Chris Riley,86,70.97,770,1085,-0.14
18,19,19,John Cook,67,70.94,620,874,-0.15
19,20,20,Billy Mayfair,94,70.59,828,1173,-0.12
20,21,21,Greg Kraft,79,70.56,719,1019,-0.1
21,T22,T22,Brian Davis,92,70.22,882,1256,-0.12
22,T22,T22,Zach Johnson,98,70.22,764,1088,-0.19
23,24,24,Jerry Kelly,100,70.16,898,1280,-0.18
24,25,25,Mark Brooks,90,70.1,830,1184,-0.09
25,26,26,Tjaart van der Walt,60,70.06,557,795,-0.12
26,27,27,Robert Allenby,79,69.95,596,852,-0.18
27,28,28,Robert Gamez,94,69.94,898,1284,-0.12
28,29,29,David Toms,76,69.84,609,872,-0.16
29,30,30,Jerry Smith,94,69.73,894,1282,-0.15
30,31,31,Kenny Perry,73,69.59,604,868,-0.13
31,32,32,Brian Gay,107,68.95,1026,1488,-0.18
32,33,33,Corey Pavin,74,68.76,612,890,-0.1
33,34,34,Hunter Mahan,98,68.71,898,1307,-0.16
34,35,35,David Branshaw,98,68.67,936,1363,-0.19
35,36,36,Duffy Waldorf,96,68.64,858,1250,-0.12
36,37,37,Ron Whittaker,81,68.57,755,1101,-0.12
37,38,38,Kent Jones,103,68.4,922,1348,-0.18
38,39,39,Richard Johnson,94,68.31,873,1278,-0.16
39,40,40,Justin Leonard,83,68.18,677,993,-0.13
40,41,41,Steve Stricker,64,67.91,510,751,-0.23
41,42,42,Shane Bertsch,104,67.7,960,1418,-0.15
42,43,43,Doug Barron,74,67.68,689,1018,-0.12
43,44,44,Ryan Moore,68,67.61,576,852,-0.16
44,T45,T45,David McKenzie,82,67.59,753,1114,-0.18
45,T45,T45,Nicholas Thompson,96,67.59,857,1268,-0.1
46,47,47,Luke Donald,66,67.58,444,657,-0.24
47,48,48,J.P. Hayes,55,67.41,517,767,-0.18
48,49,49,Tommy Armour III,65,67.38,570,846,-0.07
49,50,50,Brent Geiberger,99,67.33,911,1353,-0.16
50,T51,T51,Jason Bohn,104,67.23,919,1367,-0.16
51,T51,T51,Mark Wilson,79,67.23,712,1059,-0.18
52,53,53,Frank Lickliter II,99,66.91,902,1348,-0.2
53,54,54,Ben Curtis,86,66.77,671,1005,-0.14
54,55,55,Tim Clark,80,66.7,603,904,-0.16
55,56,56,Greg Owen,79,66.57,659,990,-0.18
56,57,57,Steve Jones,83,66.45,723,1088,-0.12
57,58,58,Joey Sindelar,90,66.44,778,1171,-0.14
58,59,59,Alex Cejka,93,66.4,842,1268,-0.17
