,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Tiger Woods,55,-.188
1,T2,T2,Fred Couples,52,-.025
2,T2,T2,Greg Owen,79,-.025
3,T4,T4,Jeff Overton,95,-.006
4,T4,T4,Camilo Villegas,95,-.006
5,T6,T6,Stuart Appleby,83,E
6,T6,T6,Charles Howell III,96,E
7,8,8,Dean Wilson,115,+.005
8,9,9,Bubba Watson,83,+.006
9,10,10,Vijay Singh,103,+.017
10,11,11,Ernie Els,69,+.018
11,12,12,Roger Tambellini,64,+.021
12,T13,T13,Paul Azinger,87,+.023
13,T13,T13,Steve Stricker,64,+.023
14,15,15,Jesper Parnevik,84,+.026
15,16,16,Briny Baird,81,+.029
16,T17,T17,Bob May,65,+.030
17,T17,T17,Heath Slocum,96,+.030
18,19,19,Steve Elkington,52,+.031
19,20,20,Paul Stankowski,70,+.033
20,T21,T21,Alex Aragon,63,+.034
21,T21,T21,Brett Quigley,109,+.034
22,23,23,Brandt Jobe,91,+.035
23,24,24,Tom Pernice Jr.,108,+.036
24,25,25,Nick Watney,97,+.037
25,26,26,Brett Wetterich,82,+.038
26,27,27,Billy Mayfair,94,+.040
27,28,28,J.B. Holmes,81,+.044
28,29,29,Daniel Chopra,110,+.045
29,30,30,Bill Haas,99,+.046
30,31,31,Troy Matteson,101,+.047
31,32,32,Trevor Immelman,86,+.048
32,33,33,David Toms,76,+.051
33,T34,T34,Nathan Green,108,+.052
34,T34,T34,Omar Uresti,61,+.052
35,36,36,Frank Lickliter II,99,+.054
36,37,37,Padraig Harrington,54,+.060
37,38,38,Chris Riley,86,+.063
38,39,39,Vance Veazey,59,+.064
39,40,40,Justin Rose,98,+.065
40,41,41,Charles Warren,93,+.066
41,42,42,Ben Curtis,86,+.072
42,43,43,Shigeki Maruyama,94,+.073
43,44,44,Paul Goydos,72,+.074
44,45,45,Pat Perez,50,+.075
45,46,46,Robert Allenby,79,+.076
46,T47,T47,David Branshaw,98,+.078
47,T47,T47,Bubba Dickerson,98,+.078
48,T47,T47,Bob Estes,85,+.078
49,50,50,Harrison Frazar,95,+.079
50,T51,T51,Marco Dawson,87,+.082
51,T51,T51,Matt Hansen,68,+.082
52,53,53,Woody Austin,107,+.083
53,T54,T54,Jonathan Byrd,66,+.084
54,T54,T54,Mark O'Meara,52,+.084
55,T54,T54,Carl Pettersson,95,+.084
56,T57,T57,Brian Davis,92,+.085
57,T57,T57,Mike Sposa,68,+.085
58,59,59,Ryuji Imada,105,+.086
59,60,60,Michael Allen,84,+.088
60,T61,T61,Eric Axley,91,+.091
61,T61,T61,Rod Pampling,89,+.091
62,63,63,Rich Beem,85,+.092
63,T64,T64,Danny Ellis,68,+.093
64,T64,T64,Mathias Grönberg,92,+.093
65,T64,T64,Geoff Ogilvy,76,+.093
66,67,67,Kris Cox,83,+.094
67,68,68,Skip Kendall,72,+.095
68,69,69,James Driscoll,80,+.097
69,70,70,Charley Hoffman,100,+.098
70,T71,T71,Jerry Kelly,100,+.099
71,T71,T71,Bernhard Langer,77,+.099
72,T71,T71,John Senden,96,+.099
73,74,74,Tommy Armour III,65,+.100
74,T75,T75,Jeff Gove,91,+.101
75,T75,T75,Phil Mickelson,74,+.101
76,77,77,Tim Petrovic,95,+.105
77,78,78,David McKenzie,82,+.106
78,79,79,Hunter Mahan,98,+.109
79,T80,T80,Joe Ogilvie,95,+.110
80,T80,T80,Ted Purdy,103,+.110
81,82,82,Bo Van Pelt,102,+.111
82,83,83,Jim Furyk,89,+.112
83,84,84,Aaron Baddeley,78,+.113
84,85,85,Jason Bohn,104,+.115
85,T86,T86,Davis Love III,85,+.118
86,T86,T86,Arron Oberholser,82,+.118
87,T88,T88,Alex Cejka,93,+.119
88,T88,T88,Todd Fischer,101,+.119
89,90,90,Henrik Bjornstad,97,+.120
90,91,91,Tom Lehman,70,+.122
91,T92,T92,Brad Faxon,78,+.124
92,T92,T92,Rory Sabbatini,84,+.124
93,T94,T94,K.J. Choi,93,+.125
94,T94,T94,Jimmy Walker,60,+.125
95,96,96,Ryan Palmer,101,+.127
96,97,97,Sean O'Hair,100,+.128
97,T98,T98,Billy Andrade,78,+.129
98,T98,T98,Bob Tway,81,+.129
99,100,100,Vaughn Taylor,88,+.130
100,T101,T101,Jeff Brehaut,100,+.133
101,T101,T101,Bart Bryant,87,+.133
102,T103,T103,Mark Calcavecchia,94,+.134
103,T103,T103,Jonathan Kaye,95,+.134
104,T105,T105,Shane Bertsch,104,+.136
105,T105,T105,Stewart Cink,93,+.136
106,T105,T105,Shaun Micheel,96,+.136
107,108,108,J.P. Hayes,55,+.137
108,109,109,Mike Weir,88,+.138
109,110,110,Kevin Sutherland,100,+.139
110,111,111,Luke Donald,66,+.141
111,T112,T112,Retief Goosen,68,+.143
112,T112,T112,Greg Kraft,79,+.143
113,114,114,Tag Ridings,103,+.144
114,115,115,Robert Damron,91,+.145
115,T116,T116,Freddie Jacobson,56,+.146
116,T116,T116,Adam Scott,70,+.146
117,118,118,Mathew Goggin,72,+.147
