,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,T1,T1,Joe Durant,101,12,6,6
1,T1,T1,Chris Smith,67,12,2,10
2,3,3,John Senden,96,15,12,3
3,4,4,Jonathan Byrd,66,19,11,8
4,5,5,Kenny Perry,73,23,8,15
5,6,6,Greg Owen,79,25,7,18
6,T7,T7,David Branshaw,98,29,22,7
7,T7,T7,Steve Elkington,52,29,21,8
8,T7,T7,Tiger Woods,55,29,28,1
9,10,10,Adam Scott,70,32,20,12
10,11,11,Robert Allenby,79,34,5,29
11,12,12,Jonathan Kaye,95,36,17,19
12,T13,T13,Jeff Gove,91,37,35,2
13,T13,T13,Charles Warren,93,37,9,28
14,15,15,Briny Baird,81,39,34,5
15,16,16,Hunter Mahan,98,43,4,39
16,17,17,Kevin Sutherland,100,46,26,20
17,18,18,Brett Wetterich,82,49,16,33
18,19,19,Lucas Glover,105,50,10,40
19,20,20,Will MacKenzie,91,51,26,25
20,21,21,Scott Gutschewski,53,53,1,52
21,22,22,Jim Furyk,89,57,53,4
22,T23,T23,Bart Bryant,87,69,53,16
23,T23,T23,Mathew Goggin,72,69,25,44
24,25,25,Alex Cejka,93,71,36,35
25,26,26,Trevor Immelman,86,74,60,14
26,27,27,Justin Rose,98,86,57,29
27,28,28,Phil Mickelson,74,87,66,21
28,29,29,Ian Poulter,53,89,14,75
29,30,30,Heath Slocum,96,90,56,34
30,31,31,John Rollins,93,91,18,73
31,T32,T32,Brandt Jobe,91,93,51,42
32,T32,T32,Ted Purdy,103,93,46,47
33,34,34,Davis Love III,85,96,42,54
34,35,35,Matt Hansen,68,97,49,48
35,36,36,K.J. Choi,93,99,76,23
36,T37,T37,Rich Beem,85,100,30,70
37,T37,T37,Frank Lickliter II,99,100,74,26
38,T37,T37,Bob May,65,100,87,13
39,40,40,Steve Stricker,64,101,77,24
40,41,41,Nicholas Thompson,96,102,3,99
41,42,42,Duffy Waldorf,96,104,36,68
42,T43,T43,Mathias Grönberg,92,106,49,57
43,T43,T43,Zach Johnson,98,106,57,49
