,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Fred Funk,106,1.5,19,1268,+0.16
1,2,2,Zach Johnson,98,1.65,18,1088,+0.17
2,3,3,David Toms,76,1.72,15,872,+0.80
3,4,4,Ian Poulter,53,1.87,11,588,+0.27
4,5,5,Jim Furyk,89,2.08,21,1011,+0.38
5,6,6,Joe Durant,101,2.35,33,1405,+0.15
6,7,7,Robert Allenby,79,2.46,21,852,+0.62
7,8,8,Kenny Perry,73,2.53,22,868,+0.36
8,T9,T9,Thomas Levet,53,2.62,18,686,+0.11
9,T9,T9,Adam Scott,70,2.62,19,726,+0.21
10,11,11,Bart Bryant,87,2.8,29,1036,+0.52
11,12,12,Padraig Harrington,54,2.82,15,532,+0.60
12,13,13,Scott Verplank,88,2.92,30,1027,+0.13
13,14,14,Heath Slocum,96,3.14,39,1243,+0.72
14,15,15,Retief Goosen,68,3.27,21,642,+0.90
15,16,16,Peter Lonard,77,3.36,32,952,+0.56
16,17,17,Steve Elkington,52,3.38,23,681,+0.39
17,18,18,Olin Browne,108,3.5,46,1316,+0.33
18,19,19,Brian Gay,107,3.56,53,1488,+0.30
19,T20,T20,K.J. Choi,93,3.58,41,1144,+0.24
20,T20,T20,Kirk Triplett,58,3.58,27,754,+0.59
21,22,22,Tjaart van der Walt,60,3.77,30,795,+0.37
22,23,23,Mark Wilson,79,3.97,42,1059,+0.29
23,24,24,Ben Curtis,86,3.98,40,1005,+0.53
24,25,25,Charles Warren,93,4.01,48,1197,+0.21
25,T26,T26,Jeff Maggert,81,4.02,42,1046,+0.57
26,T26,T26,Omar Uresti,61,4.02,33,821,+0.27
27,28,28,Arron Oberholser,82,4.06,38,937,E
28,29,29,Freddie Jacobson,56,4.09,32,783,+0.66
29,30,30,Stuart Appleby,83,4.11,38,924,+0.13
30,31,31,Steve Stricker,64,4.13,31,751,E
31,T32,T32,Richard Johnson,94,4.23,54,1278,+0.22
32,T32,T32,Carl Pettersson,95,4.23,48,1135,+0.35
33,34,34,Chris Riley,86,4.24,46,1085,+0.28
34,35,35,Trevor Immelman,86,4.25,45,1060,+0.36
35,36,36,Jerry Smith,94,4.29,55,1282,+0.55
36,37,37,Paul Goydos,72,4.3,43,1000,+0.51
37,38,38,Stephen Ames,63,4.32,29,671,+0.03
38,39,39,Ernie Els,69,4.34,29,668,+0.31
39,40,40,Mark Brooks,90,4.39,52,1184,+0.44
40,41,41,Jeff Sluman,101,4.43,56,1264,+0.34
41,T42,T42,Bob Estes,85,4.44,50,1125,+0.50
42,T42,T42,Skip Kendall,72,4.44,42,947,+0.24
43,T42,T42,Hunter Mahan,98,4.44,58,1307,+0.52
44,T45,T45,Nathan Green,108,4.47,61,1366,+0.38
45,T45,T45,Vijay Singh,103,4.47,55,1231,+0.42
46,T47,T47,Tom Lehman,70,4.56,33,723,E
47,T47,T47,Duffy Waldorf,96,4.56,57,1250,+0.26
48,T49,T49,Robert Gamez,94,4.6,59,1284,+0.39
49,T49,T49,Steve Jones,83,4.6,50,1088,+0.40
50,T49,T49,Billy Mayfair,94,4.6,54,1173,+0.04
51,52,52,Briny Baird,81,4.66,50,1073,+0.28
52,53,53,Stewart Cink,93,4.67,48,1028,+0.31
53,T54,T54,Luke Donald,66,4.72,31,657,+0.10
54,T54,T54,Daisuke Maruyama,83,4.72,52,1101,+0.27
55,56,56,Larry Mize,53,4.75,31,653,+0.39
56,57,57,Mike Weir,88,4.79,46,960,+0.22
57,58,58,Aaron Baddeley,78,4.81,47,978,+0.49
58,59,59,Vaughn Taylor,88,4.82,54,1120,+0.52
59,60,60,Lucas Glover,105,4.87,62,1273,+0.21
60,61,61,Chris DiMarco,83,4.88,45,923,+0.42
61,T62,T62,Justin Leonard,83,4.93,49,993,+0.29
62,T62,T62,Bo Van Pelt,102,4.93,66,1339,+0.17
63,T62,T62,Dean Wilson,115,4.93,72,1460,+0.38
64,65,65,Shane Bertsch,104,4.94,70,1418,+0.40
65,T66,T66,Brent Geiberger,99,4.95,67,1353,+0.39
66,T66,T66,Jeff Gove,91,4.95,60,1211,+0.40
67,68,68,Shigeki Maruyama,94,4.97,61,1228,+0.38
68,69,69,Steve Lowery,99,4.98,63,1266,+0.21
69,70,70,Shaun Micheel,96,5.03,58,1153,+0.41
70,71,71,David Howell,52,5.07,22,434,+0.14
71,72,72,Jerry Kelly,100,5.08,65,1280,+0.35
72,73,73,Steve Flesch,119,5.1,79,1548,+0.41
73,74,74,J.L. Lewis,57,5.15,41,796,+0.12
74,75,75,Ron Whittaker,81,5.18,57,1101,+0.42
75,76,76,Sergio Garcia,59,5.19,30,578,+0.57
76,77,77,Charles Howell III,96,5.23,62,1186,+0.19
77,78,78,John Cook,67,5.26,46,874,+0.37
78,79,79,Jason Bohn,104,5.27,72,1367,+0.11
79,T80,T80,Mark Calcavecchia,94,5.29,62,1171,+0.26
80,T80,T80,Brandt Jobe,91,5.29,56,1059,+0.23
81,82,82,Tom Pernice Jr.,108,5.32,71,1334,+0.17
82,83,83,Brad Faxon,78,5.36,57,1063,+0.44
83,T84,T84,Jonathan Kaye,95,5.37,69,1285,+0.32
84,T84,T84,Davis Love III,85,5.37,48,894,-0.02
85,T86,T86,Greg Kraft,79,5.4,55,1019,+0.15
86,T86,T86,Mike Sposa,68,5.4,49,907,+0.24
87,88,88,Brian Davis,92,5.41,68,1256,+0.21
88,89,89,Paul Azinger,87,5.49,65,1185,+0.49
89,T90,T90,Ryan Moore,68,5.52,47,852,+0.40
90,T90,T90,Nicholas Thompson,96,5.52,70,1268,+0.36
91,T92,T92,David Branshaw,98,5.58,76,1363,+0.29
92,T92,T92,Ben Crane,85,5.58,53,950,+0.38
93,94,94,Todd Fischer,101,5.6,77,1376,+0.43
94,T95,T95,Tim Clark,80,5.64,51,904,+0.12
95,T95,T95,Kent Jones,103,5.64,76,1348,+0.34
96,T95,T95,Rod Pampling,89,5.64,55,975,+0.45
97,98,98,Henrik Bjornstad,97,5.65,75,1327,+0.33
98,99,99,Woody Austin,107,5.66,78,1377,+0.38
99,100,100,J.P. Hayes,55,5.74,44,767,+0.32
100,101,101,J.J. Henry,96,5.83,69,1184,+0.25
101,102,102,Jeff Brehaut,100,5.84,78,1336,+0.37
102,103,103,John Senden,96,5.85,71,1214,+0.28
103,104,104,Greg Owen,79,5.86,58,990,+0.22
104,105,105,Chris Smith,67,5.89,55,933,+0.24
105,106,106,Tim Herron,82,6.0,56,933,+0.54
106,T107,T107,Frank Lickliter II,99,6.01,81,1348,+0.48
107,T107,T107,David McKenzie,82,6.01,67,1114,+0.42
108,109,109,Vance Veazey,59,6.06,50,825,+0.50
109,T110,T110,Mathew Goggin,72,6.07,56,922,+0.39
110,T110,T110,Corey Pavin,74,6.07,54,890,+0.19
111,112,112,Kevin Sutherland,100,6.14,82,1336,+0.34
112,113,113,Tommy Armour III,65,6.15,52,846,+0.19
113,114,114,Jesper Parnevik,84,6.22,71,1142,+0.20
114,T115,T115,Ryuji Imada,105,6.23,85,1365,+0.22
115,T115,T115,Joey Sindelar,90,6.23,73,1171,+0.30
116,117,117,Rich Beem,85,6.26,62,991,+0.35
117,118,118,Chad Campbell,91,6.29,64,1017,+0.27
118,119,119,Robert Damron,91,6.31,80,1268,+0.39
119,120,120,Stephen Leaney,84,6.34,74,1167,+0.47
120,121,121,Doug Barron,74,6.39,65,1018,+0.55
121,122,122,Ted Purdy,103,6.43,80,1244,+0.54
