,First_Tee_Late_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_5_Scoring_Average_ROUNDS,First_Tee_Late_Par_5_Scoring_Average_AVG,First_Tee_Late_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Andres Romero,77,4.4,299,68
1,2,2,Robert Karlsson,61,4.43,248,56
2,3,3,Ángel Cabrera,50,4.44,240,54
3,4,4,Bubba Watson,85,4.46,504,113
4,5,5,Steven Bowditch,86,4.47,295,66
5,T6,T6,Bobby Gates,82,4.48,278,62
6,T6,T6,Bo Van Pelt,92,4.48,385,86
7,T6,T6,Y.E. Yang,63,4.48,278,62
8,9,9,Jason Day,76,4.49,440,98
9,T10,T10,Luke Donald,73,4.51,568,126
10,T10,T10,Padraig Harrington,60,4.51,302,67
11,T10,T10,Jim Herman,69,4.51,293,65
12,T10,T10,Kyle Stanley,98,4.51,352,78
13,T10,T10,Steve Stricker,70,4.51,568,126
14,15,15,Hunter Haas,96,4.52,425,94
15,T16,T16,Fabián Gómez,84,4.53,349,77
16,T16,T16,J.B. Holmes,57,4.53,240,53
17,T16,T16,Phil Mickelson,79,4.53,507,112
18,T19,T19,Tommy Gainey,104,4.54,459,101
19,T19,T19,Robert Garrigus,83,4.54,372,82
20,T19,T19,Adam Scott,60,4.54,449,99
21,T22,T22,Keegan Bradley,91,4.55,478,105
22,T22,T22,Jonathan Byrd,83,4.55,391,86
23,T22,T22,Dustin Johnson,72,4.55,441,97
24,T22,T22,Hunter Mahan,92,4.55,542,119
25,T22,T22,George McNeill,69,4.55,296,65
26,T22,T22,Kevin Na,84,4.55,346,76
27,T22,T22,Aron Price,58,4.55,241,53
28,T22,T22,Webb Simpson,98,4.55,701,154
29,T30,T30,Jim Furyk,87,4.56,511,112
30,T30,T30,Carl Pettersson,95,4.56,397,87
31,T30,T30,Josh Teater,104,4.56,424,93
32,T30,T30,Nick Watney,80,4.56,561,123
33,T34,T34,Matt Kuchar,94,4.57,631,138
34,T34,T34,David Mathis,83,4.57,274,60
35,T34,T34,Sean O'Hair,71,4.57,210,46
36,T34,T34,John Rollins,85,4.57,347,76
37,T38,T38,Lucas Glover,74,4.58,366,80
38,T38,T38,Charles Howell III,108,4.58,596,130
39,T38,T38,Martin Laird,77,4.58,435,95
40,T38,T38,Billy Mayfair,94,4.58,298,65
41,T38,T38,D.J. Trahan,91,4.58,298,65
42,T43,T43,Michael Bradley,74,4.59,170,37
43,T43,T43,Steve Flesch,88,4.59,367,80
44,T43,T43,Jarrod Lyle,83,4.59,294,64
45,T43,T43,Tim Petrovic,88,4.59,381,83
46,T47,T47,Chris Couch,73,4.6,419,91
47,T47,T47,Bio Kim,71,4.6,221,48
48,T47,T47,Marc Leishman,87,4.6,267,58
49,T47,T47,Graeme McDowell,50,4.6,267,58
50,T47,T47,Vijay Singh,79,4.6,414,90
51,T52,T52,Sung Kang,63,4.61,272,59
52,T52,T52,Jeff Overton,92,4.61,318,69
53,T52,T52,Alexandre Rocha,65,4.61,235,51
54,T52,T52,John Senden,94,4.61,526,114
55,T56,T56,Bill Lunde,92,4.62,374,81
56,T56,T56,Scott McCarron,65,4.62,208,45
57,T56,T56,Scott Piercy,78,4.62,319,69
58,T56,T56,Kevin Stadler,88,4.62,305,66
59,T56,T56,Garrett Willis,71,4.62,291,63
60,T61,T61,Woody Austin,59,4.63,176,38
61,T61,T61,Aaron Baddeley,77,4.63,505,109
62,T61,T61,Brendon de Jonge,105,4.63,560,121
63,T61,T61,Bill Haas,93,4.63,556,120
64,T61,T61,Freddie Jacobson,92,4.63,458,99
65,T61,T61,Spencer Levin,113,4.63,532,115
66,T61,T61,Davis Love III,70,4.63,444,96
