,6-10_Final_Round_Performance_RANK THIS WEEK,6-10_Final_Round_Performance_RANK LAST WEEK,6-10_Final_Round_Performance_PLAYER NAME,6-10_Final_Round_Performance_EVENTS,6-10_Final_Round_Performance_% TIMES IMPROVED,6-10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Robert Allenby,25,100.0,2.0
1,T1,T1,Stuart Appleby,24,100.0,1.0
2,T1,T1,Aaron Baddeley,22,100.0,1.0
3,T1,T1,Briny Baird,19,100.0,1.0
4,T1,T1,Matt Bettencourt,30,100.0,2.0
5,T1,T1,Ben Crane,23,100.0,2.0
6,T1,T1,Luke Donald,19,100.0,4.0
7,T1,T1,Steve Flesch,27,100.0,1.0
8,T1,T1,Tommy Gainey,34,100.0,2.0
9,T1,T1,Bobby Gates,29,100.0,1.0
10,T1,T1,Paul Goydos,25,100.0,1.0
11,T1,T1,Hunter Haas,30,100.0,1.0
12,T1,T1,Charley Hoffman,27,100.0,1.0
13,T1,T1,Zach Johnson,23,100.0,2.0
14,T1,T1,Dustin Johnson,21,100.0,1.0
15,T1,T1,Robert Karlsson,18,100.0,1.0
16,T1,T1,Anthony Kim,26,100.0,1.0
17,T1,T1,Billy Mayfair,29,100.0,1.0
18,T1,T1,Scott McCarron,22,100.0,1.0
19,T1,T1,Graeme McDowell,16,100.0,1.0
20,T1,T1,Kevin Na,26,100.0,1.0
21,T1,T1,Geoff Ogilvy,21,100.0,1.0
22,T1,T1,Jeff Overton,26,100.0,3.0
23,T1,T1,Pat Perez,24,100.0,1.0
24,T1,T1,Ian Poulter,16,100.0,1.0
25,T1,T1,John Rollins,27,100.0,2.0
26,T1,T1,Webb Simpson,26,100.0,2.0
27,T1,T1,Kevin Streelman,26,100.0,2.0
28,T1,T1,Josh Teater,31,100.0,1.0
29,T1,T1,David Toms,23,100.0,1.0
30,T1,T1,Jhonattan Vegas,25,100.0,2.0
31,T1,T1,Jimmy Walker,24,100.0,1.0
32,33,33,Adam Scott,18,75.0,3.0
33,T34,T34,Spencer Levin,31,66.7,2.0
