,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Webb Simpson,69.3,3742,54
1,2,2,Steve Stricker,69.33,2496,36
2,3,3,David Toms,69.45,3264,47
3,4,4,Chris Couch,69.52,2920,42
4,T5,T5,Sergio Garcia,69.56,2226,32
5,T5,T5,Bill Haas,69.56,3617,52
6,T5,T5,Matt Kuchar,69.56,3339,48
7,8,8,Nick Watney,69.63,2994,43
8,9,9,Luke Donald,69.72,2510,36
9,10,10,Gary Woodland,69.81,3700,53
10,11,11,Jason Day,69.85,2794,40
11,12,12,Hunter Mahan,69.88,3424,49
12,13,13,Charles Howell III,69.97,4338,62
13,14,14,Aaron Baddeley,70.0,3150,45
14,T15,T15,Spencer Levin,70.02,4551,65
15,T15,T15,Bubba Watson,70.02,3011,43
16,17,17,Adam Scott,70.03,2381,34
17,18,18,Mark Wilson,70.06,3713,53
18,19,19,Brendon de Jonge,70.08,4415,63
19,20,20,Rickie Fowler,70.11,3225,46
20,T21,T21,Freddie Jacobson,70.12,3646,52
21,T21,T21,John Merrick,70.12,3015,43
22,T21,T21,Phil Mickelson,70.12,2875,41
23,24,24,Brandt Snedeker,70.13,3787,54
24,25,25,Jason Dufner,70.14,3437,49
25,T26,T26,Chad Campbell,70.15,4209,60
26,T26,T26,John Senden,70.15,3788,54
27,28,28,Ryan Moore,70.17,2877,41
28,29,29,Kyle Stanley,70.19,4141,59
29,30,30,Brandt Jobe,70.2,4142,59
30,31,31,Martin Laird,70.22,3230,46
31,32,32,William McGirt,70.24,4706,67
32,33,33,Ben Crane,70.27,3092,44
33,T34,T34,K.J. Choi,70.3,3023,43
34,T34,T34,Jerry Kelly,70.3,3726,53
35,36,36,Billy Mayfair,70.35,4221,60
36,37,37,Lucas Glover,70.36,3096,44
37,38,38,Brian Davis,70.37,4433,63
38,T39,T39,Brian Gay,70.38,3871,55
39,T39,T39,Bill Lunde,70.38,3941,56
40,41,41,Hunter Haas,70.4,4435,63
41,42,42,Carl Pettersson,70.41,3802,54
42,T43,T43,Keegan Bradley,70.42,4155,59
43,T43,T43,David Mathis,70.42,3732,53
44,T45,T45,Robert Garrigus,70.43,3592,51
45,T45,T45,Charl Schwartzel,70.43,1972,28
46,47,47,David Hearn,70.45,3734,53
47,48,48,Ricky Barnes,70.46,3241,46
48,49,49,Steve Marino,70.47,3453,49
49,T50,T50,Blake Adams,70.48,5004,71
50,T50,T50,George McNeill,70.48,2960,42
51,T50,T50,Rod Pampling,70.48,3101,44
52,T50,T50,Cameron Tringale,70.48,4722,67
53,T54,T54,Zach Johnson,70.5,3102,44
54,T54,T54,Geoff Ogilvy,70.5,2820,40
55,56,56,Jim Furyk,70.51,3596,51
56,57,57,J.B. Holmes,70.53,2116,30
57,58,58,Padraig Harrington,70.54,2469,35
58,59,59,John Rollins,70.55,3951,56
59,60,60,Vaughn Taylor,70.56,4022,57
60,61,61,Bo Van Pelt,70.58,3882,55
61,62,62,Greg Chalmers,70.59,3953,56
62,63,63,D.A. Points,70.6,3883,55
63,T64,T64,Stewart Cink,70.61,3107,44
64,T64,T64,Chez Reavie,70.61,4025,57
65,T66,T66,Trevor Immelman,70.62,3531,50
66,T66,T66,Robert Karlsson,70.62,2401,34
67,T66,T66,Josh Teater,70.62,4590,65
68,T69,T69,Chris Riley,70.63,3602,51
69,T69,T69,Charlie Wi,70.63,3602,51
70,T71,T71,Chris Kirk,70.64,4097,58
71,T71,T71,Scott Piercy,70.64,3320,47
72,73,73,Jimmy Walker,70.65,3462,49
73,T74,T74,Kris Blanks,70.66,4310,61
74,T74,T74,Chris Stroud,70.66,4098,58
75,76,76,Michael Thompson,70.67,3604,51
76,77,77,Y.E. Yang,70.68,2403,34
77,78,78,Bryce Molder,70.69,3888,55
78,T79,T79,Jason Bohn,70.7,3111,44
79,T79,T79,Ian Poulter,70.7,2121,30
80,81,81,Jhonattan Vegas,70.71,3677,52
81,T82,T82,Shane Bertsch,70.73,2900,41
82,T82,T82,Davis Love III,70.73,3183,45
83,T82,T82,Jeff Overton,70.73,3678,52
84,T82,T82,Aron Price,70.73,2617,37
85,86,86,Rory Sabbatini,70.75,3608,51
86,T87,T87,Jim Herman,70.76,3184,45
87,T87,T87,Troy Matteson,70.76,4175,59
88,T87,T87,Johnson Wagner,70.76,3609,51
89,T87,T87,Boo Weekley,70.76,3184,45
90,91,91,Justin Rose,70.77,3114,44
91,T92,T92,Jonathan Byrd,70.82,3612,51
92,T92,T92,Andres Romero,70.82,3187,45
93,94,94,J.J. Henry,70.83,4179,59
94,95,95,Heath Slocum,70.85,4180,59
95,96,96,D.J. Trahan,70.87,4394,62
96,97,97,Vijay Singh,70.88,3615,51
97,98,98,Tim Herron,70.89,4041,57
98,99,99,Justin Leonard,70.91,3900,55
99,T100,T100,Lee Janzen,70.93,2908,41
100,T100,T100,Nick O'Hern,70.93,4256,60
101,102,102,Nathan Green,70.94,3831,54
102,T103,T103,Kevin Na,70.95,3902,55
103,T103,T103,Kevin Stadler,70.95,4044,57
104,105,105,Kevin Streelman,70.96,3903,55
105,106,106,Chris DiMarco,70.97,4471,63
106,T107,T107,Michael Connell,70.98,3762,53
107,T107,T107,Dustin Johnson,70.98,2910,41
108,T107,T107,Joe Ogilvie,70.98,3620,51
109,110,110,Tommy Gainey,70.99,5040,71
110,T111,T111,Ernie Els,71.0,2840,40
111,T111,T111,Fabián Gómez,71.0,3905,55
112,T111,T111,Paul Stankowski,71.0,3621,51
113,T114,T114,Michael Bradley,71.02,3622,51
114,T114,T114,Alex Cejka,71.02,2912,41
115,T114,T114,Brendan Steele,71.02,4048,57
116,T117,T117,Woody Austin,71.05,2629,37
117,T117,T117,Briny Baird,71.05,2700,38
118,T117,T117,Tim Petrovic,71.05,4192,59
119,T120,T120,Robert Allenby,71.06,3411,48
120,T120,T120,Paul Goydos,71.06,3695,52
121,T120,T120,Ryan Palmer,71.06,3411,48
122,123,123,Dean Wilson,71.09,3128,44
123,T124,T124,Steve Flesch,71.11,3982,56
124,T124,T124,Retief Goosen,71.11,1991,28
125,126,126,Alexandre Rocha,71.13,3201,45
126,127,127,Scott Stallings,71.14,4197,59
127,T128,T128,Kevin Chappell,71.16,3914,55
128,T128,T128,Kent Jones,71.16,3558,50
129,T128,T128,Tag Ridings,71.16,4127,58
130,131,131,Ryuji Imada,71.19,4200,59
131,T132,T132,Stephen Ames,71.2,3275,46
132,T132,T132,Charley Hoffman,71.2,3916,55
133,T132,T132,Anthony Kim,71.2,3489,49
134,135,135,Michael Putnam,71.23,3134,44
135,T136,T136,Steve Elkington,71.24,2636,37
136,T136,T136,Jim Renner,71.24,3206,45
137,T138,T138,Steven Bowditch,71.25,4061,57
138,T138,T138,Ben Martin,71.25,3705,52
139,140,140,Scott McCarron,71.26,3349,47
140,141,141,Pat Perez,71.27,3492,49
141,142,142,James Driscoll,71.29,3493,49
142,143,143,Matt Jones,71.3,3779,53
143,144,144,Sung Kang,71.35,3068,43
144,145,145,Scott Gutschewski,71.36,3354,47
145,146,146,Joseph Bramlett,71.37,3640,51
146,147,147,Marc Leishman,71.38,3926,55
147,T148,T148,Arjun Atwal,71.39,4212,59
148,T148,T148,Garrett Willis,71.39,3498,49
149,150,150,Ángel Cabrera,71.41,2428,34
150,151,151,Shaun Micheel,71.43,3857,54
151,152,152,Ben Curtis,71.46,3287,46
152,153,153,Harrison Frazar,71.5,2860,40
153,154,154,Jarrod Lyle,71.51,4362,61
154,155,155,Matt Bettencourt,71.53,4220,59
155,156,156,Nate Smith,71.55,3649,51
156,157,157,Billy Horschel,71.58,3794,53
157,T158,T158,Cameron Beckman,71.59,3508,49
158,T158,T158,Joe Durant,71.59,3651,51
159,T160,T160,Graeme McDowell,71.6,2148,30
160,T160,T160,Sean O'Hair,71.6,3365,47
161,162,162,Tom Gillis,71.61,2721,38
162,163,163,Camilo Villegas,71.64,3224,45
163,164,164,Stuart Appleby,71.65,3296,46
164,165,165,Bobby Gates,71.69,4373,61
165,T166,T166,Andres Gonzales,71.74,3085,43
166,T166,T166,Bio Kim,71.74,3802,53
167,168,168,Colt Knost,71.77,4091,57
168,169,169,D.J. Brigman,71.81,3375,47
169,170,170,Zack Miller,71.83,4525,63
170,T171,T171,Matt McQuillan,71.87,3234,45
171,T171,T171,Roland Thatcher,71.87,3378,47
172,173,173,Kevin Kisner,71.88,3666,51
173,T174,T174,David Duval,71.9,3667,51
174,T174,T174,J.P. Hayes,71.9,2948,41
175,176,176,Richard Johnson,71.91,3236,45
176,177,177,Marc Turnesa,71.93,2949,41
177,T178,T178,Troy Merritt,71.98,3383,47
178,T178,T178,Alex Prugh,71.98,4391,61
179,180,180,Martin Piller,72.22,3539,49
180,181,181,Daniel Summerhays,72.3,4410,61
181,182,182,Will Strickler,72.31,2820,39
182,183,183,Justin Hicks,72.38,3402,47
183,184,184,Derek Lamely,72.58,3774,52
184,185,185,Rocco Mediate,72.68,2980,41
185,186,186,Rich Beem,72.79,3130,43
