,Early_Round_3_Scoring_Average_RANK THIS WEEK,Early_Round_3_Scoring_Average_RANK LAST WEEK,Early_Round_3_Scoring_Average_PLAYER NAME,Early_Round_3_Scoring_Average_AVG,Early_Round_3_Scoring_Average_TOTAL STROKES,Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Brandt Snedeker,66.2,331,5
1,2,2,Matt Kuchar,67.56,608,9
2,3,3,Brian Davis,68.11,613,9
3,4,4,Bryce Molder,68.17,409,6
4,5,5,Chris Stroud,68.2,341,5
5,6,6,Bo Van Pelt,68.36,957,14
6,T7,T7,Ángel Cabrera,68.5,274,4
7,T7,T7,Davis Love III,68.5,274,4
8,T7,T7,John Merrick,68.5,548,8
9,10,10,Ryan Palmer,68.56,617,9
10,11,11,Luke Donald,68.6,343,5
11,12,12,Steve Stricker,68.67,206,3
12,13,13,Spencer Levin,68.7,687,10
13,T14,T14,Brian Gay,69.0,621,9
14,T14,T14,Martin Laird,69.0,621,9
15,T14,T14,Marc Leishman,69.0,690,10
16,T14,T14,Phil Mickelson,69.0,828,12
17,T14,T14,Nick O'Hern,69.0,345,5
18,T14,T14,David Toms,69.0,483,7
19,20,20,J.J. Henry,69.07,1036,15
20,21,21,Cameron Tringale,69.09,760,11
21,T22,T22,Ryuji Imada,69.13,553,8
22,T22,T22,Roland Thatcher,69.13,553,8
23,24,24,Michael Connell,69.14,484,7
24,25,25,Briny Baird,69.17,415,6
25,26,26,Zach Johnson,69.18,761,11
26,27,27,D.J. Trahan,69.25,554,8
27,T28,T28,Harrison Frazar,69.33,416,6
28,T28,T28,Freddie Jacobson,69.33,624,9
29,T28,T28,Chris Kirk,69.33,624,9
30,T28,T28,John Senden,69.33,624,9
31,32,32,Charlie Wi,69.44,625,9
32,33,33,Brandt Jobe,69.45,764,11
33,T34,T34,Charles Howell III,69.5,695,10
34,T34,T34,Kent Jones,69.5,417,6
35,T34,T34,Scott McCarron,69.5,556,8
36,T34,T34,William McGirt,69.5,417,6
37,T34,T34,Kevin Stadler,69.5,556,8
38,T34,T34,Dean Wilson,69.5,278,4
39,40,40,Alex Cejka,69.56,626,9
40,41,41,Bobby Gates,69.57,487,7
41,42,42,Kyle Stanley,69.58,835,12
42,T43,T43,Chris DiMarco,69.6,696,10
43,T43,T43,Sergio Garcia,69.6,348,5
44,T43,T43,Graeme McDowell,69.6,348,5
45,T43,T43,Jim Renner,69.6,348,5
46,T47,T47,Cameron Beckman,69.63,557,8
47,T47,T47,Sean O'Hair,69.63,557,8
48,49,49,David Hearn,69.64,766,11
49,50,50,Brendon de Jonge,69.67,627,9
50,51,51,Robert Allenby,69.69,906,13
51,T52,T52,Dustin Johnson,69.75,558,8
52,T52,T52,Jerry Kelly,69.75,558,8
53,T54,T54,Carl Pettersson,69.8,698,10
54,T54,T54,Andres Romero,69.8,698,10
