,Early_Round_4_Scoring_Average_RANK THIS WEEK,Early_Round_4_Scoring_Average_RANK LAST WEEK,Early_Round_4_Scoring_Average_PLAYER NAME,Early_Round_4_Scoring_Average_AVG,Early_Round_4_Scoring_Average_TOTAL STROKES,Early_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Luke Donald,67.33,202,3
1,2,2,David Toms,67.4,337,5
2,3,3,Steven Bowditch,67.83,407,6
3,T4,T4,Sung Kang,68.0,204,3
4,T4,T4,Matt McQuillan,68.0,204,3
5,6,6,Justin Hicks,68.33,205,3
6,T7,T7,J.P. Hayes,68.5,137,2
7,T7,T7,Gary Woodland,68.5,411,6
8,T9,T9,Aron Price,68.67,412,6
9,T9,T9,Will Strickler,68.67,206,3
10,11,11,Joe Durant,68.71,481,7
11,12,12,Charles Howell III,68.8,344,5
12,T13,T13,Ben Curtis,69.0,414,6
13,T13,T13,Brandt Snedeker,69.0,276,4
14,15,15,Chris Kirk,69.09,760,11
15,16,16,Briny Baird,69.17,415,6
16,17,17,Spencer Levin,69.18,761,11
17,18,18,Kevin Na,69.22,623,9
18,19,19,Chris Stroud,69.29,485,7
19,T20,T20,Kevin Chappell,69.33,208,3
20,T20,T20,Vijay Singh,69.33,416,6
21,T20,T20,Heath Slocum,69.33,624,9
22,T20,T20,Steve Stricker,69.33,208,3
23,24,24,Webb Simpson,69.4,347,5
24,25,25,Sergio Garcia,69.5,417,6
25,26,26,John Rollins,69.56,626,9
26,T27,T27,Jerry Kelly,69.57,487,7
27,T27,T27,Hunter Mahan,69.57,487,7
28,T27,T27,Charl Schwartzel,69.57,487,7
29,30,30,Zach Johnson,69.63,557,8
30,T31,T31,Carl Pettersson,69.64,766,11
31,T31,T31,Justin Rose,69.64,766,11
32,33,33,Pat Perez,69.78,628,9
33,34,34,Nick Watney,69.8,349,5
34,T35,T35,Cameron Beckman,70.0,560,8
35,T35,T35,Chris DiMarco,70.0,700,10
36,T35,T35,Brandt Jobe,70.0,630,9
37,T35,T35,Martin Laird,70.0,210,3
38,T35,T35,Derek Lamely,70.0,350,5
39,T35,T35,Marc Leishman,70.0,700,10
40,T35,T35,Nick O'Hern,70.0,350,5
41,T35,T35,Rod Pampling,70.0,280,4
42,43,43,Blake Adams,70.07,981,14
43,44,44,Billy Mayfair,70.08,911,13
44,T45,T45,James Driscoll,70.13,561,8
45,T45,T45,J.J. Henry,70.13,561,8
46,47,47,Tim Petrovic,70.14,491,7
47,48,48,David Hearn,70.17,842,12
48,49,49,Brendan Steele,70.22,632,9
49,50,50,Charley Hoffman,70.23,913,13
50,T51,T51,John Merrick,70.25,281,4
51,T51,T51,Geoff Ogilvy,70.25,562,8
52,53,53,Stewart Cink,70.29,492,7
53,T54,T54,Woody Austin,70.33,422,6
54,T54,T54,Chad Campbell,70.33,844,12
55,T54,T54,Brendon de Jonge,70.33,633,9
56,T54,T54,Daniel Summerhays,70.33,422,6
57,T58,T58,Bill Haas,70.43,493,7
58,T58,T58,Scott Piercy,70.43,493,7
59,T60,T60,Kent Jones,70.44,634,9
60,T60,T60,Paul Stankowski,70.44,634,9
61,62,62,Jason Bohn,70.45,775,11
62,T63,T63,Keegan Bradley,70.5,423,6
63,T63,T63,Tag Ridings,70.5,846,12
64,65,65,Nathan Green,70.56,635,9
65,66,66,Billy Horschel,70.57,494,7
66,67,67,Sean O'Hair,70.6,353,5
67,T68,T68,Trevor Immelman,70.63,565,8
68,T68,T68,Vaughn Taylor,70.63,565,8
69,T70,T70,David Duval,70.67,212,3
70,T70,T70,Rickie Fowler,70.67,424,6
71,T70,T70,Anthony Kim,70.67,424,6
72,T70,T70,Ryan Palmer,70.67,424,6
73,T74,T74,Robert Allenby,70.7,707,10
74,T74,T74,Chris Riley,70.7,707,10
75,T74,T74,Bubba Watson,70.7,707,10
76,T77,T77,Michael Bradley,70.71,495,7
77,T77,T77,Jason Day,70.71,495,7
78,T77,T77,Ian Poulter,70.71,495,7
79,T80,T80,Ryuji Imada,70.75,566,8
80,T80,T80,Ryan Moore,70.75,566,8
81,82,82,Ben Crane,70.78,637,9
82,T83,T83,Lee Janzen,70.8,708,10
83,T83,T83,Michael Putnam,70.8,708,10
84,T85,T85,Jonathan Byrd,70.83,425,6
85,T85,T85,Troy Merritt,70.83,425,6
86,87,87,Boo Weekley,70.88,567,8
87,T88,T88,Stephen Ames,70.89,638,9
88,T88,T88,Brian Davis,70.89,638,9
89,T88,T88,Hunter Haas,70.89,638,9
90,T91,T91,Kris Blanks,71.0,497,7
91,T91,T91,Joseph Bramlett,71.0,639,9
92,T91,T91,Greg Chalmers,71.0,781,11
93,T91,T91,Chris Couch,71.0,497,7
94,T91,T91,Steve Flesch,71.0,710,10
95,T91,T91,Matt Kuchar,71.0,284,4
96,T91,T91,Scott McCarron,71.0,568,8
97,T91,T91,Graeme McDowell,71.0,355,5
98,T91,T91,Adam Scott,71.0,142,2
99,T91,T91,Scott Stallings,71.0,426,6
100,T91,T91,Kyle Stanley,71.0,710,10
101,T91,T91,Roland Thatcher,71.0,355,5
102,T91,T91,D.J. Trahan,71.0,426,6
103,104,104,Kevin Streelman,71.08,853,12
104,105,105,Rory Sabbatini,71.09,782,11
105,106,106,Cameron Tringale,71.1,711,10
106,T107,T107,Chez Reavie,71.11,640,9
107,T107,T107,Jhonattan Vegas,71.11,640,9
108,T107,T107,Johnson Wagner,71.11,640,9
109,110,110,Troy Matteson,71.13,569,8
110,T111,T111,Ben Martin,71.14,498,7
111,T111,T111,Garrett Willis,71.14,498,7
112,113,113,John Senden,71.17,427,6
113,T114,T114,Retief Goosen,71.2,356,5
114,T114,T114,Marc Turnesa,71.2,356,5
115,116,116,Freddie Jacobson,71.22,641,9
116,T117,T117,Aaron Baddeley,71.25,285,4
117,T117,T117,Shane Bertsch,71.25,285,4
118,T117,T117,Bio Kim,71.25,285,4
119,T120,T120,Brian Gay,71.29,499,7
120,T120,T120,Kevin Kisner,71.29,499,7
121,T122,T122,J.B. Holmes,71.33,642,9
122,T122,T122,Joe Ogilvie,71.33,642,9
123,T122,T122,Nate Smith,71.33,214,3
124,125,125,Jarrod Lyle,71.38,571,8
125,126,126,Tim Herron,71.4,714,10
126,T127,T127,K.J. Choi,71.43,500,7
127,T127,T127,Andres Gonzales,71.43,500,7
128,T129,T129,D.A. Points,71.44,643,9
129,T129,T129,Josh Teater,71.44,643,9
130,131,131,Alex Prugh,71.5,572,8
131,132,132,Ernie Els,71.56,644,9
132,133,133,Mark Wilson,71.57,501,7
133,134,134,Jim Furyk,71.6,358,5
134,135,135,Shaun Micheel,71.64,788,11
135,136,136,Charlie Wi,71.67,645,9
136,137,137,Colt Knost,71.71,502,7
137,138,138,Jeff Overton,71.73,1076,15
138,139,139,Bryce Molder,71.75,287,4
139,140,140,William McGirt,71.77,933,13
140,141,141,D.J. Brigman,71.78,646,9
141,142,142,Dean Wilson,71.8,359,5
142,143,143,Bill Lunde,71.85,934,13
143,T144,T144,Alexandre Rocha,71.86,503,7
144,T144,T144,Jimmy Walker,71.86,503,7
145,146,146,Lucas Glover,71.89,647,9
146,T147,T147,Stuart Appleby,72.0,360,5
147,T147,T147,Steve Elkington,72.0,216,3
148,T147,T147,Matt Jones,72.0,360,5
149,T147,T147,Robert Karlsson,72.0,360,5
150,151,151,Padraig Harrington,72.11,649,9
151,152,152,Ricky Barnes,72.14,505,7
152,T153,T153,Dustin Johnson,72.17,433,6
153,T153,T153,George McNeill,72.17,433,6
154,T155,T155,Robert Garrigus,72.2,722,10
155,T155,T155,Michael Thompson,72.2,361,5
156,T157,T157,Alex Cejka,72.25,289,4
157,T157,T157,Harrison Frazar,72.25,289,4
158,T157,T157,Scott Gutschewski,72.25,289,4
159,T157,T157,Richard Johnson,72.25,578,8
160,T157,T157,Y.E. Yang,72.25,289,4
161,T162,T162,Jim Herman,72.33,434,6
162,T162,T162,Steve Marino,72.33,434,6
163,T162,T162,Phil Mickelson,72.33,434,6
164,165,165,Jason Dufner,72.43,507,7
165,166,166,Ángel Cabrera,72.5,145,2
166,167,167,Matt Bettencourt,72.57,508,7
167,168,168,Justin Leonard,72.6,363,5
168,T169,T169,Fabián Gómez,72.67,436,6
169,T169,T169,Kevin Stadler,72.67,654,9
170,171,171,Tom Gillis,72.71,509,7
171,172,172,Camilo Villegas,73.0,292,4
172,173,173,Bobby Gates,73.17,439,6
173,174,174,Jim Renner,73.2,366,5
174,175,175,Arjun Atwal,73.22,659,9
175,176,176,Bo Van Pelt,73.33,220,3
176,T177,T177,Tommy Gainey,73.5,588,8
177,T177,T177,Zack Miller,73.5,588,8
178,179,179,Davis Love III,73.6,368,5
179,180,180,Rich Beem,73.67,221,3
180,T181,T181,David Mathis,73.71,516,7
181,T181,T181,Andres Romero,73.71,516,7
182,183,183,Martin Piller,74.0,370,5
183,184,184,Michael Connell,74.33,446,6
184,185,185,Rocco Mediate,74.5,298,4
185,186,186,Paul Goydos,75.25,301,4
