,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Luke Donald,19,2.01,135,67
1,2,2,Webb Simpson,26,2.08,204,98
2,3,3,Briny Baird,19,2.22,133,60
3,4,4,Nick Watney,22,2.23,172,77
4,5,5,Matt Kuchar,24,2.25,198,88
5,6,6,Jason Day,21,2.26,165,73
6,7,7,Charles Howell III,30,2.28,246,108
7,8,8,Steve Stricker,19,2.29,158,69
8,T9,T9,Hunter Haas,30,2.31,222,96
9,T9,T9,Zach Johnson,23,2.31,180,78
10,T9,T9,Jerry Kelly,26,2.31,196,85
11,T9,T9,David Toms,23,2.31,180,78
12,13,13,Greg Chalmers,28,2.32,204,88
13,14,14,Michael Thompson,25,2.33,184,79
14,15,15,Bryce Molder,27,2.35,193,82
15,16,16,William McGirt,32,2.36,243,103
16,T17,T17,Spencer Levin,31,2.4,271,113
17,T17,T17,Vaughn Taylor,27,2.4,214,89
18,T19,T19,Sergio Garcia,16,2.41,147,61
19,T19,T19,David Hearn,26,2.41,212,88
20,T21,T21,Chris Couch,21,2.42,177,73
21,T21,T21,Bill Haas,26,2.42,223,92
22,23,23,Phil Mickelson,21,2.43,187,77
23,24,24,Brandt Jobe,28,2.44,244,100
24,25,25,Trevor Immelman,25,2.45,206,84
25,26,26,Woody Austin,18,2.46,145,59
26,27,27,Mark Wilson,26,2.47,215,87
27,T28,T28,Stephen Ames,22,2.48,171,69
28,T28,T28,Brian Gay,26,2.48,223,90
29,T28,T28,J.J. Henry,28,2.48,238,96
30,T31,T31,Brendon de Jonge,30,2.49,261,105
31,T31,T31,Rod Pampling,21,2.49,179,72
32,T31,T31,Gary Woodland,25,2.49,232,93
33,T34,T34,Joe Durant,25,2.52,179,71
34,T34,T34,Heath Slocum,29,2.52,222,88
35,T34,T34,Kevin Streelman,26,2.52,227,90
36,T37,T37,Jason Bohn,22,2.53,187,74
37,T37,T37,Jim Furyk,26,2.53,218,86
38,T37,T37,Adam Scott,18,2.53,149,59
39,T37,T37,Dean Wilson,22,2.53,157,62
40,41,41,Chris DiMarco,31,2.54,236,93
41,T42,T42,Michael Putnam,21,2.55,171,67
42,T42,T42,Garrett Willis,24,2.55,181,71
43,44,44,Rory Sabbatini,24,2.56,218,85
44,T45,T45,Cameron Tringale,32,2.57,283,110
45,T45,T45,Johnson Wagner,25,2.57,208,81
46,T47,T47,Freddie Jacobson,25,2.58,237,92
47,T47,T47,D.J. Trahan,30,2.58,235,91
48,T49,T49,Brian Davis,30,2.59,272,105
49,T49,T49,Tim Herron,28,2.59,220,85
50,T49,T49,Marc Leishman,27,2.59,225,87
51,T49,T49,John Merrick,21,2.59,184,71
52,T49,T49,John Senden,26,2.59,243,94
53,T54,T54,Ben Crane,23,2.6,190,73
54,T54,T54,Steve Elkington,17,2.6,130,50
55,T54,T54,Justin Leonard,26,2.6,213,82
56,T57,T57,Martin Laird,23,2.61,198,76
57,T57,T57,Ryan Moore,22,2.61,196,75
58,T57,T57,Kevin Na,26,2.61,219,84
59,T60,T60,Aaron Baddeley,22,2.62,202,77
60,T60,T60,Michael Connell,26,2.62,199,76
61,T60,T60,Billy Mayfair,29,2.62,246,94
62,T60,T60,Carl Pettersson,27,2.62,249,95
63,T60,T60,Justin Rose,23,2.62,202,77
64,T60,T60,Brandt Snedeker,26,2.62,223,85
65,T66,T66,Jonathan Byrd,26,2.63,216,82
66,T66,T66,Alex Cejka,21,2.63,155,59
67,T66,T66,Tommy Gainey,34,2.63,273,104
68,T66,T66,Charley Hoffman,27,2.63,242,92
69,T66,T66,Sung Kang,21,2.63,166,63
70,T66,T66,Troy Matteson,28,2.63,239,91
71,T72,T72,Kris Blanks,29,2.64,243,92
72,T72,T72,Ben Curtis,23,2.64,174,66
73,T74,T74,Chad Campbell,29,2.65,262,99
74,T74,T74,Hunter Mahan,25,2.65,236,89
75,T76,T76,Blake Adams,34,2.66,308,116
76,T76,T76,Bill Lunde,28,2.66,245,92
77,T76,T76,David Mathis,25,2.66,221,83
78,T76,T76,Y.E. Yang,18,2.66,157,59
79,T80,T80,Tom Gillis,19,2.67,147,55
80,T80,T80,Pat Perez,24,2.67,203,76
81,T80,T80,Scott Piercy,23,2.67,208,78
82,T80,T80,Ian Poulter,16,2.67,136,51
83,T80,T80,Paul Stankowski,24,2.67,208,78
84,T80,T80,Chris Stroud,28,2.67,235,88
85,86,86,Keegan Bradley,28,2.68,244,91
86,T87,T87,Chris Kirk,28,2.69,234,87
87,T87,T87,Nick O'Hern,29,2.69,239,89
88,T87,T87,Ryan Palmer,24,2.69,215,80
89,T87,T87,Charlie Wi,25,2.69,223,83
90,T91,T91,K.J. Choi,22,2.71,203,75
91,T91,T91,Chez Reavie,27,2.71,249,92
92,T93,T93,Robert Allenby,25,2.72,226,83
93,T93,T93,Michael Bradley,24,2.72,201,74
94,T93,T93,Scott McCarron,22,2.72,177,65
95,T93,T93,Graeme McDowell,16,2.72,128,47
96,T93,T93,Bo Van Pelt,27,2.72,245,90
97,T98,T98,Billy Horschel,25,2.73,205,75
98,T98,T98,Robert Karlsson,18,2.73,161,59
99,T98,T98,John Rollins,27,2.73,232,85
100,T98,T98,Roland Thatcher,22,2.73,183,67
101,T98,T98,Jimmy Walker,24,2.73,216,79
102,103,103,J.B. Holmes,16,2.74,145,53
103,104,104,Alexandre Rocha,22,2.75,179,65
104,T105,T105,Lucas Glover,23,2.76,204,74
105,T105,T105,Brendan Steele,27,2.76,246,89
106,T107,T107,Jason Dufner,23,2.77,216,78
107,T107,T107,Jim Herman,22,2.77,191,69
108,T107,T107,Ryuji Imada,29,2.77,230,83
109,T107,T107,George McNeill,21,2.77,191,69
110,T107,T107,Charl Schwartzel,15,2.77,155,56
111,112,112,Steve Marino,23,2.78,211,76
112,T113,T113,Kevin Chappell,26,2.79,218,78
113,T113,T113,Stewart Cink,22,2.79,195,70
114,T113,T113,Aron Price,18,2.79,162,58
115,T113,T113,Chris Riley,25,2.79,212,76
116,T117,T117,Anthony Kim,26,2.8,199,71
117,T117,T117,Geoff Ogilvy,21,2.8,185,66
118,T119,T119,Ernie Els,21,2.81,194,69
119,T119,T119,Davis Love III,22,2.81,197,70
120,T119,T119,Troy Merritt,23,2.81,177,63
121,T119,T119,D.A. Points,26,2.81,250,89
122,T123,T123,Shane Bertsch,20,2.82,175,62
123,T123,T123,Dustin Johnson,21,2.82,200,71
124,T123,T123,Tim Petrovic,29,2.82,248,88
125,T123,T123,Jim Renner,22,2.82,183,65
126,T123,T123,Boo Weekley,23,2.82,186,66
127,128,128,Padraig Harrington,18,2.83,167,59
128,T129,T129,Retief Goosen,16,2.84,139,49
129,T129,T129,Andres Romero,22,2.84,219,77
130,T129,T129,Josh Teater,31,2.84,295,104
131,T132,T132,Matt McQuillan,21,2.85,168,59
132,T132,T132,Nate Smith,24,2.85,188,66
133,T132,T132,Kevin Stadler,27,2.85,251,88
134,T132,T132,Bubba Watson,22,2.85,225,79
135,T136,T136,Rickie Fowler,24,2.86,232,81
136,T136,T136,Jeff Overton,26,2.86,260,91
137,T136,T136,Vijay Singh,25,2.86,226,79
138,139,139,Fabián Gómez,26,2.87,241,84
139,140,140,Kyle Stanley,28,2.88,282,98
140,T141,T141,James Driscoll,24,2.89,205,71
141,T141,T141,Paul Goydos,25,2.89,234,81
142,T141,T141,Nathan Green,26,2.89,234,81
143,T141,T141,Richard Johnson,23,2.89,185,64
144,T141,T141,Kent Jones,25,2.89,220,76
145,T141,T141,Scott Stallings,28,2.89,243,84
146,T147,T147,Arjun Atwal,29,2.9,264,91
147,T147,T147,Matt Bettencourt,30,2.9,244,84
148,T147,T147,Tag Ridings,28,2.9,252,87
149,T150,T150,Lee Janzen,19,2.92,181,62
150,T150,T150,Matt Jones,25,2.92,207,71
151,T150,T150,Joe Ogilvie,24,2.92,219,75
152,T153,T153,Ricky Barnes,23,2.94,229,78
153,T153,T153,Robert Garrigus,26,2.94,244,83
