,Late_Lowest_Round_RANK THIS WEEK,Late_Lowest_Round_RANK LAST WEEK,Late_Lowest_Round_PLAYER NAME,Late_Lowest_Round_LOW RND
0,T1,T1,Trevor Immelman,62
1,T1,T1,Anthony Kim,62
2,T1,T1,Will MacKenzie,62
3,T1,T1,Graeme McDowell,62
4,T1,T1,Jim Renner,62
5,T1,T1,Adam Scott,62
6,T1,T1,Michael Thompson,62
7,T1,T1,David Toms,62
8,T1,T1,Nick Watney,62
9,T10,T10,Shane Bertsch,63
10,T10,T10,Kris Blanks,63
11,T10,T10,Ben Crane,63
12,T10,T10,Brendon de Jonge,63
13,T10,T10,Tommy Gainey,63
14,T10,T10,Robert Garrigus,63
15,T10,T10,Freddie Jacobson,63
16,T10,T10,Matt Kuchar,63
17,T10,T10,Derek Lamely,63
18,T10,T10,Hunter Mahan,63
19,T10,T10,Steve Marino,63
20,T10,T10,William McGirt,63
21,T10,T10,Zack Miller,63
22,T10,T10,Ryan Moore,63
23,T10,T10,Nick O'Hern,63
24,T10,T10,D.A. Points,63
25,T10,T10,Fran Quinn,63
26,T10,T10,John Rollins,63
27,T10,T10,Webb Simpson,63
28,T10,T10,Steve Stricker,63
29,T10,T10,Cameron Tringale,63
30,T10,T10,Jhonattan Vegas,63
31,T10,T10,Johnson Wagner,63
32,T10,T10,Jimmy Walker,63
33,T34,T34,Stuart Appleby,64
34,T34,T34,Aaron Baddeley,64
35,T34,T34,Briny Baird,64
36,T34,T34,Cameron Beckman,64
37,T34,T34,Keegan Bradley,64
38,T34,T34,D.J. Brigman,64
39,T34,T34,K.J. Choi,64
40,T34,T34,Erik Compton,64
41,T34,T34,Chris Couch,64
42,T34,T34,Jason Day,64
43,T34,T34,Luke Donald,64
44,T34,T34,Bob Estes,64
45,T34,T34,Rickie Fowler,64
46,T34,T34,Harrison Frazar,64
47,T34,T34,Brian Gay,64
48,T34,T34,Nathan Green,64
49,T34,T34,Hunter Haas,64
50,T34,T34,Bill Haas,64
51,T34,T34,J.B. Holmes,64
52,T34,T34,Billy Horschel,64
53,T34,T34,Charles Howell III,64
54,T34,T34,Ryo Ishikawa,64
55,T34,T34,Brandt Jobe,64
56,T34,T34,Dustin Johnson,64
57,T34,T34,Chris Kirk,64
58,T34,T34,Kevin Kisner,64
59,T34,T34,Martin Laird,64
60,T34,T34,José Manuel Lara,64
61,T34,T34,Bill Lunde,64
62,T34,T34,George McNeill,64
63,T34,T34,Matt McQuillan,64
64,T34,T34,Bryce Molder,64
65,T34,T34,Francesco Molinari,64
66,T34,T34,Jeff Overton,64
67,T34,T34,Ryan Palmer,64
68,T34,T34,Martin Piller,64
69,T34,T34,Ian Poulter,64
70,T34,T34,Andres Romero,64
71,T34,T34,John Senden,64
72,T34,T34,Vijay Singh,64
73,T34,T34,Heath Slocum,64
74,T34,T34,Brandt Snedeker,64
75,T34,T34,Henrik Stenson,64
76,T34,T34,Chris Stroud,64
77,T34,T34,Daniel Summerhays,64
78,T34,T34,Scott Verplank,64
79,T34,T34,Camilo Villegas,64
80,T34,T34,Charlie Wi,64
81,T34,T34,Dean Wilson,64
82,T34,T34,Mark Wilson,64
83,T34,T34,Gary Woodland,64
84,T85,T85,Blake Adams,65
85,T85,T85,Stephen Ames,65
86,T85,T85,Ricky Barnes,65
87,T85,T85,Matt Bettencourt,65
88,T85,T85,Steven Bowditch,65
89,T85,T85,Ángel Cabrera,65
90,T85,T85,Alex Cejka,65
91,T85,T85,Greg Chalmers,65
92,T85,T85,Stewart Cink,65
93,T85,T85,Michael Connell,65
94,T85,T85,Brian Davis,65
95,T85,T85,Jason Dufner,65
96,T85,T85,Ernie Els,65
97,T85,T85,Jim Furyk,65
98,T85,T85,Bobby Gates,65
99,T85,T85,Tom Gillis,65
100,T85,T85,Andres Gonzales,65
101,T85,T85,Retief Goosen,65
102,T85,T85,Jason Gore,65
103,T85,T85,Padraig Harrington,65
104,T85,T85,David Hearn,65
105,T85,T85,Tim Herron,65
106,T85,T85,Charley Hoffman,65
107,T85,T85,Zach Johnson,65
