,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Steve Stricker,70,67.7,677,10
1,2,2,Nick Watney,80,68.25,1092,16
2,3,3,Martin Laird,77,68.75,825,12
3,T4,T4,Webb Simpson,98,68.85,1377,20
4,T4,T4,Mark Wilson,89,68.85,895,13
5,6,6,Kyle Stanley,98,68.92,896,13
6,7,7,Lucas Glover,74,69.0,828,12
7,8,8,Gary Woodland,93,69.11,1244,18
8,9,9,John Merrick,71,69.13,1037,15
9,10,10,Jason Day,76,69.14,968,14
10,11,11,Zach Johnson,79,69.25,831,12
11,12,12,Jim Furyk,87,69.27,1039,15
12,13,13,Brendon de Jonge,105,69.29,1455,21
13,14,14,Rod Pampling,72,69.36,971,14
14,T15,T15,Billy Mayfair,94,69.39,1249,18
15,T15,T15,Brendan Steele,89,69.39,1249,18
16,17,17,Luke Donald,73,69.4,1041,15
17,18,18,Alex Cejka,59,69.42,833,12
18,19,19,D.A. Points,89,69.44,625,9
19,T20,T20,Chad Campbell,99,69.47,1320,19
20,T20,T20,Rickie Fowler,84,69.47,1042,15
21,T22,T22,Hunter Haas,96,69.5,1390,20
22,T22,T22,Lee Janzen,62,69.5,556,8
23,T22,T22,Matt Kuchar,94,69.5,1251,18
24,T22,T22,Rory Sabbatini,85,69.5,973,14
25,T22,T22,John Senden,94,69.5,973,14
26,T22,T22,Brandt Snedeker,85,69.5,1251,18
27,T22,T22,David Toms,78,69.5,1251,18
28,29,29,Chris Couch,73,69.55,1391,20
29,T30,T30,Jason Dufner,78,69.58,835,12
30,T30,T30,Sergio Garcia,61,69.58,835,12
31,32,32,Tom Gillis,55,69.7,697,10
32,33,33,Greg Chalmers,88,69.73,1534,22
33,34,34,Vaughn Taylor,89,69.78,1256,18
34,35,35,Tommy Gainey,104,69.79,1326,19
35,T36,T36,Jeff Overton,92,69.8,1396,20
36,T36,T36,Roland Thatcher,67,69.8,1047,15
37,38,38,Charles Howell III,108,69.87,1048,15
38,T39,T39,Ben Crane,76,69.89,629,9
39,T39,T39,Y.E. Yang,63,69.89,629,9
40,41,41,Paul Stankowski,78,69.95,1469,21
41,42,42,Brian Davis,105,69.96,1609,23
42,T43,T43,Robert Allenby,84,70.0,630,9
43,T43,T43,Ricky Barnes,78,70.0,1050,15
44,T43,T43,Bill Haas,93,70.0,910,13
45,T43,T43,Brandt Jobe,100,70.0,980,14
46,T43,T43,Jerry Kelly,85,70.0,910,13
47,T43,T43,Phil Mickelson,79,70.0,1260,18
