,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Webb Simpson,98,34.57,3388,98
1,2,2,David Toms,78,34.6,2699,78
2,3,3,Steve Stricker,70,34.8,2401,69
3,4,4,Luke Donald,73,34.84,2334,67
4,5,5,Spencer Levin,113,34.85,3938,113
5,6,6,Zach Johnson,79,34.9,2722,78
6,7,7,Nick Watney,80,34.94,2690,77
7,8,8,Sergio Garcia,61,34.98,2134,61
8,9,9,Kevin Stadler,88,35.03,3083,88
9,T10,T10,Chris Couch,73,35.04,2558,73
10,T10,T10,Charles Howell III,108,35.04,3784,108
11,12,12,Brandt Snedeker,85,35.06,2980,85
12,13,13,Bo Van Pelt,92,35.09,3158,90
13,14,14,Jonathan Byrd,83,35.1,2878,82
14,T15,T15,Jason Day,76,35.11,2563,73
15,T15,T15,Bill Haas,93,35.11,3230,92
16,T15,T15,Boo Weekley,66,35.11,2317,66
17,T18,T18,Freddie Jacobson,92,35.12,3231,92
18,T18,T18,Gary Woodland,93,35.12,3266,93
19,T20,T20,Kevin Na,84,35.14,2952,84
20,T20,T20,Justin Rose,79,35.14,2706,77
21,T20,T20,Kevin Streelman,90,35.14,3163,90
22,T23,T23,Phil Mickelson,79,35.16,2707,77
23,T23,T23,Charl Schwartzel,58,35.16,1969,56
24,T25,T25,Jason Dufner,78,35.17,2743,78
25,T25,T25,Matt Kuchar,94,35.17,3095,88
26,T25,T25,John Merrick,71,35.17,2497,71
27,T25,T25,Adam Scott,60,35.17,2075,59
28,T29,T29,Geoff Ogilvy,69,35.18,2322,66
29,T29,T29,Carl Pettersson,95,35.18,3342,95
30,31,31,Kyle Stanley,98,35.19,3449,98
31,T32,T32,Brandt Jobe,100,35.2,3520,100
32,T32,T32,Hunter Mahan,92,35.2,3133,89
33,34,34,Chez Reavie,92,35.21,3239,92
34,35,35,David Hearn,88,35.22,3099,88
35,36,36,Brian Davis,105,35.23,3699,105
36,T37,T37,Cameron Beckman,71,35.24,2502,71
37,T37,T37,Brendon de Jonge,105,35.24,3700,105
38,T37,T37,Martin Laird,77,35.24,2678,76
39,T37,T37,Bryce Molder,82,35.24,2890,82
40,41,41,Ryan Moore,79,35.25,2644,75
41,42,42,Chris Kirk,87,35.26,3068,87
42,T43,T43,Blake Adams,116,35.27,4091,116
43,T43,T43,John Rollins,85,35.27,2998,85
44,45,45,Jerry Kelly,85,35.28,2999,85
45,46,46,Chris Riley,76,35.29,2682,76
46,47,47,Brian Gay,90,35.3,3177,90
47,T48,T48,Billy Mayfair,94,35.31,3319,94
48,T48,T48,Nick O'Hern,89,35.31,3143,89
49,T48,T48,Will Strickler,51,35.31,1801,51
50,T51,T51,William McGirt,103,35.32,3638,103
51,T51,T51,Rory Sabbatini,85,35.32,3002,85
52,T51,T51,John Senden,94,35.32,3320,94
53,T51,T51,Bubba Watson,85,35.32,2790,79
54,T55,T55,Briny Baird,60,35.33,2120,60
55,T55,T55,Chad Campbell,99,35.33,3498,99
56,T55,T55,Trevor Immelman,84,35.33,2968,84
57,T55,T55,Scott Stallings,84,35.33,2968,84
58,T59,T59,Brendan Steele,89,35.35,3146,89
59,T59,T59,Charlie Wi,83,35.35,2934,83
60,61,61,J.J. Henry,96,35.36,3395,96
61,T62,T62,Aaron Baddeley,77,35.4,2726,77
62,T62,T62,Shane Bertsch,62,35.4,2195,62
63,T62,T62,J.B. Holmes,57,35.4,1876,53
64,T62,T62,Bill Lunde,92,35.4,3257,92
65,T66,T66,Ben Crane,76,35.41,2585,73
66,T66,T66,Robert Garrigus,83,35.41,2939,83
67,T68,T68,Robert Allenby,84,35.42,2940,83
68,T68,T68,Woody Austin,59,35.42,2090,59
69,T70,T70,George McNeill,69,35.43,2445,69
70,T70,T70,Vijay Singh,79,35.43,2799,79
71,72,72,Vaughn Taylor,89,35.44,3154,89
72,T73,T73,Ryuji Imada,83,35.45,2942,83
73,T73,T73,Scott McCarron,65,35.45,2304,65
74,T75,T75,Steve Marino,76,35.47,2696,76
75,T75,T75,Ian Poulter,52,35.47,1809,51
76,T75,T75,Andres Romero,77,35.47,2731,77
77,T75,T75,Chris Stroud,88,35.47,3121,88
78,T75,T75,Jimmy Walker,79,35.47,2802,79
79,T80,T80,Tommy Gainey,104,35.48,3690,104
80,T80,T80,Heath Slocum,89,35.48,3122,88
81,T82,T82,K.J. Choi,77,35.49,2662,75
82,T82,T82,Jim Herman,69,35.49,2449,69
83,84,84,Dean Wilson,62,35.5,2201,62
84,T85,T85,Kris Blanks,92,35.51,3267,92
85,T85,T85,Davis Love III,70,35.51,2486,70
86,T85,T85,Tim Petrovic,88,35.51,3125,88
87,T85,T85,Jim Renner,65,35.51,2308,65
88,T89,T89,Sung Kang,63,35.52,2238,63
89,T89,T89,Johnson Wagner,81,35.52,2877,81
90,T91,T91,Stewart Cink,72,35.53,2487,70
