,First_Tee_Late_Lowest_Round_RANK THIS WEEK,First_Tee_Late_Lowest_Round_RANK LAST WEEK,First_Tee_Late_Lowest_Round_PLAYER NAME,First_Tee_Late_Lowest_Round_ROUNDS,First_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Trevor Immelman,84,62
1,T1,T1,Anthony Kim,72,62
2,T1,T1,Graeme McDowell,50,62
3,T1,T1,Adam Scott,60,62
4,T1,T1,Michael Thompson,79,62
5,T1,T1,David Toms,78,62
6,T1,T1,Nick Watney,80,62
7,T8,T8,Shane Bertsch,62,63
8,T8,T8,Ben Crane,76,63
9,T8,T8,Brendon de Jonge,105,63
10,T8,T8,Tommy Gainey,104,63
11,T8,T8,Robert Garrigus,83,63
12,T8,T8,Freddie Jacobson,92,63
13,T8,T8,Matt Kuchar,94,63
14,T8,T8,Hunter Mahan,92,63
15,T8,T8,Steve Marino,76,63
16,T8,T8,William McGirt,103,63
17,T8,T8,Ryan Moore,79,63
18,T8,T8,D.A. Points,89,63
19,T8,T8,John Rollins,85,63
20,T8,T8,Steve Stricker,70,63
21,T8,T8,Jhonattan Vegas,84,63
22,T23,T23,Stuart Appleby,65,64
23,T23,T23,Aaron Baddeley,77,64
24,T23,T23,Briny Baird,60,64
25,T23,T23,Cameron Beckman,71,64
26,T23,T23,D.J. Brigman,67,64
27,T23,T23,K.J. Choi,77,64
28,T23,T23,Chris Couch,73,64
29,T23,T23,Jason Day,76,64
30,T23,T23,Luke Donald,73,64
31,T23,T23,Bob Estes,34,64
32,T23,T23,Rickie Fowler,84,64
33,T23,T23,Harrison Frazar,58,64
34,T23,T23,Billy Horschel,75,64
35,T23,T23,Charles Howell III,108,64
36,T23,T23,Ryo Ishikawa,27,64
37,T23,T23,Brandt Jobe,100,64
38,T23,T23,Dustin Johnson,72,64
39,T23,T23,Chris Kirk,87,64
40,T23,T23,Martin Laird,77,64
41,T23,T23,Derek Lamely,65,64
42,T23,T23,Bill Lunde,92,64
43,T23,T23,George McNeill,69,64
44,T23,T23,Matt McQuillan,59,64
45,T23,T23,Zack Miller,86,64
46,T23,T23,Bryce Molder,82,64
47,T23,T23,Jeff Overton,92,64
48,T23,T23,Ryan Palmer,82,64
49,T23,T23,Martin Piller,63,64
50,T23,T23,John Senden,94,64
51,T23,T23,Webb Simpson,98,64
52,T23,T23,Heath Slocum,89,64
53,T23,T23,Brandt Snedeker,85,64
54,T23,T23,Henrik Stenson,45,64
55,T23,T23,Chris Stroud,88,64
56,T23,T23,Camilo Villegas,69,64
57,T23,T23,Charlie Wi,83,64
58,T23,T23,Gary Woodland,93,64
59,T60,T60,Matt Bettencourt,84,65
60,T60,T60,Kris Blanks,92,65
61,T60,T60,Steven Bowditch,86,65
62,T60,T60,Keegan Bradley,91,65
63,T60,T60,Ángel Cabrera,50,65
64,T60,T60,Alex Cejka,59,65
65,T60,T60,Greg Chalmers,88,65
66,T60,T60,Stewart Cink,72,65
67,T60,T60,Michael Connell,76,65
68,T60,T60,Brian Davis,105,65
69,T60,T60,Jason Dufner,78,65
70,T60,T60,Ernie Els,71,65
71,T60,T60,Jim Furyk,87,65
72,T60,T60,Tom Gillis,55,65
73,T60,T60,Jason Gore,19,65
74,T60,T60,Bill Haas,93,65
75,T60,T60,Padraig Harrington,60,65
76,T60,T60,David Hearn,88,65
77,T60,T60,Tim Herron,85,65
78,T60,T60,Charley Hoffman,93,65
79,T60,T60,J.B. Holmes,57,65
80,T60,T60,Zach Johnson,79,65
81,T60,T60,Jerry Kelly,85,65
82,T60,T60,Kevin Kisner,70,65
83,T60,T60,Spencer Levin,113,65
84,T60,T60,Tom Lewis,4,65
85,T60,T60,John Mallinger,42,65
86,T60,T60,Ben Martin,74,65
87,T60,T60,Shigeki Maruyama,6,65
88,T60,T60,Scott McCarron,65,65
89,T60,T60,Phil Mickelson,79,65
90,T60,T60,Kevin Na,84,65
91,T60,T60,Pat Perez,76,65
92,T60,T60,Alex Prugh,82,65
93,T60,T60,Brett Quigley,25,65
94,T60,T60,Alvaro Quiros,25,65
95,T60,T60,Andres Romero,77,65
96,T60,T60,Justin Rose,79,65
97,T60,T60,Rory Sabbatini,85,65
98,T60,T60,Vijay Singh,79,65
99,T60,T60,Kevin Stadler,88,65
100,T60,T60,Kyle Stanley,98,65
101,T60,T60,D.J. Trahan,91,65
102,T60,T60,Bo Van Pelt,92,65
103,T60,T60,Scott Verplank,46,65
104,T60,T60,Johnson Wagner,81,65
105,T60,T60,Jimmy Walker,79,65
106,T60,T60,Lee Westwood,36,65
107,T60,T60,Mark Wilson,89,65
108,T109,T109,Blake Adams,116,66
109,T109,T109,Joe Affrunti,15,66
110,T109,T109,Stephen Ames,69,66
111,T109,T109,Jonathan Byrd,83,66
112,T109,T109,Bud Cauley,30,66
113,T109,T109,Kevin Chappell,78,66
114,T109,T109,John Cook,4,66
115,T109,T109,Ben Curtis,66,66
116,T109,T109,Chris DiMarco,93,66
117,T109,T109,Sergio Garcia,61,66
118,T109,T109,Brian Gay,90,66
119,T109,T109,Lucas Glover,74,66
120,T109,T109,Fabián Gómez,84,66
121,T109,T109,Paul Goydos,81,66
122,T109,T109,Hunter Haas,96,66
123,T109,T109,Adam Hadwin,20,66
124,T109,T109,Anders Hansen,21,66
125,T109,T109,Jim Herman,69,66
126,T109,T109,Morgan Hoffmann,12,66
127,T109,T109,Ryuji Imada,83,66
128,T109,T109,Kent Jones,76,66
129,T109,T109,Matt Jones,71,66
130,T109,T109,Robert Karlsson,61,66
131,T109,T109,Martin Kaymer,38,66
132,T109,T109,K.T. Kim,29,66
133,T109,T109,Bio Kim,71,66
134,T109,T109,Colt Knost,80,66
135,T109,T109,WC Liang,6,66
136,T109,T109,Davis Love III,70,66
137,T109,T109,Jamie Lovemark,22,66
138,T109,T109,Jeff Maggert,49,66
139,T109,T109,David Mathis,83,66
140,T109,T109,Troy Matteson,91,66
141,T109,T109,Billy Mayfair,94,66
142,T109,T109,John Merrick,71,66
143,T109,T109,Shaun Micheel,77,66
144,T109,T109,Sean O'Hair,71,66
145,T109,T109,Nick O'Hern,89,66
146,T109,T109,Mark O'Meara,8,66
147,T109,T109,Joe Ogilvie,75,66
