,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Webb Simpson,26,60
1,2,2,Spencer Levin,31,50
2,3,3,Matt Kuchar,24,48
3,4,4,Charles Howell III,30,47
4,T5,T5,Brendon de Jonge,30,46
5,T5,T5,Gary Woodland,25,46
6,7,7,Blake Adams,34,45
7,8,8,Jerry Kelly,26,43
8,T9,T9,Brian Davis,30,41
9,T9,T9,Brandt Jobe,28,41
10,T9,T9,William McGirt,32,41
11,T9,T9,Carl Pettersson,27,41
12,T9,T9,Kyle Stanley,28,41
13,T14,T14,Bill Haas,26,40
14,T14,T14,David Toms,23,40
15,T14,T14,Cameron Tringale,32,40
16,T14,T14,Bo Van Pelt,27,40
17,T18,T18,Chad Campbell,29,39
18,T18,T18,Kevin Na,26,39
19,T18,T18,Steve Stricker,19,39
20,T21,T21,Kris Blanks,29,38
21,T21,T21,Chris Kirk,28,38
22,T21,T21,Hunter Mahan,25,38
23,T24,T24,Luke Donald,19,37
24,T24,T24,Tommy Gainey,34,37
25,T24,T24,David Hearn,26,37
26,T24,T24,Billy Mayfair,29,37
27,T24,T24,Brandt Snedeker,26,37
28,T29,T29,Jim Furyk,26,36
29,T29,T29,Freddie Jacobson,25,36
30,T29,T29,Bryce Molder,27,36
31,T29,T29,Vijay Singh,25,36
32,T29,T29,Josh Teater,31,36
33,T29,T29,Nick Watney,22,36
34,T35,T35,Aaron Baddeley,22,35
35,T35,T35,Chris DiMarco,31,35
36,T35,T35,Jason Dufner,23,35
37,T35,T35,Charley Hoffman,27,35
38,T35,T35,Chez Reavie,27,35
39,T35,T35,John Rollins,27,35
40,T35,T35,Jhonattan Vegas,25,35
41,T42,T42,Jason Day,21,34
42,T42,T42,J.J. Henry,28,34
43,T42,T42,Zach Johnson,23,34
44,T42,T42,Tim Petrovic,29,34
45,T42,T42,Rory Sabbatini,24,34
46,T42,T42,Kevin Streelman,26,34
47,T42,T42,Chris Stroud,28,34
48,T49,T49,Jonathan Byrd,26,33
49,T49,T49,Rickie Fowler,24,33
