,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Sergio Garcia,34.06,545,16
1,2,2,Webb Simpson,34.19,889,26
2,3,3,Brandt Snedeker,34.24,856,25
3,4,4,Chris Couch,34.47,655,19
4,5,5,Bubba Watson,34.55,691,20
5,6,6,Steve Stricker,34.61,623,18
6,7,7,David Toms,34.64,762,22
7,8,8,Lucas Glover,34.68,763,22
8,9,9,Aaron Baddeley,34.73,764,22
9,10,10,Freddie Jacobson,34.76,869,25
10,T11,T11,Spencer Levin,34.77,1078,31
11,T11,T11,Kevin Na,34.77,904,26
12,13,13,Geoff Ogilvy,34.79,661,19
13,14,14,Justin Rose,34.82,766,22
14,T15,T15,Bill Lunde,34.88,907,26
15,T15,T15,Hunter Mahan,34.88,837,24
16,T15,T15,William McGirt,34.88,1116,32
17,T18,T18,Tim Herron,34.89,977,28
18,T18,T18,Kevin Stadler,34.89,942,27
19,20,20,Phil Mickelson,34.9,698,20
20,21,21,Ricky Barnes,34.91,803,23
21,22,22,Cameron Tringale,34.94,1118,32
22,23,23,Charles Howell III,35.0,1050,30
23,24,24,Chris Stroud,35.04,946,27
24,25,25,George McNeill,35.05,701,20
25,26,26,Luke Donald,35.06,631,18
26,27,27,Bill Haas,35.08,877,25
27,T28,T28,Jason Bohn,35.09,772,22
28,T28,T28,Andres Romero,35.09,772,22
29,T30,T30,Jason Day,35.1,702,20
30,T30,T30,Boo Weekley,35.1,737,21
31,32,32,Troy Matteson,35.11,983,28
32,T33,T33,Jim Furyk,35.12,878,25
33,T33,T33,Robert Karlsson,35.12,597,17
34,T33,T33,Jerry Kelly,35.12,878,25
35,T33,T33,Charlie Wi,35.12,878,25
36,T37,T37,Steven Bowditch,35.14,984,28
37,T37,T37,Charl Schwartzel,35.14,492,14
38,T39,T39,Tommy Gainey,35.15,1195,34
39,T39,T39,Bo Van Pelt,35.15,914,26
40,41,41,Jason Dufner,35.17,809,23
41,T42,T42,Zach Johnson,35.18,774,22
42,T42,T42,Adam Scott,35.18,598,17
43,T44,T44,Greg Chalmers,35.19,950,27
44,T44,T44,Bryce Molder,35.19,915,26
