,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,David Toms,78,68.6,1372,20
1,2,2,Brandt Snedeker,85,68.83,1239,18
2,3,3,Shane Bertsch,62,68.93,965,14
3,4,4,Spencer Levin,113,69.06,2486,36
4,5,5,Charles Howell III,108,69.38,2012,29
5,6,6,Steve Stricker,70,69.42,833,12
6,7,7,Sergio Garcia,61,69.47,1042,15
7,8,8,Freddie Jacobson,92,69.6,2088,30
8,T9,T9,Brian Davis,105,69.61,1949,28
9,T9,T9,Hunter Mahan,92,69.61,1601,23
10,T11,T11,Luke Donald,73,69.7,697,10
11,T11,T11,Ryan Palmer,82,69.7,1882,27
12,T11,T11,Chris Stroud,88,69.7,1882,27
13,14,14,David Hearn,88,69.79,1675,24
14,T15,T15,Rickie Fowler,84,69.8,1396,20
15,T15,T15,Bryce Molder,82,69.8,1396,20
16,T15,T15,Heath Slocum,89,69.8,2094,30
17,18,18,Sung Kang,63,69.83,1257,18
18,19,19,Charl Schwartzel,58,69.86,1537,22
19,20,20,Matt Kuchar,94,69.88,1118,16
20,21,21,Retief Goosen,50,69.9,1398,20
21,22,22,Bo Van Pelt,92,69.91,2377,34
22,23,23,Bill Haas,93,69.96,1959,28
23,T24,T24,J.J. Henry,96,69.97,2309,33
24,T24,T24,Justin Rose,79,69.97,2169,31
25,T26,T26,Blake Adams,116,70.0,3220,46
26,T26,T26,Phil Mickelson,79,70.0,1400,20
27,T26,T26,John Senden,94,70.0,1890,27
28,T26,T26,Webb Simpson,98,70.0,1120,16
29,30,30,Brian Gay,90,70.06,2172,31
30,T31,T31,Chris Kirk,87,70.1,2173,31
31,T31,T31,Adam Scott,60,70.1,701,10
32,33,33,Aron Price,58,70.11,1262,18
33,34,34,Marc Leishman,87,70.14,2455,35
34,T35,T35,Steven Bowditch,86,70.15,1824,26
35,T35,T35,Gary Woodland,93,70.15,1403,20
36,37,37,Scott Piercy,78,70.16,1754,25
37,T38,T38,Ben Crane,76,70.2,2106,30
38,T38,T38,John Rollins,85,70.2,2106,30
39,T40,T40,Brendon de Jonge,105,70.21,2036,29
40,T40,T40,Johnson Wagner,81,70.21,1966,28
41,42,42,John Merrick,71,70.22,1264,18
42,T43,T43,Chad Campbell,99,70.23,2458,35
43,T43,T43,Nathan Green,81,70.23,2177,31
44,T45,T45,Kevin Chappell,78,70.24,1194,17
45,T45,T45,Zach Johnson,79,70.24,2037,29
46,T45,T45,Nick O'Hern,89,70.24,1475,21
47,48,48,Brandt Jobe,100,70.25,2529,36
48,T49,T49,Ángel Cabrera,50,70.27,1054,15
49,T49,T49,Carl Pettersson,95,70.27,2319,33
