,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,David Toms,78,68.67,412,6
1,2,2,Nick Watney,80,68.71,481,7
2,3,3,J.B. Holmes,57,68.73,756,11
3,4,4,Bill Haas,93,68.82,757,11
4,T5,T5,Chris Couch,73,69.0,483,7
5,T5,T5,Luke Donald,73,69.0,138,2
6,7,7,Martin Laird,77,69.07,967,14
7,8,8,Webb Simpson,98,69.1,691,10
8,9,9,Hunter Mahan,92,69.11,622,9
9,10,10,Aaron Baddeley,77,69.18,761,11
10,11,11,Rickie Fowler,84,69.2,692,10
11,12,12,Jerry Kelly,85,69.37,1318,19
12,13,13,Jimmy Walker,79,69.4,1041,15
13,14,14,Steve Stricker,70,69.43,486,7
14,15,15,Paul Stankowski,78,69.54,904,13
15,16,16,Matt Kuchar,94,69.57,487,7
16,17,17,Charles Howell III,108,69.58,1322,19
17,18,18,Aron Price,58,69.6,696,10
18,19,19,David Hearn,88,69.63,557,8
19,20,20,Jason Dufner,78,69.67,1045,15
20,21,21,Boo Weekley,66,69.77,907,13
21,T22,T22,Steve Elkington,50,69.78,628,9
22,T22,T22,Ian Poulter,52,69.78,628,9
23,T22,T22,Charl Schwartzel,58,69.78,628,9
24,25,25,Mark Wilson,89,69.8,1047,15
25,26,26,Michael Putnam,67,69.85,908,13
26,27,27,Ben Crane,76,69.93,1049,15
27,28,28,Kris Blanks,92,69.94,1119,16
28,T29,T29,Geoff Ogilvy,69,70.0,630,9
29,T29,T29,Camilo Villegas,69,70.0,560,8
30,T29,T29,Gary Woodland,93,70.0,560,8
31,32,32,Vaughn Taylor,89,70.07,1051,15
32,33,33,Jhonattan Vegas,84,70.08,841,12
33,T34,T34,Jonathan Byrd,83,70.1,701,10
34,T34,T34,Justin Rose,79,70.1,701,10
35,36,36,Jason Bohn,74,70.15,912,13
36,37,37,Spencer Levin,113,70.19,1474,21
37,38,38,Briny Baird,60,70.23,913,13
38,T39,T39,Stewart Cink,72,70.25,562,8
39,T39,T39,Davis Love III,70,70.25,562,8
40,41,41,Freddie Jacobson,92,70.27,1054,15
41,T42,T42,Zach Johnson,79,70.3,703,10
42,T42,T42,Ryan Moore,79,70.3,703,10
43,T44,T44,Steve Marino,76,70.38,915,13
44,T44,T44,Tag Ridings,87,70.38,1126,16
45,T46,T46,Sergio Garcia,61,70.4,352,5
46,T46,T46,Kevin Na,84,70.4,1056,15
47,48,48,Chad Campbell,99,70.41,1197,17
48,T49,T49,Ricky Barnes,78,70.42,845,12
49,T49,T49,Kevin Stadler,88,70.42,1338,19
50,51,51,Marc Leishman,87,70.43,1479,21
51,52,52,Chris DiMarco,93,70.44,1127,16
52,53,53,Cameron Tringale,110,70.45,1550,22
53,54,54,Rod Pampling,72,70.46,916,13
54,55,55,Greg Chalmers,88,70.47,1057,15
55,56,56,Chris Kirk,87,70.48,1480,21
56,T57,T57,Woody Austin,59,70.5,846,12
57,T57,T57,Kent Jones,76,70.5,846,12
58,T57,T57,John Merrick,71,70.5,846,12
59,T60,T60,Brian Davis,105,70.53,1058,15
60,T60,T60,Brendon de Jonge,105,70.53,1199,17
61,62,62,Tim Herron,85,70.54,917,13
62,T63,T63,Stephen Ames,69,70.57,494,7
63,T63,T63,Robert Garrigus,83,70.57,988,14
64,65,65,Jim Renner,65,70.58,1341,19
65,T66,T66,Ryuji Imada,83,70.6,1412,20
66,T66,T66,Billy Mayfair,94,70.6,1412,20
67,T66,T66,Bryce Molder,82,70.6,1059,15
68,69,69,Michael Connell,76,70.62,918,13
69,70,70,Kyle Stanley,98,70.63,1342,19
70,T71,T71,Blake Adams,116,70.65,1837,26
71,T71,T71,Bill Lunde,92,70.65,1201,17
72,T71,T71,Nick O'Hern,89,70.65,1201,17
73,74,74,Troy Matteson,91,70.67,1272,18
74,75,75,Shane Bertsch,62,70.7,707,10
75,T76,T76,Alex Cejka,59,70.71,495,7
76,T76,T76,Shaun Micheel,77,70.71,990,14
77,78,78,George McNeill,69,70.73,778,11
78,T79,T79,Jason Day,76,70.75,283,4
79,T79,T79,Trevor Immelman,84,70.75,566,8
80,T79,T79,Phil Mickelson,79,70.75,283,4
81,82,82,David Mathis,83,70.78,1274,18
82,83,83,D.A. Points,89,70.79,1699,24
83,T84,T84,Charlie Wi,83,70.8,1062,15
84,T84,T84,Dean Wilson,62,70.8,708,10
85,T86,T86,Brian Gay,90,70.82,1558,22
86,T86,T86,Lucas Glover,74,70.82,779,11
87,T88,T88,Carl Pettersson,95,70.83,1275,18
88,T88,T88,Bo Van Pelt,92,70.83,1275,18
89,90,90,Lee Janzen,62,70.85,921,13
90,91,91,Joe Ogilvie,75,70.88,1134,16
91,92,92,Hunter Haas,96,70.89,1347,19
92,93,93,Chris Stroud,88,70.9,1489,21
93,T94,T94,Jim Furyk,87,70.92,922,13
94,T94,T94,Kevin Streelman,90,70.92,922,13
95,96,96,J.J. Henry,96,70.94,1277,18
96,T97,T97,Tommy Gainey,104,70.95,1490,21
97,T97,T97,Brandt Jobe,100,70.95,1419,20
98,99,99,D.J. Trahan,91,70.96,1703,24
99,T100,T100,Charley Hoffman,93,71.0,1278,18
100,T100,T100,Sung Kang,63,71.0,781,11
101,T100,T100,Justin Leonard,82,71.0,994,14
102,T100,T100,Graeme McDowell,50,71.0,284,4
103,T100,T100,John Senden,94,71.0,1207,17
104,T100,T100,Johnson Wagner,81,71.0,1065,15
105,T100,T100,Y.E. Yang,63,71.0,568,8
106,107,107,Josh Teater,104,71.11,1280,18
107,T108,T108,Anthony Kim,72,71.13,569,8
108,T108,T108,Heath Slocum,89,71.13,1067,15
109,T108,T108,Brandt Snedeker,85,71.13,569,8
110,111,111,Tim Petrovic,88,71.18,1210,17
111,T112,T112,Steven Bowditch,86,71.2,1424,20
112,T112,T112,Ben Martin,74,71.2,1424,20
113,T112,T112,Ryan Palmer,82,71.2,1068,15
114,115,115,Michael Thompson,79,71.21,997,14
115,116,116,Ben Curtis,66,71.22,1282,18
116,117,117,Keegan Bradley,91,71.23,926,13
117,T118,T118,Colt Knost,80,71.25,855,12
