,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Ángel Cabrera,50,4.45,338,76
1,2,2,Steve Stricker,70,4.46,468,105
2,3,3,Bio Kim,71,4.47,478,107
3,T4,T4,Aaron Baddeley,77,4.48,529,118
4,T4,T4,Adam Scott,60,4.48,372,83
5,T6,T6,Jason Day,76,4.49,480,107
6,T6,T6,Webb Simpson,98,4.49,642,143
7,T8,T8,Luke Donald,73,4.5,463,103
8,T8,T8,Jim Furyk,87,4.5,567,126
9,T8,T8,Lucas Glover,74,4.5,477,106
10,T8,T8,J.B. Holmes,57,4.5,369,82
11,12,12,Matt Kuchar,94,4.51,582,129
12,T13,T13,Steve Marino,76,4.52,515,114
13,T13,T13,John Merrick,71,4.52,425,94
14,T13,T13,Joe Ogilvie,75,4.52,479,106
15,T13,T13,Bubba Watson,85,4.52,574,127
16,17,17,Nick Watney,80,4.53,507,112
17,T18,T18,Jason Bohn,74,4.54,518,114
18,T18,T18,Robert Karlsson,61,4.54,395,87
19,T18,T18,Ryan Palmer,82,4.54,558,123
20,T18,T18,Andres Romero,77,4.54,472,104
21,T22,T22,Zach Johnson,79,4.55,519,114
22,T22,T22,Spencer Levin,113,4.55,714,157
23,T22,T22,Hunter Mahan,92,4.55,601,132
24,T25,T25,Chris Couch,73,4.56,502,110
25,T25,T25,Steve Flesch,88,4.56,538,118
26,T25,T25,Bill Haas,93,4.56,615,135
27,T25,T25,Sean O'Hair,71,4.56,424,93
28,T29,T29,Robert Garrigus,83,4.57,599,131
29,T29,T29,Dustin Johnson,72,4.57,503,110
30,T29,T29,Jerry Kelly,85,4.57,544,119
31,T29,T29,Billy Mayfair,94,4.57,631,138
32,T29,T29,Brandt Snedeker,85,4.57,571,125
33,T29,T29,Josh Teater,104,4.57,677,148
34,T35,T35,Charles Howell III,108,4.58,700,153
35,T35,T35,Matt Jones,71,4.58,499,109
36,T35,T35,Jarrod Lyle,83,4.58,563,123
37,T35,T35,D.J. Trahan,91,4.58,586,128
38,T35,T35,Cameron Tringale,110,4.58,682,149
39,T35,T35,Jhonattan Vegas,84,4.58,554,121
40,T41,T41,Shane Bertsch,62,4.59,399,87
41,T41,T41,Matt Bettencourt,84,4.59,542,118
42,T41,T41,Michael Bradley,74,4.59,482,105
43,T41,T41,J.P. Hayes,56,4.59,395,86
44,T41,T41,Troy Merritt,63,4.59,418,91
45,T41,T41,Kevin Na,84,4.59,583,127
46,T41,T41,Brendan Steele,89,4.59,610,133
47,T41,T41,Y.E. Yang,63,4.59,381,83
48,T49,T49,Steven Bowditch,86,4.6,556,121
49,T49,T49,Rickie Fowler,84,4.6,547,119
50,T49,T49,Fabián Gómez,84,4.6,593,129
51,T49,T49,Graeme McDowell,50,4.6,354,77
52,T49,T49,George McNeill,69,4.6,460,100
53,T49,T49,Carl Pettersson,95,4.6,612,133
54,T49,T49,Justin Rose,79,4.6,556,121
55,T49,T49,Kyle Stanley,98,4.6,653,142
56,T49,T49,Bo Van Pelt,92,4.6,607,132
57,T58,T58,Blake Adams,116,4.61,788,171
58,T58,T58,Woody Austin,59,4.61,401,87
