,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Steve Stricker,70,4.28,295,69
1,2,2,Luke Donald,73,4.24,284,67
2,3,3,Webb Simpson,98,4.23,415,98
3,4,4,Dustin Johnson,72,4.2,298,71
4,5,5,Nick Watney,80,4.1,316,77
5,6,6,Rickie Fowler,84,4.09,331,81
6,T7,T7,Aaron Baddeley,77,4.08,314,77
7,T7,T7,J.B. Holmes,57,4.08,216,53
8,9,9,Hunter Mahan,92,4.06,361,89
9,10,10,Jason Day,76,4.01,293,73
10,T11,T11,Charley Hoffman,93,4.0,368,92
11,T11,T11,Kyle Stanley,98,4.0,392,98
12,13,13,Gary Woodland,93,3.96,368,93
13,14,14,Andres Romero,77,3.95,304,77
14,T15,T15,Matt Kuchar,94,3.94,347,88
15,T15,T15,David Toms,78,3.94,307,78
16,17,17,Bubba Watson,85,3.91,309,79
17,18,18,Robert Garrigus,83,3.87,321,83
18,T19,T19,Martin Laird,77,3.86,293,76
19,T19,T19,Phil Mickelson,79,3.86,297,77
20,21,21,Steven Bowditch,86,3.84,330,86
21,T22,T22,Kevin Na,84,3.83,322,84
22,T22,T22,Geoff Ogilvy,69,3.83,253,66
23,24,24,Jhonattan Vegas,84,3.82,321,84
24,25,25,Chris Couch,73,3.81,278,73
25,26,26,Adam Scott,60,3.8,224,59
26,T27,T27,Chris Kirk,87,3.79,330,87
27,T27,T27,Chez Reavie,92,3.79,349,92
28,T29,T29,Brendon de Jonge,105,3.78,397,105
29,T29,T29,Tommy Gainey,104,3.78,393,104
30,T29,T29,Brandt Jobe,100,3.78,378,100
31,T29,T29,Pat Perez,76,3.78,287,76
32,T29,T29,Brandt Snedeker,85,3.78,321,85
33,T34,T34,Ángel Cabrera,50,3.76,188,50
34,T34,T34,Freddie Jacobson,92,3.76,346,92
35,T34,T34,Bryce Molder,82,3.76,308,82
36,T34,T34,Carl Pettersson,95,3.76,357,95
37,T34,T34,Rory Sabbatini,85,3.76,320,85
38,T34,T34,Boo Weekley,66,3.76,248,66
39,T40,T40,Steve Marino,76,3.74,284,76
40,T40,T40,John Senden,94,3.74,352,94
41,T42,T42,Blake Adams,116,3.73,433,116
42,T42,T42,Brian Davis,105,3.73,392,105
43,T42,T42,Scott Piercy,78,3.73,291,78
44,T42,T42,Vijay Singh,79,3.73,295,79
45,46,46,Bill Haas,93,3.71,341,92
46,T47,T47,Keegan Bradley,91,3.69,336,91
47,T47,T47,Retief Goosen,50,3.69,181,49
48,T47,T47,Hunter Haas,96,3.69,354,96
49,T47,T47,Aron Price,58,3.69,214,58
50,T47,T47,Justin Rose,79,3.69,284,77
51,T52,T52,Jason Dufner,78,3.68,287,78
52,T52,T52,Bill Lunde,92,3.68,339,92
53,54,54,Kevin Stadler,88,3.67,323,88
54,55,55,Charlie Wi,83,3.66,304,83
55,T56,T56,Lucas Glover,74,3.65,270,74
56,T56,T56,Lee Janzen,62,3.65,226,62
57,T56,T56,Ryan Palmer,82,3.65,292,80
58,T59,T59,Stewart Cink,72,3.64,255,70
59,T59,T59,Brian Gay,90,3.64,328,90
60,T61,T61,D.A. Points,89,3.63,323,89
61,T61,T61,Charl Schwartzel,58,3.63,203,56
62,T61,T61,Josh Teater,104,3.63,377,104
63,T64,T64,Graeme McDowell,50,3.62,170,47
64,T64,T64,John Merrick,71,3.62,257,71
65,T66,T66,Ben Martin,74,3.61,267,74
66,T66,T66,George McNeill,69,3.61,249,69
67,T66,T66,Ryan Moore,79,3.61,271,75
68,T66,T66,John Rollins,85,3.61,307,85
69,70,70,Troy Matteson,91,3.6,328,91
70,T71,T71,Jason Bohn,74,3.59,266,74
71,T71,T71,James Driscoll,71,3.59,255,71
72,T71,T71,Billy Mayfair,94,3.59,337,94
73,T74,T74,Spencer Levin,113,3.58,405,113
74,T74,T74,Bo Van Pelt,92,3.58,322,90
