,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
158,T155,T155,Camilo Villegas,69,1.0,235,234
159,160,160,Nate Smith,66,0.99,217,219
160,161,161,Scott Gutschewski,67,0.98,221,226
161,T162,T162,Joseph Bramlett,73,0.97,249,257
162,T162,T162,Tom Gillis,55,0.97,179,184
163,T162,T162,Bio Kim,71,0.97,252,259
164,T165,T165,David Duval,67,0.96,228,238
165,T165,T165,Alex Prugh,82,0.96,280,291
166,T167,T167,Stuart Appleby,65,0.95,213,225
167,T167,T167,Harrison Frazar,58,0.95,199,210
168,169,169,Kevin Kisner,70,0.94,229,244
169,T170,T170,Colt Knost,80,0.93,247,267
170,T170,T170,Jarrod Lyle,83,0.93,271,290
171,T172,T172,Zack Miller,86,0.92,294,321
172,T172,T172,Sean O'Hair,71,0.92,229,248
173,T174,T174,Troy Merritt,63,0.91,192,210
174,T174,T174,Marc Turnesa,54,0.91,170,187
175,T176,T176,D.J. Brigman,67,0.9,221,245
176,T176,T176,J.P. Hayes,56,0.9,178,197
177,T176,T176,Derek Lamely,65,0.9,229,254
178,T176,T176,Shaun Micheel,77,0.9,229,255
179,180,180,Richard Johnson,64,0.89,185,209
180,181,181,Will Strickler,51,0.86,168,196
181,T182,T182,Martin Piller,63,0.82,198,241
182,T182,T182,Daniel Summerhays,75,0.82,216,262
183,184,184,Justin Hicks,60,0.8,180,226
184,185,185,Rocco Mediate,53,0.79,164,207
185,186,186,Rich Beem,53,0.73,146,199
