,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Webb Simpson,98,69.16,6778,98
1,2,2,Luke Donald,73,69.3,4643,67
2,3,3,Steve Stricker,70,69.33,4784,69
3,4,4,David Toms,78,69.55,5425,78
4,5,5,Nick Watney,80,69.57,5357,77
5,6,6,Matt Kuchar,94,69.6,6125,88
6,7,7,Charles Howell III,108,69.85,7544,108
7,8,8,Jason Day,76,69.86,5100,73
8,9,9,Brandt Snedeker,85,69.94,5945,85
9,10,10,Hunter Mahan,92,69.98,6228,89
10,11,11,Spencer Levin,113,70.0,7910,113
11,12,12,Zach Johnson,79,70.08,5466,78
12,T13,T13,Bill Haas,93,70.11,6450,92
13,T13,T13,John Merrick,71,70.11,4978,71
14,T13,T13,Gary Woodland,93,70.11,6520,93
15,16,16,Freddie Jacobson,92,70.16,6455,92
16,T17,T17,Martin Laird,77,70.17,5333,76
17,T17,T17,Bryce Molder,82,70.17,5754,82
18,19,19,Chris Couch,73,70.18,5123,73
19,20,20,Brendon de Jonge,105,70.19,7370,105
20,21,21,Phil Mickelson,79,70.21,5406,77
21,22,22,Aaron Baddeley,77,70.22,5407,77
22,23,23,Sergio Garcia,61,70.23,4284,61
23,T24,T24,Jerry Kelly,85,70.24,5970,85
24,T24,T24,Adam Scott,60,70.24,4144,59
25,26,26,Carl Pettersson,95,70.25,6674,95
26,27,27,John Senden,94,70.28,6606,94
27,28,28,Chris Kirk,87,70.29,6115,87
28,29,29,Bo Van Pelt,92,70.3,6327,90
29,T30,T30,Brian Gay,90,70.32,6329,90
30,T30,T30,Kyle Stanley,98,70.32,6891,98
31,32,32,Brandt Jobe,100,70.33,7033,100
32,33,33,Jason Dufner,78,70.36,5488,78
33,34,34,Briny Baird,60,70.37,4222,60
34,T35,T35,Chad Campbell,99,70.4,6970,99
35,T35,T35,Brian Davis,105,70.4,7392,105
36,T35,T35,David Hearn,88,70.4,6195,88
37,T35,T35,John Rollins,85,70.4,5984,85
38,39,39,Billy Mayfair,94,70.41,6619,94
39,40,40,Blake Adams,116,70.42,8169,116
40,41,41,Kevin Na,84,70.43,5916,84
41,42,42,Ben Crane,76,70.44,5142,73
42,43,43,Justin Rose,79,70.45,5425,77
43,44,44,Rod Pampling,72,70.49,5075,72
44,45,45,Charl Schwartzel,58,70.5,3948,56
45,46,46,Rickie Fowler,84,70.51,5711,81
46,47,47,K.J. Choi,77,70.52,5289,75
47,48,48,Geoff Ogilvy,69,70.53,4655,66
48,T49,T49,Shane Bertsch,62,70.55,4374,62
49,T49,T49,Mark Wilson,89,70.55,6138,87
50,51,51,Bubba Watson,85,70.56,5574,79
51,T52,T52,Jonathan Byrd,83,70.57,5787,82
52,T52,T52,Jim Furyk,87,70.57,6069,86
53,T54,T54,Greg Chalmers,88,70.59,6212,88
54,T54,T54,George McNeill,69,70.59,4871,69
55,T56,T56,William McGirt,103,70.6,7272,103
56,T56,T56,Aron Price,58,70.6,4095,58
57,T56,T56,Chris Stroud,88,70.6,6213,88
58,59,59,Chez Reavie,92,70.61,6496,92
59,60,60,Trevor Immelman,84,70.62,5932,84
60,T61,T61,Keegan Bradley,91,70.63,6427,91
61,T61,T61,Ryan Moore,79,70.63,5297,75
62,T63,T63,Woody Austin,59,70.64,4168,59
63,T63,T63,Hunter Haas,96,70.64,6781,96
64,T63,T63,Robert Karlsson,61,70.64,4168,59
65,T63,T63,Heath Slocum,89,70.64,6216,88
66,T67,T67,Kris Blanks,92,70.65,6500,92
67,T67,T67,Cameron Tringale,110,70.65,7771,110
68,69,69,Jimmy Walker,79,70.66,5582,79
69,T70,T70,Andres Romero,77,70.68,5442,77
70,T70,T70,Vijay Singh,79,70.68,5584,79
71,T72,T72,Robert Allenby,84,70.69,5867,83
72,T72,T72,Kevin Streelman,90,70.69,6362,90
73,T74,T74,Bill Lunde,92,70.7,6504,92
74,T74,T74,Michael Thompson,79,70.7,5585,79
75,T74,T74,D.J. Trahan,91,70.7,6434,91
76,T77,T77,Tim Herron,85,70.71,6010,85
77,T77,T77,Steve Marino,76,70.71,5374,76
78,T77,T77,Rory Sabbatini,85,70.71,6010,85
79,T80,T80,J.J. Henry,96,70.72,6789,96
80,T80,T80,Nick O'Hern,89,70.72,6294,89
81,82,82,Jason Bohn,74,70.73,5234,74
82,83,83,Lucas Glover,74,70.74,5235,74
83,T84,T84,Dustin Johnson,72,70.75,5023,71
84,T84,T84,Johnson Wagner,81,70.75,5731,81
85,T86,T86,Retief Goosen,50,70.76,3467,49
86,T86,T86,Davis Love III,70,70.76,4953,70
87,T86,T86,Charlie Wi,83,70.76,5873,83
88,T89,T89,Michael Bradley,74,70.77,5237,74
89,T89,T89,J.B. Holmes,57,70.77,3751,53
90,T91,T91,Tommy Gainey,104,70.79,7362,104
91,T91,T91,Pat Perez,76,70.79,5380,76
92,T93,T93,Joe Ogilvie,75,70.8,5310,75
93,T93,T93,Vaughn Taylor,89,70.8,6301,89
94,T93,T93,Boo Weekley,66,70.8,4673,66
95,T93,T93,Y.E. Yang,63,70.8,4177,59
96,97,97,D.A. Points,89,70.81,6302,89
97,T98,T98,Chris DiMarco,93,70.83,6587,93
98,T98,T98,David Mathis,83,70.83,5879,83
99,T98,T98,Scott Piercy,78,70.83,5525,78
100,101,101,Charley Hoffman,93,70.86,6519,92
101,T102,T102,Stephen Ames,69,70.87,4890,69
102,T102,T102,Josh Teater,104,70.87,7370,104
103,T104,T104,Padraig Harrington,60,70.88,4182,59
104,T104,T104,Jhonattan Vegas,84,70.88,5954,84
105,T106,T106,Ricky Barnes,78,70.9,5530,78
106,T106,T106,Sung Kang,63,70.9,4467,63
107,T106,T106,Ryan Palmer,82,70.9,5672,80
108,T106,T106,Ian Poulter,52,70.9,3616,51
109,110,110,Ben Curtis,66,70.91,4680,66
110,T111,T111,Robert Garrigus,83,70.95,5889,83
111,T111,T111,Troy Matteson,91,70.95,6456,91
112,113,113,Chris Riley,76,70.97,5394,76
113,114,114,Brendan Steele,89,70.98,6317,89
114,T115,T115,Stewart Cink,72,71.0,4970,70
115,T115,T115,Jeff Overton,92,71.0,6461,91
116,T115,T115,Paul Stankowski,78,71.0,5538,78
117,T118,T118,Ryuji Imada,83,71.01,5894,83
118,T118,T118,Kevin Stadler,88,71.01,6249,88
119,120,120,Ángel Cabrera,50,71.02,3551,50
120,T121,T121,Kent Jones,76,71.04,5399,76
121,T121,T121,Scott Stallings,84,71.04,5967,84
122,123,123,Marc Leishman,87,71.07,6183,87
123,T124,T124,Scott McCarron,65,71.09,4621,65
124,T124,T124,Tim Petrovic,88,71.09,6256,88
125,T124,T124,Jim Renner,65,71.09,4621,65
126,T127,T127,Jim Herman,69,71.1,4906,69
127,T127,T127,Justin Leonard,82,71.1,5830,82
128,T127,T127,Dean Wilson,62,71.1,4408,62
129,130,130,Cameron Beckman,71,71.11,5049,71
130,131,131,Kevin Chappell,78,71.14,5549,78
131,132,132,Michael Putnam,67,71.15,4767,67
132,T133,T133,Steve Elkington,50,71.16,3558,50
133,T133,T133,Tag Ridings,87,71.16,6191,87
134,T135,T135,James Driscoll,71,71.18,5054,71
135,T135,T135,Anthony Kim,72,71.18,5054,71
136,137,137,Graeme McDowell,50,71.19,3346,47
137,T138,T138,Steven Bowditch,86,71.2,6123,86
138,T138,T138,Ernie Els,71,71.2,4913,69
139,T138,T138,Steve Flesch,88,71.2,6266,88
140,T138,T138,Billy Horschel,75,71.2,5340,75
141,142,142,Nathan Green,81,71.22,5769,81
142,T143,T143,Lee Janzen,62,71.24,4417,62
143,T143,T143,Ben Martin,74,71.24,5272,74
144,T145,T145,Alex Cejka,59,71.25,4204,59
145,T145,T145,Matt Jones,71,71.25,5059,71
146,T145,T145,Matt McQuillan,59,71.25,4204,59
147,148,148,Michael Connell,76,71.26,5416,76
148,149,149,Joe Durant,71,71.27,5060,71
149,150,150,Sean O'Hair,71,71.29,4990,70
150,151,151,Garrett Willis,71,71.31,5063,71
151,152,152,Alexandre Rocha,65,71.35,4638,65
152,153,153,Roland Thatcher,67,71.36,4781,67
153,T154,T154,Fabián Gómez,84,71.4,5998,84
154,T154,T154,Camilo Villegas,69,71.4,4855,68
155,156,156,Andres Gonzales,60,71.42,4285,60
156,157,157,Bobby Gates,82,71.43,5857,82
157,158,158,Arjun Atwal,91,71.44,6501,91
158,159,159,Harrison Frazar,58,71.45,4144,58
159,160,160,Tom Gillis,55,71.47,3931,55
160,161,161,Joseph Bramlett,73,71.48,5218,73
161,162,162,Matt Bettencourt,84,71.52,6008,84
162,163,163,Nate Smith,66,71.53,4721,66
163,164,164,Jarrod Lyle,83,71.55,5939,83
164,165,165,Scott Gutschewski,67,71.58,4796,67
165,166,166,Paul Goydos,81,71.62,5801,81
166,167,167,Kevin Kisner,70,71.64,5015,70
167,T168,T168,Stuart Appleby,65,71.65,4657,65
168,T168,T168,Colt Knost,80,71.65,5732,80
169,170,170,Bio Kim,71,71.68,5089,71
170,171,171,Shaun Micheel,77,71.69,5520,77
171,T172,T172,D.J. Brigman,67,71.72,4805,67
172,T172,T172,Marc Turnesa,54,71.72,3873,54
173,174,174,Richard Johnson,64,71.81,4596,64
174,175,175,Zack Miller,86,71.84,6178,86
175,T176,T176,David Duval,67,71.85,4814,67
176,T176,T176,Alex Prugh,82,71.85,5892,82
177,178,178,Troy Merritt,63,71.87,4528,63
178,179,179,J.P. Hayes,56,71.91,4027,56
179,180,180,Will Strickler,51,72.04,3674,51
180,181,181,Derek Lamely,65,72.14,4689,65
181,182,182,Daniel Summerhays,75,72.25,5419,75
182,183,183,Justin Hicks,60,72.35,4341,60
183,184,184,Martin Piller,63,72.43,4563,63
184,185,185,Rocco Mediate,53,72.68,3852,53
185,186,186,Rich Beem,53,72.87,3862,53
