,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Luke Donald,73,12.77,154,1206
1,2,2,Webb Simpson,98,13.27,234,1764
2,3,3,Charles Howell III,108,13.32,259,1944
3,4,4,Steve Stricker,70,13.61,169,1242
4,5,5,Matt Kuchar,94,13.7,217,1584
5,6,6,David Toms,78,13.96,196,1404
6,7,7,Nick Watney,80,14.07,195,1386
7,8,8,Zach Johnson,79,14.1,198,1404
8,9,9,Briny Baird,60,14.44,156,1080
9,10,10,Spencer Levin,113,14.45,294,2034
10,11,11,Bryce Molder,82,14.5,214,1476
11,12,12,Jerry Kelly,85,14.58,223,1530
12,13,13,Jason Day,76,14.76,194,1314
13,14,14,Bill Haas,93,14.79,245,1656
14,15,15,David Hearn,88,14.84,235,1584
15,16,16,William McGirt,103,14.94,277,1854
16,T17,T17,Greg Chalmers,88,15.03,238,1584
17,T17,T17,Sergio Garcia,61,15.03,165,1098
18,19,19,Trevor Immelman,84,15.15,229,1512
19,20,20,Hunter Haas,96,15.16,262,1728
20,T21,T21,J.J. Henry,96,15.22,263,1728
21,T21,T21,Brandt Jobe,100,15.22,274,1800
22,T21,T21,Phil Mickelson,79,15.22,211,1386
23,24,24,Brian Gay,90,15.25,247,1620
24,25,25,Rod Pampling,72,15.28,198,1296
25,T26,T26,Michael Thompson,79,15.33,218,1422
26,T26,T26,Mark Wilson,89,15.33,240,1566
27,28,28,Woody Austin,59,15.35,163,1062
28,29,29,Brendon de Jonge,105,15.4,291,1890
29,30,30,Chris Couch,73,15.45,203,1314
30,31,31,Steve Elkington,50,15.56,140,900
31,32,32,Jim Furyk,87,15.63,242,1548
32,33,33,John Merrick,71,15.65,200,1278
33,T34,T34,John Senden,94,15.66,265,1692
34,T34,T34,Heath Slocum,89,15.66,248,1584
35,36,36,Brandt Snedeker,85,15.69,240,1530
36,37,37,Stephen Ames,69,15.7,195,1242
37,38,38,Martin Laird,77,15.72,215,1368
38,39,39,Freddie Jacobson,92,15.76,261,1656
39,40,40,Brian Davis,105,15.77,298,1890
40,41,41,Chad Campbell,99,15.82,282,1782
41,42,42,Ben Crane,76,15.83,208,1314
42,43,43,Billy Mayfair,94,15.84,268,1692
43,44,44,Justin Leonard,82,15.85,234,1476
44,T45,T45,Kevin Streelman,90,15.86,257,1620
45,T45,T45,Vaughn Taylor,89,15.86,254,1602
46,T47,T47,Chris DiMarco,93,15.89,266,1674
47,T47,T47,Gary Woodland,93,15.89,266,1674
48,49,49,Johnson Wagner,81,15.91,232,1458
49,50,50,Dean Wilson,62,15.95,178,1116
50,51,51,Jason Bohn,74,15.99,213,1332
51,52,52,Justin Rose,79,16.02,222,1386
52,53,53,K.J. Choi,77,16.07,217,1350
53,54,54,Ben Curtis,66,16.08,191,1188
54,55,55,Blake Adams,116,16.09,336,2088
55,T56,T56,Hunter Mahan,92,16.1,258,1602
56,T56,T56,Adam Scott,60,16.1,171,1062
57,T58,T58,Kris Blanks,92,16.12,267,1656
58,T58,T58,Joe Durant,71,16.12,206,1278
59,60,60,Nick O'Hern,89,16.17,259,1602
60,61,61,Kevin Na,84,16.2,245,1512
61,62,62,Cameron Tringale,110,16.21,321,1980
62,63,63,Bill Lunde,92,16.24,269,1656
63,64,64,Carl Pettersson,95,16.26,278,1710
64,65,65,D.J. Trahan,91,16.3,267,1638
65,66,66,Chris Kirk,87,16.35,256,1566
66,67,67,Bo Van Pelt,92,16.36,265,1620
67,68,68,Aaron Baddeley,77,16.38,227,1386
68,69,69,John Rollins,85,16.41,251,1530
69,70,70,Michael Putnam,67,16.42,198,1206
70,71,71,Ryan Moore,79,16.44,222,1350
71,72,72,Chris Riley,76,16.45,225,1368
72,73,73,Jonathan Byrd,83,16.46,243,1476
73,74,74,Tim Herron,85,16.47,252,1530
74,75,75,Chris Stroud,88,16.54,262,1584
75,76,76,Charl Schwartzel,58,16.57,167,1008
76,77,77,David Mathis,83,16.6,248,1494
77,78,78,Michael Connell,76,16.67,228,1368
78,79,79,Robert Allenby,84,16.73,250,1494
79,80,80,Jason Dufner,78,16.74,235,1404
80,81,81,Rory Sabbatini,85,16.8,257,1530
81,T82,T82,Robert Karlsson,61,16.85,179,1062
82,T82,T82,Y.E. Yang,63,16.85,179,1062
83,84,84,Charlie Wi,83,16.87,252,1494
84,85,85,Ian Poulter,52,16.88,155,918
85,86,86,Davis Love III,70,16.9,213,1260
86,87,87,Jim Herman,69,16.91,210,1242
87,T88,T88,Shane Bertsch,62,16.94,189,1116
88,T88,T88,Ryan Palmer,82,16.94,244,1440
89,90,90,Paul Stankowski,78,16.95,238,1404
90,91,91,Troy Matteson,91,16.97,278,1638
91,T92,T92,Pat Perez,76,17.03,233,1368
92,T92,T92,Chez Reavie,92,17.03,282,1656
93,T94,T94,Michael Bradley,74,17.04,227,1332
94,T94,T94,Alex Cejka,59,17.04,181,1062
