,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Luke Donald,68.06,1089,16
1,2,2,Matt McQuillan,68.14,477,7
2,3,3,Brandt Snedeker,68.81,1101,16
3,4,4,Webb Simpson,69.13,1590,23
4,T5,T5,Chris Kirk,69.33,1040,15
5,T5,T5,Marc Turnesa,69.33,416,6
6,7,7,Heath Slocum,69.36,971,14
7,8,8,Kevin Na,69.4,1041,15
8,9,9,Carl Pettersson,69.62,1462,21
9,10,10,David Toms,69.63,1114,16
10,11,11,Charl Schwartzel,69.64,975,14
11,12,12,Ben Curtis,69.7,697,10
12,13,13,Bryce Molder,69.73,1046,15
13,14,14,Charles Howell III,69.75,1674,24
14,15,15,Justin Rose,69.76,1186,17
15,16,16,Nick Watney,69.78,1256,18
16,17,17,Zach Johnson,69.82,1187,17
17,18,18,Derek Lamely,69.86,489,7
18,T19,T19,Jerry Kelly,69.88,1188,17
19,T19,T19,Spencer Levin,69.88,1747,25
20,T21,T21,Briny Baird,69.91,769,11
21,T21,T21,Shane Bertsch,69.91,769,11
22,T21,T21,Ian Poulter,69.91,769,11
23,T24,T24,Jason Day,70.0,1190,17
24,T24,T24,Sung Kang,70.0,700,10
25,T24,T24,Billy Mayfair,70.0,1190,17
26,T24,T24,Kevin Streelman,70.0,1330,19
27,T28,T28,Pat Perez,70.07,981,14
28,T28,T28,Tag Ridings,70.07,981,14
29,30,30,Joe Durant,70.1,701,10
30,31,31,Geoff Ogilvy,70.15,912,13
31,32,32,Camilo Villegas,70.17,842,12
32,33,33,Aron Price,70.2,702,10
33,34,34,Brian Gay,70.22,1264,18
34,35,35,Matt Kuchar,70.24,1475,21
35,T36,T36,Steven Bowditch,70.27,1054,15
36,T36,T36,Chris DiMarco,70.27,1054,15
37,38,38,Gary Woodland,70.29,1476,21
38,T39,T39,Robert Allenby,70.33,1266,18
39,T39,T39,Michael Bradley,70.33,844,12
40,T39,T39,Hunter Mahan,70.33,1477,21
41,T39,T39,Graeme McDowell,70.33,633,9
42,T39,T39,Vijay Singh,70.33,1055,15
