,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Dustin Johnson,72,27.61,37,134
1,2,2,Bubba Watson,85,23.03,35,152
2,3,3,Robert Garrigus,83,21.12,34,161
3,4,4,Geoff Ogilvy,69,20.35,35,172
4,5,5,Charl Schwartzel,58,20.34,24,118
5,6,6,Jhonattan Vegas,84,19.7,39,198
6,7,7,John Senden,94,19.49,53,272
7,8,8,Jason Day,76,18.54,33,178
8,9,9,Aaron Baddeley,77,18.18,32,176
9,10,10,Ángel Cabrera,50,18.0,18,100
10,11,11,Rickie Fowler,84,17.77,35,197
11,12,12,Martin Laird,77,17.72,28,158
12,13,13,Nick Watney,80,17.71,31,175
13,14,14,Gary Woodland,93,17.7,37,209
14,15,15,J.B. Holmes,57,17.65,18,102
15,16,16,Adam Scott,60,17.59,19,108
16,17,17,Ryan Moore,79,17.35,34,196
17,18,18,Chez Reavie,92,17.06,43,252
18,19,19,Charley Hoffman,93,17.02,32,188
19,20,20,Jim Renner,65,16.67,25,150
20,21,21,Webb Simpson,98,16.33,40,245
21,22,22,Marc Leishman,87,16.23,43,265
22,23,23,Sergio Garcia,61,16.13,20,124
23,T24,T24,Harrison Frazar,58,15.87,20,126
24,T24,T24,Tim Herron,85,15.87,40,252
25,26,26,Stewart Cink,72,15.82,28,177
26,27,27,Steve Marino,76,15.63,30,192
27,28,28,David Toms,78,15.58,31,199
28,29,29,Alex Prugh,82,15.54,30,193
29,T30,T30,Keegan Bradley,91,15.53,34,219
30,T30,T30,Phil Mickelson,79,15.53,25,161
31,32,32,Steven Bowditch,86,15.5,31,200
32,33,33,Kyle Stanley,98,15.42,37,240
33,34,34,Billy Horschel,75,15.34,29,189
34,35,35,Scott Gutschewski,67,15.29,24,157
35,36,36,Sung Kang,63,15.13,23,152
36,37,37,Jonathan Byrd,83,15.11,34,225
37,38,38,Bio Kim,71,15.05,28,186
38,39,39,Steve Stricker,70,15.0,24,160
39,40,40,Andres Romero,77,14.97,28,187
40,T41,T41,Matt Kuchar,94,14.94,36,241
41,T41,T41,Matt McQuillan,59,14.94,23,154
42,43,43,Andres Gonzales,60,14.93,20,134
43,44,44,Davis Love III,70,14.91,24,161
44,45,45,Ben Martin,74,14.8,29,196
45,46,46,Troy Matteson,91,14.76,31,210
46,47,47,Tommy Gainey,104,14.74,37,251
47,T48,T48,Brandt Jobe,100,14.73,38,258
48,T48,T48,Zach Johnson,79,14.73,33,224
49,50,50,Jim Furyk,87,14.72,34,231
50,51,51,Kevin Na,84,14.66,34,232
51,52,52,Rocco Mediate,53,14.58,21,144
52,53,53,Vijay Singh,79,14.54,33,227
53,T54,T54,Retief Goosen,50,14.5,19,131
54,T54,T54,Jimmy Walker,79,14.5,39,269
55,56,56,Heath Slocum,89,14.46,35,242
56,57,57,George McNeill,69,14.44,27,187
57,T58,T58,Freddie Jacobson,92,14.41,34,236
58,T58,T58,Colt Knost,80,14.41,32,222
59,60,60,Luke Donald,73,14.36,28,195
60,T61,T61,John Merrick,71,14.29,26,182
61,T61,T61,Shaun Micheel,77,14.29,30,210
62,T61,T61,Zack Miller,86,14.29,31,217
63,T61,T61,Chris Riley,76,14.29,32,224
64,T61,T61,Y.E. Yang,63,14.29,18,126
65,66,66,Cameron Tringale,110,14.18,40,282
66,67,67,Michael Thompson,79,14.15,30,212
67,68,68,Michael Connell,76,14.12,36,255
68,T69,T69,Jim Herman,69,14.1,22,156
69,T69,T69,David Mathis,83,14.1,33,234
70,T71,T71,Ernie Els,71,14.05,26,185
71,T71,T71,Chris Kirk,87,14.05,34,242
72,73,73,Tom Gillis,55,14.0,21,150
73,74,74,Spencer Levin,113,13.95,41,294
74,75,75,Jason Bohn,74,13.94,29,208
75,76,76,Robert Karlsson,61,13.91,21,151
76,77,77,Matt Jones,71,13.85,27,195
77,78,78,Scott Piercy,78,13.83,26,188
78,79,79,J.P. Hayes,56,13.79,20,145
79,80,80,Scott McCarron,65,13.77,23,167
80,81,81,Carl Pettersson,95,13.52,38,281
81,82,82,Sean O'Hair,71,13.51,25,185
82,83,83,Pat Perez,76,13.46,28,208
83,84,84,James Driscoll,71,13.44,25,186
84,85,85,Lucas Glover,74,13.4,26,194
85,86,86,Shane Bertsch,62,13.38,21,157
86,87,87,Scott Stallings,84,13.33,26,195
87,88,88,Paul Stankowski,78,13.3,27,203
88,89,89,Bill Haas,93,13.27,28,211
89,90,90,Brian Davis,105,13.23,41,310
90,91,91,Billy Mayfair,94,13.22,39,295
91,92,92,Justin Rose,79,13.21,28,212
92,T93,T93,D.A. Points,89,13.14,31,236
93,T93,T93,Camilo Villegas,69,13.14,23,175
94,T95,T95,Fabián Gómez,84,13.13,26,198
95,T95,T95,Lee Janzen,62,13.13,21,160
96,97,97,Rory Sabbatini,85,13.09,25,191
97,98,98,David Hearn,88,13.04,30,230
98,99,99,Alex Cejka,59,13.02,22,169
99,100,100,Aron Price,58,13.01,19,146
100,101,101,Rod Pampling,72,12.92,23,178
101,102,102,Josh Teater,104,12.84,33,257
102,103,103,Steve Flesch,88,12.83,34,265
103,104,104,John Rollins,85,12.82,25,195
104,105,105,Chris Couch,73,12.77,24,188
105,106,106,Kris Blanks,92,12.74,33,259
106,107,107,Brandt Snedeker,85,12.72,29,228
107,108,108,Hunter Haas,96,12.65,32,253
108,109,109,Marc Turnesa,54,12.57,21,167
109,110,110,Ian Poulter,52,12.5,16,128
110,111,111,David Duval,67,12.43,22,177
111,112,112,Steve Elkington,50,12.39,14,113
112,T113,T113,Vaughn Taylor,89,12.35,30,243
113,T113,T113,D.J. Trahan,91,12.35,30,243
114,115,115,Alexandre Rocha,65,12.34,19,154
115,116,116,Ricky Barnes,78,12.31,24,195
116,117,117,Mark Wilson,89,12.29,29,236
117,118,118,Tag Ridings,87,12.25,25,204
118,119,119,Anthony Kim,72,12.2,20,164
119,120,120,Chad Campbell,99,12.19,34,279
120,121,121,Charles Howell III,108,12.15,35,288
121,122,122,K.J. Choi,77,12.11,23,190
122,123,123,Kevin Stadler,88,12.09,26,215
123,124,124,Jeff Overton,92,12.08,25,207
124,T125,T125,Jason Dufner,78,12.04,26,216
125,T125,T125,Graeme McDowell,50,12.04,13,108
126,T125,T125,William McGirt,103,12.04,33,274
127,128,128,Kevin Streelman,90,11.98,23,192
128,129,129,Greg Chalmers,88,11.97,31,259
129,130,130,Michael Bradley,74,11.93,21,176
130,131,131,Ryuji Imada,83,11.86,28,236
131,132,132,Brendan Steele,89,11.84,29,245
132,133,133,Garrett Willis,71,11.82,24,203
133,134,134,Ryan Palmer,82,11.8,19,161
134,135,135,Chris DiMarco,93,11.72,34,290
135,136,136,Briny Baird,60,11.69,18,154
136,137,137,Bo Van Pelt,92,11.68,23,197
137,138,138,Trevor Immelman,84,11.61,26,224
138,139,139,Tim Petrovic,88,11.6,29,250
139,140,140,Boo Weekley,66,11.59,19,164
140,141,141,Will Strickler,51,11.54,15,130
141,142,142,Joseph Bramlett,73,11.45,19,166
142,143,143,Richard Johnson,64,11.44,23,201
143,144,144,Joe Durant,71,11.37,24,211
144,145,145,Cameron Beckman,71,11.17,20,179
145,146,146,Derek Lamely,65,11.04,18,163
146,147,147,Blake Adams,116,10.98,37,337
147,148,148,Brian Gay,90,10.89,28,257
148,149,149,Stuart Appleby,65,10.82,21,194
149,150,150,Roland Thatcher,67,10.75,20,186
150,151,151,Kevin Kisner,70,10.69,17,159
151,152,152,Stephen Ames,69,10.58,20,189
152,153,153,J.J. Henry,96,10.57,24,227
153,154,154,Bryce Molder,82,10.55,25,237
154,155,155,Jerry Kelly,85,10.51,27,257
155,156,156,Arjun Atwal,91,10.47,29,277
156,157,157,Nick O'Hern,89,10.34,27,261
157,158,158,Charlie Wi,83,10.31,27,262
158,159,159,Robert Allenby,84,10.28,22,214
159,160,160,Joe Ogilvie,75,10.06,17,169
160,161,161,Padraig Harrington,60,10.0,14,140
161,162,162,Ben Curtis,66,9.95,22,221
162,T163,T163,Nathan Green,81,9.84,24,244
163,T163,T163,Bill Lunde,92,9.84,19,193
164,165,165,Brendon de Jonge,105,9.8,29,296
165,166,166,Nate Smith,66,9.78,18,184
166,167,167,Justin Leonard,82,9.35,23,246
167,168,168,Jarrod Lyle,83,9.32,22,236
168,169,169,Ben Crane,76,9.29,17,183
169,170,170,Kent Jones,76,9.17,21,229
170,171,171,Justin Hicks,60,9.03,14,155
171,172,172,Paul Goydos,81,8.94,22,246
172,173,173,Johnson Wagner,81,8.91,23,258
173,174,174,Chris Stroud,88,8.87,22,248
174,175,175,Matt Bettencourt,84,8.58,20,233
175,176,176,Hunter Mahan,92,8.29,18,217
176,177,177,Woody Austin,59,8.22,12,146
177,178,178,Dean Wilson,62,8.0,16,200
178,179,179,Bobby Gates,82,7.77,16,206
179,180,180,Rich Beem,53,7.69,11,143
180,181,181,Daniel Summerhays,75,7.5,18,240
181,T182,T182,D.J. Brigman,67,7.43,13,175
182,T182,T182,Michael Putnam,67,7.43,13,175
183,184,184,Martin Piller,63,6.88,11,160
184,185,185,Kevin Chappell,78,5.92,9,152
185,186,186,Troy Merritt,63,4.71,8,170
