,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Graeme McDowell,50,35.19,19,54
1,2,2,Luke Donald,73,26.56,17,64
2,3,3,Harrison Frazar,58,24.42,21,86
3,4,4,Ian Poulter,52,23.73,14,59
4,5,5,Stewart Cink,72,23.66,22,93
5,6,6,Chris Couch,73,22.95,28,122
6,7,7,Dustin Johnson,72,22.32,25,112
7,8,8,Gary Woodland,93,21.38,31,145
8,9,9,David Toms,78,21.21,21,99
9,10,10,Rory Sabbatini,85,20.29,28,138
10,11,11,Billy Horschel,75,20.0,15,75
11,12,12,Brendon de Jonge,105,19.51,32,164
12,13,13,Colt Knost,80,19.35,18,93
13,14,14,Charley Hoffman,93,19.29,27,140
14,15,15,Bill Haas,93,19.27,21,109
15,16,16,Kyle Stanley,98,18.89,34,180
16,17,17,Alex Cejka,59,18.84,13,69
17,18,18,Steve Stricker,70,18.6,16,86
18,19,19,Aaron Baddeley,77,18.59,29,156
19,20,20,J.B. Holmes,57,18.45,19,103
20,21,21,Hunter Haas,96,18.42,28,152
21,22,22,Robert Garrigus,83,18.4,30,163
22,23,23,Phil Mickelson,79,18.35,20,109
23,24,24,Robert Karlsson,61,18.07,15,83
24,25,25,Bobby Gates,82,18.06,26,144
25,26,26,Michael Bradley,74,18.02,20,111
26,27,27,Chris Stroud,88,17.98,32,178
27,28,28,Charlie Wi,83,17.96,30,167
28,29,29,Bubba Watson,85,17.74,22,124
29,30,30,Scott Stallings,84,17.65,30,170
30,T31,T31,Padraig Harrington,60,17.5,14,80
31,T31,T31,Jeff Overton,92,17.5,28,160
32,33,33,Nick Watney,80,17.46,22,126
33,34,34,George McNeill,69,17.36,25,144
34,35,35,K.J. Choi,77,17.31,18,104
35,36,36,Matt McQuillan,59,17.24,15,87
36,T37,T37,Stephen Ames,69,17.17,17,99
37,T37,T37,Martin Piller,63,17.17,17,99
38,39,39,Carl Pettersson,95,17.14,24,140
39,T40,T40,Matt Bettencourt,84,17.11,26,152
40,T40,T40,Jimmy Walker,79,17.11,32,187
41,42,42,Billy Mayfair,94,16.91,23,136
42,43,43,Rod Pampling,72,16.88,13,77
43,44,44,Kevin Stadler,88,16.84,16,95
44,45,45,Marc Leishman,87,16.74,36,215
45,46,46,Kevin Chappell,78,16.67,21,126
46,T47,T47,Tim Herron,85,16.56,26,157
47,T47,T47,Jhonattan Vegas,84,16.56,25,151
48,49,49,Steven Bowditch,86,16.55,23,139
49,T50,T50,D.A. Points,89,16.54,21,127
50,T50,T50,Justin Rose,79,16.54,21,127
51,52,52,Jim Furyk,87,16.5,17,103
52,53,53,Josh Teater,104,16.49,32,194
53,54,54,Scott Piercy,78,16.45,25,152
54,55,55,Rickie Fowler,84,16.43,23,140
