,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Michael Bradley,74,69.0,828,12
1,2,2,Webb Simpson,98,69.04,3590,52
2,3,3,Luke Donald,73,69.18,2767,40
3,T4,T4,Robert Karlsson,61,69.5,1390,20
4,T4,T4,Matt McQuillan,59,69.5,1112,16
5,6,6,Andres Romero,77,69.52,1599,23
6,7,7,Matt Kuchar,94,69.55,3269,47
7,8,8,Bryce Molder,82,69.6,2088,30
8,9,9,Chez Reavie,92,69.67,1881,27
9,10,10,Steve Stricker,70,69.7,2788,40
10,11,11,Carl Pettersson,95,69.71,1952,28
11,12,12,Jason Day,76,69.74,2371,34
12,T13,T13,Tommy Gainey,104,69.76,2372,34
13,T13,T13,John Rollins,85,69.76,1744,25
14,15,15,Nick Watney,80,69.8,2862,41
15,16,16,Adam Scott,60,69.83,2444,35
16,17,17,Aaron Baddeley,77,69.85,2375,34
17,18,18,George McNeill,69,69.91,1538,22
18,19,19,K.J. Choi,77,69.97,2519,36
19,20,20,Hunter Mahan,92,70.03,2661,38
20,21,21,Padraig Harrington,60,70.05,1401,20
21,T22,T22,Scott McCarron,65,70.13,1052,15
22,T22,T22,Kevin Stadler,88,70.13,1613,23
23,24,24,Jim Furyk,87,70.16,2666,38
24,25,25,Brandt Jobe,100,70.17,2105,30
25,26,26,Freddie Jacobson,92,70.18,2386,34
26,27,27,Zach Johnson,79,70.19,1895,27
27,28,28,Jim Herman,69,70.24,1475,21
28,29,29,Charles Howell III,108,70.27,3162,45
29,30,30,Bo Van Pelt,92,70.28,2038,29
30,T31,T31,Ángel Cabrera,50,70.29,1195,17
31,T31,T31,Brian Gay,90,70.29,1687,24
32,T31,T31,David Toms,78,70.29,2390,34
33,34,34,Dustin Johnson,72,70.3,2109,30
34,T35,T35,Briny Baird,60,70.33,1055,15
35,T35,T35,Jarrod Lyle,83,70.33,1477,21
36,T35,T35,Jeff Overton,92,70.33,1899,27
